Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,10.08,10.18,10.02,10.08,15888000,10.08
2016-08-30,10.26,10.26,10.06,10.17,11270300,10.17
2016-08-29,10.01,10.26,10.00,10.26,13621800,10.26
2016-08-26,10.15,10.27,9.96,10.00,15069700,10.00
2016-08-25,10.08,10.19,10.03,10.08,12532500,10.08
2016-08-24,10.43,10.45,10.01,10.04,19740200,10.04
2016-08-23,10.41,10.54,10.37,10.50,11551600,10.50
2016-08-22,10.20,10.35,10.16,10.32,9210300,10.32
2016-08-19,10.34,10.36,10.22,10.27,13163800,10.27
2016-08-18,10.41,10.47,10.34,10.45,8564300,10.45
2016-08-17,10.33,10.40,10.23,10.36,10840300,10.36
2016-08-16,10.57,10.58,10.29,10.29,13826000,10.29
2016-08-15,10.25,10.58,10.23,10.52,13211900,10.52
2016-08-12,10.37,10.40,10.12,10.17,13887600,10.17
2016-08-11,10.35,10.44,10.30,10.42,9894100,10.42
2016-08-10,10.40,10.53,10.27,10.33,9513400,10.33
2016-08-09,10.42,10.50,10.35,10.35,7812800,10.35
2016-08-08,10.50,10.60,10.41,10.45,9501400,10.45
2016-08-05,10.45,10.50,10.39,10.50,12292600,10.50
2016-08-04,10.36,10.46,10.25,10.40,11819900,10.40
2016-08-03,10.30,10.45,10.20,10.41,13904100,10.41
2016-08-02,10.55,10.57,10.25,10.32,13672400,10.29
2016-08-01,10.55,10.60,10.46,10.47,11610200,10.439564
2016-07-29,10.61,10.65,10.42,10.62,16419800,10.589128
2016-07-28,10.67,10.73,10.49,10.68,13795300,10.648954
2016-07-27,10.76,10.97,10.52,10.74,20992100,10.708779
2016-07-26,10.45,10.67,10.42,10.67,12575200,10.638983
2016-07-25,10.54,10.55,10.40,10.49,13849300,10.459506
2016-07-22,10.58,10.66,10.49,10.57,10183500,10.539273
2016-07-21,10.67,10.86,10.53,10.60,15042600,10.569186
2016-07-20,10.51,10.63,10.35,10.61,16305400,10.579157
2016-07-19,10.73,10.78,10.62,10.63,14786700,10.599099
2016-07-18,10.82,10.94,10.72,10.92,16352300,10.888256
2016-07-15,10.72,10.96,10.71,10.92,23056500,10.888256
2016-07-14,10.82,10.90,10.67,10.71,22346800,10.678866
2016-07-13,10.74,10.78,10.54,10.71,24221900,10.678866
2016-07-12,10.70,10.80,10.43,10.69,53436600,10.658924
2016-07-11,9.96,10.18,9.87,10.14,37231900,10.110524
2016-07-08,9.45,9.88,9.44,9.82,25929500,9.791453
2016-07-07,9.26,9.45,9.25,9.34,22172200,9.312849
2016-07-06,9.16,9.25,9.03,9.19,24564200,9.163284
2016-07-05,9.46,9.49,9.17,9.26,16362100,9.233082
2016-07-01,9.28,9.59,9.27,9.55,18307200,9.522239
2016-06-30,9.19,9.28,9.02,9.27,24791900,9.243053
2016-06-29,9.51,9.52,9.01,9.10,37163300,9.073547
2016-06-28,9.35,9.38,9.19,9.33,18175800,9.302878
2016-06-27,9.28,9.30,8.95,9.10,21866300,9.073547
2016-06-24,9.56,9.74,9.35,9.38,34013600,9.352733
2016-06-23,10.08,10.17,9.98,10.15,20543000,10.120494
2016-06-22,9.92,10.15,9.85,9.89,19506000,9.86125
2016-06-21,9.73,9.90,9.67,9.86,13633900,9.831337
