Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,17.32,17.57,16.959999,17.059999,2915400,17.059999
2016-08-30,18.299999,18.469999,17.52,17.60,2672200,17.60
2016-08-29,17.110001,18.540001,16.92,18.50,4246700,18.50
2016-08-26,17.00,17.27,16.549999,16.65,2438700,16.65
2016-08-25,16.540001,17.120001,16.540001,16.809999,2925300,16.809999
2016-08-24,17.51,17.57,16.57,16.59,2257900,16.59
2016-08-23,17.799999,18.02,17.639999,17.66,1546000,17.66
2016-08-22,17.10,17.629999,17.07,17.60,1440800,17.60
2016-08-19,17.58,17.59,17.16,17.360001,1276500,17.360001
2016-08-18,17.950001,17.969999,17.610001,17.83,1420200,17.83
2016-08-17,17.540001,17.959999,17.27,17.77,1585400,17.77
2016-08-16,18.030001,18.049999,17.59,17.690001,1416600,17.690001
2016-08-15,17.299999,18.07,17.25,17.99,2649500,17.91
2016-08-12,17.51,17.65,17.01,17.129999,1739600,17.053823
2016-08-11,16.99,17.67,16.82,17.58,2443900,17.501823
2016-08-10,17.200001,17.459999,16.83,17.00,1725500,16.924402
2016-08-09,17.15,17.309999,16.98,17.059999,2051600,16.984135
2016-08-08,17.41,17.610001,17.219999,17.24,1291200,17.163335
2016-08-05,17.34,17.68,17.17,17.25,2001100,17.173291
2016-08-04,17.66,17.66,16.99,17.26,1238000,17.183246
2016-08-03,16.959999,17.92,16.540001,17.67,4366800,17.591423
2016-08-02,17.40,17.610001,16.83,17.030001,1389800,16.95427
2016-08-01,17.74,17.790001,17.280001,17.440001,1490900,17.362446
2016-07-29,17.870001,18.07,17.530001,17.809999,1925300,17.7308
2016-07-28,18.09,18.32,17.629999,17.90,3619100,17.8204
2016-07-27,18.290001,18.67,17.719999,17.959999,7211900,17.880132
2016-07-26,15.59,18.139999,14.85,17.98,6297900,17.900044
2016-07-25,15.01,15.37,14.95,15.13,2141800,15.062718
2016-07-22,14.90,15.15,14.69,15.12,1753100,15.052762
2016-07-21,14.96,15.45,14.78,14.98,2004200,14.913385
2016-07-20,14.32,14.94,14.11,14.76,2274300,14.694364
2016-07-19,14.93,15.02,14.36,14.55,2110400,14.485297
2016-07-18,15.44,15.51,14.95,15.10,2628500,15.032852
2016-07-15,15.30,15.65,15.10,15.63,4135600,15.560495
2016-07-14,15.01,15.57,15.01,15.38,3285800,15.311606
2016-07-13,15.20,15.25,14.47,15.01,2990300,14.943252
2016-07-12,14.85,15.36,14.37,15.05,5665100,14.983074
2016-07-11,13.90,14.58,13.88,14.47,3158100,14.405653
2016-07-08,13.37,13.91,13.26,13.66,3086800,13.599255
2016-07-07,12.76,13.47,12.74,13.10,2531800,13.041746
2016-07-06,12.43,12.80,12.27,12.71,2448800,12.65348
2016-07-05,13.37,13.44,12.47,12.69,1906200,12.633568
2016-07-01,12.73,13.57,12.71,13.48,3165600,13.420055
2016-06-30,12.31,12.77,12.10,12.75,2501700,12.693302
2016-06-29,12.29,12.36,11.93,12.08,1982100,12.026281
2016-06-28,11.83,12.08,11.55,11.95,2864700,11.896859
2016-06-27,12.25,12.30,11.33,11.56,3692100,11.508594
2016-06-24,13.28,13.56,12.25,12.43,13268000,12.374725
2016-06-23,13.80,14.24,13.55,14.21,2348400,14.146809
2016-06-22,13.73,14.02,13.28,13.37,2313000,13.310545
2016-06-21,13.91,13.93,13.31,13.58,2045300,13.519611
2016-06-20,13.81,14.15,13.76,13.94,1986200,13.878009
2016-06-17,13.55,13.99,13.47,13.57,4024800,13.509655
2016-06-16,13.24,13.44,12.77,13.43,2066200,13.370278
2016-06-15,13.25,13.66,13.14,13.37,2037400,13.310545
2016-06-14,13.12,13.52,12.80,13.08,2342300,13.021834
2016-06-13,13.45,13.77,13.27,13.29,2130600,13.2309
2016-06-10,13.40,13.73,13.13,13.44,3324800,13.380233
2016-06-09,13.79,13.85,13.31,13.67,2738900,13.609211
2016-06-08,13.94,14.17,13.85,14.07,4384600,14.007431
2016-06-07,13.44,13.88,13.35,13.60,2287200,13.539522
2016-06-06,13.13,13.66,13.13,13.59,2773300,13.529566
2016-06-03,12.76,13.12,12.60,13.05,2856100,12.991968
2016-06-02,12.05,12.57,12.01,12.56,1892800,12.504147
