Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,5.73,5.77,5.64,5.70,4083300,5.70
2016-08-30,5.75,5.79,5.66,5.72,3015800,5.72
2016-08-29,5.78,5.84,5.72,5.76,4444400,5.76
2016-08-26,5.68,5.84,5.63,5.73,4874900,5.73
2016-08-25,5.59,5.71,5.58,5.70,5428500,5.70
2016-08-24,5.57,5.65,5.49,5.60,4077700,5.60
2016-08-23,5.64,5.69,5.56,5.61,3898800,5.61
2016-08-22,5.55,5.64,5.42,5.57,4866400,5.57
2016-08-19,5.46,5.67,5.46,5.60,4087400,5.60
2016-08-18,5.40,5.54,5.38,5.54,4493900,5.54
2016-08-17,5.53,5.54,5.31,5.37,4089100,5.37
2016-08-16,5.50,5.57,5.39,5.54,4158200,5.54
2016-08-15,5.50,5.71,5.43,5.54,6909100,5.54
2016-08-12,5.25,5.49,5.21,5.43,9576100,5.43
2016-08-11,5.22,5.35,5.17,5.22,6541800,5.22
2016-08-10,5.17,5.20,5.04,5.17,4249200,5.17
2016-08-09,5.17,5.29,5.14,5.16,8243800,5.16
2016-08-08,5.10,5.18,5.07,5.15,4803700,5.15
2016-08-05,5.12,5.25,5.06,5.10,9625300,5.10
2016-08-04,5.11,5.20,5.02,5.06,7257800,5.06
2016-08-03,4.73,5.24,4.64,5.08,15195000,5.08
2016-08-02,4.50,5.04,4.44,4.76,21419000,4.76
2016-08-01,4.04,4.21,3.96,4.16,6537700,4.16
2016-07-29,3.85,4.10,3.81,4.07,5101600,4.07
2016-07-28,3.89,3.91,3.80,3.88,1678600,3.88
2016-07-27,3.91,3.95,3.85,3.90,2684900,3.90
2016-07-26,3.82,3.91,3.80,3.89,3367500,3.89
2016-07-25,3.81,3.91,3.75,3.82,3465000,3.82
2016-07-22,3.78,3.83,3.72,3.81,2881100,3.81
2016-07-21,3.92,3.98,3.77,3.80,4124200,3.80
2016-07-20,3.94,4.01,3.85,3.97,3618000,3.97
2016-07-19,4.02,4.06,3.91,3.94,5450500,3.94
2016-07-18,4.10,4.11,4.03,4.09,2952200,4.09
2016-07-15,4.11,4.13,4.03,4.08,3154800,4.08
2016-07-14,4.04,4.15,3.96,4.08,3767400,4.08
2016-07-13,4.14,4.17,4.01,4.04,7570600,4.04
2016-07-12,4.00,4.17,3.92,4.11,7177500,4.11
2016-07-11,3.94,4.03,3.86,3.98,6394800,3.98
2016-07-08,3.83,3.99,3.82,3.93,6496600,3.93
2016-07-07,3.76,3.88,3.74,3.74,3496400,3.74
2016-07-06,3.70,3.79,3.65,3.73,3595700,3.73
2016-07-05,3.95,3.95,3.65,3.75,3682300,3.75
2016-07-01,3.83,3.99,3.78,3.96,3706700,3.96
2016-06-30,3.86,3.87,3.73,3.78,6156400,3.78
2016-06-29,3.74,3.85,3.66,3.81,6506900,3.81
2016-06-28,3.62,3.73,3.57,3.63,5015500,3.63
2016-06-27,3.75,3.77,3.52,3.53,7380800,3.53
2016-06-24,4.00,4.00,3.75,3.85,42116000,3.85
2016-06-23,4.24,4.32,4.21,4.24,3567900,4.24
2016-06-22,4.20,4.29,4.14,4.16,3243600,4.16
2016-06-21,4.12,4.20,4.10,4.17,3487500,4.17
2016-06-20,4.09,4.31,4.09,4.12,6472100,4.12
2016-06-17,3.95,4.06,3.94,4.02,5567300,4.02
2016-06-16,3.88,4.02,3.82,3.94,3113500,3.94
2016-06-15,3.99,4.11,3.96,3.96,3140500,3.96
2016-06-14,3.98,4.06,3.88,3.95,2836500,3.95
2016-06-13,4.12,4.16,3.98,4.02,2501100,4.02
2016-06-10,4.14,4.20,4.11,4.15,2288800,4.15
2016-06-09,4.29,4.31,4.04,4.20,6183800,4.20
2016-06-08,4.41,4.41,4.29,4.33,3487700,4.33
2016-06-07,4.38,4.43,4.33,4.37,4468700,4.37
2016-06-06,4.27,4.39,4.27,4.35,4252600,4.35
2016-06-03,4.15,4.29,4.11,4.20,6022000,4.20
2016-06-02,3.91,4.02,3.91,4.01,2358300,4.01
2016-06-01,3.88,3.98,3.82,3.96,4099500,3.96
2016-05-31,3.89,4.00,3.82,3.90,3913700,3.90
2016-05-27,3.86,3.93,3.84,3.86,1727300,3.86
2016-05-26,3.97,3.97,3.80,3.84,2346100,3.84
2016-05-25,3.78,3.99,3.77,3.92,4085800,3.92
2016-05-24,3.80,3.90,3.70,3.73,3899500,3.73
2016-05-23,3.79,3.86,3.73,3.76,3772200,3.76
2016-05-20,3.81,3.88,3.77,3.81,3916500,3.81
2016-05-19,3.83,3.90,3.72,3.78,5426400,3.78
2016-05-18,4.00,4.10,3.89,3.89,3411300,3.89
2016-05-17,4.01,4.21,3.98,4.03,3416000,4.03
2016-05-16,4.01,4.12,4.00,4.03,3020700,4.03
2016-05-13,4.20,4.27,4.00,4.01,2937200,4.01
2016-05-12,4.27,4.33,4.09,4.21,4238700,4.21
2016-05-11,4.32,4.39,4.08,4.23,6360500,4.23
2016-05-10,4.09,4.35,4.05,4.32,6206600,4.32
2016-05-09,4.12,4.15,3.95,4.09,6397200,4.09
2016-05-06,4.18,4.24,4.09,4.17,5541800,4.17
2016-05-05,4.15,4.61,3.95,4.19,8711900,4.19
2016-05-04,4.24,4.38,4.22,4.30,3365000,4.30
2016-05-03,4.64,4.70,4.30,4.32,4675400,4.32
2016-05-02,4.73,4.80,4.64,4.73,4427600,4.73
2016-04-29,4.64,4.80,4.59,4.71,4146500,4.71
2016-04-28,4.80,4.85,4.62,4.65,5480300,4.65
2016-04-27,4.75,4.93,4.73,4.81,5416000,4.81
2016-04-26,4.83,4.90,4.75,4.76,4501400,4.76
2016-04-25,4.88,4.97,4.72,4.82,4397500,4.82
2016-04-22,4.78,4.96,4.78,4.88,3883600,4.88
2016-04-21,4.98,5.01,4.79,4.81,4863900,4.81
2016-04-20,4.98,5.05,4.96,4.99,2925900,4.99
2016-04-19,5.03,5.06,4.88,4.96,4034800,4.96
2016-04-18,5.00,5.07,4.94,4.99,4275400,4.99
2016-04-15,4.95,5.06,4.91,5.01,4446900,5.01
2016-04-14,5.02,5.19,4.93,4.99,5813000,4.99
2016-04-13,5.09,5.25,4.98,5.00,6790600,5.00
