Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,36.59,36.790001,36.080002,36.50,3387100,36.50
2016-08-30,36.32,36.689999,36.240002,36.490002,2211800,36.490002
2016-08-29,36.25,36.509998,36.150002,36.299999,1621600,36.299999
2016-08-26,36.209999,36.560001,35.990002,36.16,2846200,36.16
2016-08-25,36.119999,36.23,35.939999,36.02,1781700,36.02
2016-08-24,36.900002,36.900002,36.169998,36.209999,2773200,36.209999
2016-08-23,36.830002,36.990002,36.759998,36.869999,2591800,36.869999
2016-08-22,36.700001,36.810001,36.419998,36.50,2572200,36.50
2016-08-19,36.369999,36.93,36.330002,36.82,3173900,36.82
2016-08-18,36.18,36.599998,36.169998,36.599998,1935400,36.599998
2016-08-17,36.040001,36.380001,35.889999,36.25,2244000,36.25
2016-08-16,35.810001,36.23,35.709999,36.049999,2718700,36.049999
2016-08-15,35.73,36.02,35.73,35.970001,1780900,35.970001
2016-08-12,35.400002,35.59,35.25,35.529999,2283100,35.529999
2016-08-11,35.779999,35.919998,35.540001,35.650002,1387800,35.650002
2016-08-10,35.860001,35.950001,35.50,35.560001,1564400,35.560001
2016-08-09,36.330002,36.360001,35.73,35.759998,3208800,35.759998
2016-08-08,36.52,36.919998,36.360001,36.43,3031500,36.43
2016-08-05,35.82,36.470001,35.740002,36.43,2980300,36.43
2016-08-04,35.73,35.799999,35.25,35.380001,3149300,35.380001
2016-08-03,35.09,35.77,35.080002,35.639999,2985500,35.639999
2016-08-02,35.830002,36.16,34.830002,35.07,3920500,35.07
2016-08-01,36.169998,36.57,35.900002,36.029999,4552100,36.029999
2016-07-29,34.91,36.240002,34.599998,36.189999,5839200,36.189999
2016-07-28,34.959999,36.119999,34.84,35.02,4134400,35.02
2016-07-27,34.599998,35.110001,34.41,34.849998,3879100,34.849998
2016-07-26,34.68,34.77,34.139999,34.59,2837100,34.59
2016-07-25,35.099998,35.220001,34.610001,34.66,2656500,34.66
2016-07-22,35.040001,35.23,34.900002,35.169998,1243700,35.169998
2016-07-21,35.040001,35.369999,34.950001,35.009998,1468700,35.009998
2016-07-20,34.869999,35.169998,34.34,35.119999,3778800,35.119999
2016-07-19,34.759998,34.939999,34.52,34.580002,2076200,34.580002
2016-07-18,34.84,35.040001,34.650002,34.990002,1738300,34.990002
2016-07-15,34.68,35.009998,34.369999,34.689999,2151300,34.689999
2016-07-14,35.240002,35.349998,34.459999,34.639999,3371300,34.639999
2016-07-13,34.880001,35.009998,34.209999,34.470001,2663700,34.470001
2016-07-12,34.380001,35.060001,34.360001,34.84,3052100,34.84
2016-07-11,34.029999,34.310001,33.599998,33.950001,2480700,33.950001
2016-07-08,32.939999,34.009998,32.939999,33.98,3337400,33.98
2016-07-07,32.50,33.07,32.310001,32.599998,3317900,32.599998
2016-07-06,31.889999,32.549999,31.59,32.529999,2986800,32.529999
2016-07-05,32.599998,32.66,32.02,32.299999,2459500,32.299999
2016-07-01,33.369999,33.84,32.889999,33.07,2843800,33.07
2016-06-30,32.509998,33.389999,32.259998,33.369999,4878200,33.369999
2016-06-29,31.42,32.490002,31.25,32.48,4994800,32.48
2016-06-28,31.030001,31.219999,30.59,31.02,6799000,31.02
2016-06-27,31.639999,31.77,30.559999,30.67,4423900,30.490001
2016-06-24,32.240002,33.029999,32.009998,32.049999,5237600,31.861901
2016-06-23,34.349998,34.580002,34.119999,34.580002,2051100,34.377055
2016-06-22,33.799999,34.040001,33.630001,33.740002,4293600,33.541985
2016-06-21,33.82,34.00,33.580002,33.810001,1896000,33.611573
2016-06-20,33.98,34.400002,33.740002,33.759998,3755100,33.561864
2016-06-17,33.099998,33.509998,33.009998,33.349998,3796200,33.15427
2016-06-16,32.669998,33.130001,32.200001,33.049999,3027900,32.856032
2016-06-15,33.240002,33.68,33.02,33.049999,3928900,32.856032
2016-06-14,33.119999,33.459999,32.810001,32.91,3748400,32.716854
2016-06-13,33.540001,33.810001,33.220001,33.27,3554800,33.074742
2016-06-10,33.91,33.93,33.549999,33.790001,3803500,33.59169
2016-06-09,35.119999,35.200001,34.169998,34.419998,4774100,34.21799
2016-06-08,35.439999,35.709999,35.169998,35.25,1745500,35.043121
2016-06-07,35.82,35.939999,35.450001,35.450001,3221200,35.241948
2016-06-06,35.639999,36.25,35.48,35.799999,3433600,35.589892
2016-06-03,35.419998,35.73,34.990002,35.59,3194300,35.381126
2016-06-02,35.959999,36.029999,35.439999,35.779999,5612100,35.570009
2016-06-01,36.950001,37.060001,36.52,36.82,3582600,36.603906
2016-05-31,37.560001,37.639999,37.07,37.349998,3576200,37.130795
2016-05-27,37.049999,37.400002,37.049999,37.360001,1768400,37.140738
2016-05-26,37.450001,37.619999,37.00,37.029999,1997800,36.812673
2016-05-25,36.740002,37.580002,36.740002,37.490002,3896600,37.269976
2016-05-24,35.919998,36.68,35.869999,36.57,2407600,36.355374
2016-05-23,35.450001,35.849998,35.400002,35.669998,3101300,35.460654
2016-05-20,35.459999,35.900002,35.419998,35.560001,1796900,35.351303
2016-05-19,35.27,35.439999,34.779999,35.209999,3699900,35.003355
2016-05-18,34.959999,35.77,34.880001,35.610001,4553800,35.401009
2016-05-17,35.169998,35.639999,34.939999,35.07,3035500,34.864177
2016-05-16,35.150002,35.549999,35.049999,35.25,2033100,35.043121
2016-05-13,35.810001,36.299999,34.939999,35.040001,3796800,34.834354
2016-05-12,35.93,36.25,35.529999,35.84,5272800,35.629658
2016-05-11,36.310001,36.439999,35.650002,35.669998,5034400,35.460654
2016-05-10,36.220001,36.59,36.029999,36.540001,1854700,36.325551
2016-05-09,36.009998,36.209999,35.84,35.950001,3312600,35.739013
2016-05-06,35.490002,36.169998,35.380001,36.099998,2253400,35.888131
2016-05-05,36.09,36.369999,35.700001,35.830002,2633000,35.619719
2016-05-04,36.369999,36.77,35.799999,36.029999,2550100,35.818542
2016-05-03,37.240002,37.369999,36.27,36.799999,2616400,36.584023
2016-05-02,37.369999,37.880001,36.889999,37.740002,3696900,37.518509
2016-04-29,37.860001,37.959999,37.110001,37.34,4244900,37.120855
2016-04-28,39.16,39.209999,37.990002,38.150002,4728600,37.926103
2016-04-27,39.200001,39.810001,38.540001,39.650002,4508000,39.417299
2016-04-26,40.299999,40.389999,39.849998,40.18,2723300,39.944187
2016-04-25,40.369999,40.619999,39.959999,40.150002,1971700,39.914365
2016-04-22,40.470001,40.990002,40.439999,40.669998,1856900,40.43131
2016-04-21,40.959999,41.240002,40.419998,40.540001,1722500,40.302075
2016-04-20,40.57,41.18,40.34,40.98,3276300,40.739492
2016-04-19,39.970001,40.52,39.93,40.400002,4764200,40.162897
2016-04-18,39.419998,39.849998,39.209999,39.650002,2479200,39.417299
2016-04-15,39.950001,40.040001,39.349998,39.509998,2133900,39.278118
2016-04-14,39.66,40.200001,39.59,39.880001,2890900,39.645949
2016-04-13,38.32,39.68,38.220001,39.580002,4035000,39.34771
2016-04-12,37.52,38.32,37.049999,37.970001,6782400,37.747159
2016-04-11,37.610001,38.09,37.419998,37.43,4069400,37.210327
2016-04-08,37.41,37.75,37.119999,37.240002,3794800,37.021443
2016-04-07,38.209999,38.279999,36.98,37.200001,3243800,36.981677
2016-04-06,38.32,38.889999,37.990002,38.48,3170700,38.254164
2016-04-05,38.490002,38.830002,38.32,38.450001,2297200,38.224341
2016-04-04,39.57,39.57,38.689999,38.799999,1667100,38.572285
2016-04-01,38.66,39.52,38.330002,39.459999,2554000,39.228412
2016-03-31,39.110001,39.330002,38.939999,39.049999,2565600,38.820818
2016-03-30,39.470001,39.939999,39.029999,39.139999,2888100,38.91029
2016-03-29,37.860001,39.16,37.630001,39.099998,3283300,38.870524
2016-03-28,38.25,38.450001,37.82,38.330002,1848000,37.926102
2016-03-24,38.060001,38.130001,37.669998,38.09,2872200,37.688629
2016-03-23,38.959999,39.150002,38.540001,38.57,2794200,38.16357
2016-03-22,38.740002,39.25,38.439999,39.049999,2141300,38.638512
2016-03-21,38.939999,39.360001,38.77,39.049999,2226600,38.638512
2016-03-18,38.970001,39.490002,38.43,39.09,5038900,38.678091
