Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,52.509998,52.810001,52.279999,52.599998,895200,52.599998
2016-08-30,52.049999,52.50,52.049999,52.50,586200,52.50
2016-08-29,52.02,52.310001,51.849998,52.009998,477300,52.009998
2016-08-26,52.130001,52.490002,51.709999,51.860001,561800,51.860001
2016-08-25,51.23,52.400002,51.009998,52.00,708500,52.00
2016-08-24,51.59,51.799999,51.279999,51.34,604200,51.34
2016-08-23,51.700001,51.990002,51.619999,51.700001,692200,51.700001
2016-08-22,51.060001,51.540001,50.82,51.459999,509800,51.459999
2016-08-19,50.73,51.419998,50.639999,51.27,565200,51.27
2016-08-18,50.740002,51.200001,50.619999,50.939999,609900,50.939999
2016-08-17,50.369999,50.860001,50.369999,50.779999,652700,50.779999
2016-08-16,50.16,50.509998,50.16,50.290001,1057600,50.290001
2016-08-15,50.02,50.459999,50.02,50.23,533500,50.23
2016-08-12,50.060001,50.220001,49.849998,50.139999,702000,49.85
2016-08-11,50.82,50.98,50.150002,50.189999,1086200,49.89971
2016-08-10,50.48,50.610001,50.110001,50.599998,788100,50.307338
2016-08-09,50.740002,50.93,50.099998,50.400002,1294100,50.108498
2016-08-08,50.869999,50.939999,50.599998,50.650002,762000,50.357052
2016-08-05,50.91,51.459999,50.869999,50.91,837600,50.615547
2016-08-04,50.18,50.91,50.18,50.709999,678400,50.416703
2016-08-03,50.130001,50.27,49.93,50.18,611100,49.889769
2016-08-02,50.509998,50.57,50.099998,50.240002,761800,49.949424
2016-08-01,51.040001,51.130001,50.18,50.470001,1033100,50.178093
2016-07-29,51.470001,51.470001,50.48,51.040001,1312500,50.744796
2016-07-28,51.98,51.98,50.48,51.509998,1416300,51.212075
2016-07-27,52.59,52.740002,52.009998,52.380001,842300,52.077046
2016-07-26,52.23,52.630001,52.130001,52.57,474700,52.265946
2016-07-25,52.380001,52.380001,51.73,52.049999,473600,51.748953
2016-07-22,51.889999,52.490002,51.759998,52.360001,538900,52.057161
2016-07-21,52.610001,52.75,51.700001,51.82,602600,51.520283
2016-07-20,52.700001,52.919998,52.50,52.529999,573800,52.226176
2016-07-19,52.959999,53.009998,52.299999,52.599998,650900,52.295771
2016-07-18,53.049999,53.130001,52.59,52.990002,1218400,52.683518
2016-07-15,52.639999,53.32,52.639999,53.09,606000,52.782938
2016-07-14,53.00,53.110001,52.509998,52.529999,906900,52.226176
2016-07-13,51.040001,52.720001,51.040001,52.619999,649400,52.315656
2016-07-12,52.07,52.25,51.75,51.959999,681500,51.659473
2016-07-11,52.00,52.110001,51.57,51.799999,984100,51.500399
2016-07-08,52.060001,52.110001,51.360001,51.84,1103900,51.540168
2016-07-07,52.240002,52.540001,51.139999,51.509998,1039900,51.212075
2016-07-06,51.09,52.400002,51.080002,52.220001,776700,51.917971
2016-07-05,51.599998,51.619999,51.150002,51.560001,564200,51.261789
2016-07-01,51.259998,51.84,51.060001,51.700001,660700,51.400978
2016-06-30,50.369999,51.509998,50.099998,51.490002,945300,51.192194
2016-06-29,50.34,50.57,49.700001,50.139999,787100,49.85
2016-06-28,49.240002,49.93,49.18,49.790001,798700,49.502026
2016-06-27,49.279999,49.689999,48.759998,49.060001,907900,48.776248
2016-06-24,49.849998,50.580002,49.599998,49.66,858800,49.372777
