Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,18.299999,18.57,18.049999,18.24,2939200,18.24
2016-08-30,18.719999,19.08,18.299999,18.48,3063900,18.48
2016-08-29,18.07,18.639999,17.959999,18.540001,2454200,18.540001
2016-08-26,18.129999,18.60,17.950001,18.129999,3745700,18.129999
2016-08-25,17.67,18.040001,17.549999,18.01,2670000,18.01
2016-08-24,17.91,18.33,17.620001,17.690001,2455900,17.690001
2016-08-23,17.48,18.02,17.309999,17.940001,2838600,17.940001
2016-08-22,17.200001,17.73,17.129999,17.51,4410900,17.51
2016-08-19,18.10,18.10,17.40,17.459999,4746300,17.459999
2016-08-18,18.200001,18.68,18.139999,18.34,3193400,18.34
2016-08-17,17.77,18.059999,17.48,18.059999,3407100,18.059999
2016-08-16,17.959999,18.110001,17.52,17.860001,3526500,17.860001
2016-08-15,17.549999,18.27,17.360001,17.93,5450400,17.93
2016-08-12,17.889999,18.049999,17.139999,17.23,3098700,17.23
2016-08-11,18.00,18.25,17.719999,17.76,3680900,17.76
2016-08-10,18.66,18.690001,17.799999,17.83,4261900,17.83
2016-08-09,19.10,19.15,18.469999,18.49,2712800,18.49
2016-08-08,19.209999,19.440001,18.940001,18.959999,4261600,18.959999
2016-08-05,19.129999,19.200001,18.889999,19.049999,2790800,19.049999
2016-08-04,18.719999,19.209999,18.67,18.940001,2953600,18.940001
2016-08-03,18.50,18.83,18.200001,18.82,3128900,18.82
2016-08-02,18.889999,19.030001,18.02,18.40,4683900,18.40
2016-08-01,19.24,19.280001,18.51,18.52,4182100,18.52
2016-07-29,19.200001,19.440001,18.940001,19.379999,3252600,19.379999
2016-07-28,18.889999,19.42,18.83,19.17,6065800,19.17
2016-07-27,18.52,19.620001,18.030001,18.889999,7370600,18.889999
2016-07-26,17.07,18.459999,16.780001,18.35,6418500,18.35
2016-07-25,16.91,17.33,16.809999,17.17,6155000,17.17
2016-07-22,17.02,17.09,16.690001,17.040001,3811600,17.040001
2016-07-21,17.27,17.280001,16.76,16.959999,3513100,16.959999
2016-07-20,16.41,17.190001,16.26,17.059999,7024200,17.059999
2016-07-19,16.879999,16.950001,16.48,16.610001,3179200,16.610001
2016-07-18,16.959999,17.18,16.860001,16.969999,3866700,16.969999
2016-07-15,16.83,17.309999,16.75,17.190001,3228800,17.190001
2016-07-14,17.00,17.24,16.709999,16.76,2945100,16.76
2016-07-13,17.040001,17.09,16.49,16.709999,2703900,16.709999
2016-07-12,16.700001,17.290001,16.700001,16.98,3495700,16.98
2016-07-11,16.370001,16.620001,16.209999,16.370001,2961000,16.370001
2016-07-08,16.23,16.620001,16.049999,16.24,3744600,16.24
2016-07-07,16.76,16.90,15.80,15.96,3954900,15.96
2016-07-06,15.59,16.66,15.48,16.57,9480000,16.57
2016-07-05,15.93,16.00,15.03,15.82,5624800,15.82
2016-07-01,15.80,16.58,15.64,16.40,4178800,16.40
2016-06-30,15.99,16.139999,15.71,16.09,4651700,16.09
2016-06-29,15.45,16.34,15.37,15.91,8015500,15.91
2016-06-28,14.14,15.30,14.13,15.16,4620000,15.16
2016-06-27,14.31,14.34,13.36,13.63,5513300,13.63
2016-06-24,14.77,14.90,14.33,14.58,4129100,14.58
2016-06-23,14.99,15.50,14.88,15.49,3902500,15.49
2016-06-22,15.03,15.27,14.73,14.74,4124700,14.74
2016-06-21,14.63,15.02,14.47,14.91,3968200,14.91
2016-06-20,14.79,15.00,14.49,14.75,6388900,14.75
2016-06-17,13.70,14.74,13.70,14.30,8681600,14.30
2016-06-16,13.38,13.58,12.87,13.50,4742300,13.50
2016-06-15,13.28,13.91,12.96,13.50,4426800,13.50
2016-06-14,13.43,13.81,13.00,13.28,4115800,13.28
2016-06-13,13.16,13.91,13.11,13.63,4796900,13.63
2016-06-10,14.37,14.53,13.20,13.38,8687900,13.38
2016-06-09,14.82,14.85,14.22,14.66,6244400,14.66
2016-06-08,15.59,15.94,15.01,15.07,7974000,15.07
2016-06-07,15.50,15.64,15.25,15.36,4724200,15.36
2016-06-06,15.69,15.75,15.25,15.43,5525500,15.43
2016-06-03,15.31,15.72,15.16,15.66,4447700,15.66
2016-06-02,15.15,15.25,14.89,15.11,6497900,15.11
2016-06-01,15.19,15.55,14.78,15.50,5298400,15.50
2016-05-31,14.90,15.74,14.85,15.36,7189400,15.36
