Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,3.05,3.15,2.96,3.08,11525400,3.08
2016-08-30,3.19,3.30,3.07,3.10,7343200,3.10
2016-08-29,3.00,3.17,2.99,3.17,6184500,3.17
2016-08-26,3.04,3.21,3.03,3.08,8658900,3.08
2016-08-25,2.98,3.11,2.96,3.04,7290600,3.04
2016-08-24,3.05,3.15,2.97,2.99,7301400,2.99
2016-08-23,2.96,3.20,2.95,3.14,8684900,3.14
2016-08-22,3.05,3.14,2.96,2.99,9346300,2.99
2016-08-19,3.31,3.35,3.16,3.17,14536700,3.17
2016-08-18,3.11,3.38,3.11,3.38,13762900,3.38
2016-08-17,3.08,3.14,3.00,3.06,10490100,3.06
2016-08-16,3.10,3.19,3.02,3.13,8664100,3.13
2016-08-15,2.96,3.20,2.93,3.13,12242900,3.13
2016-08-12,2.98,3.01,2.82,2.88,7456600,2.88
2016-08-11,2.82,2.94,2.73,2.86,11830900,2.86
2016-08-10,2.94,3.01,2.73,2.75,13522900,2.75
2016-08-09,3.27,3.30,2.98,3.01,13242000,3.01
2016-08-08,3.09,3.42,3.09,3.20,17920800,3.20
2016-08-05,3.04,3.11,2.92,3.02,10600900,3.02
2016-08-04,2.71,3.13,2.65,2.99,22479600,2.99
2016-08-03,2.68,2.71,2.52,2.66,12544700,2.66
2016-08-02,2.86,2.90,2.58,2.66,10322400,2.66
2016-08-01,2.85,2.85,2.71,2.72,7849600,2.72
2016-07-29,2.88,2.90,2.71,2.90,10811200,2.90
2016-07-28,2.90,3.03,2.86,2.94,7458700,2.94
2016-07-27,3.06,3.18,2.82,2.93,9345600,2.93
2016-07-26,2.84,3.08,2.80,3.05,6559300,3.05
2016-07-25,2.96,2.96,2.79,2.90,7240200,2.90
2016-07-22,3.15,3.18,2.97,3.04,7505300,3.04
2016-07-21,3.33,3.44,3.10,3.13,7721600,3.13
2016-07-20,3.20,3.35,3.10,3.34,5999800,3.34
2016-07-19,3.30,3.30,3.19,3.24,5228300,3.24
2016-07-18,3.22,3.31,3.14,3.27,6037600,3.27
2016-07-15,3.45,3.46,3.24,3.27,6033000,3.27
2016-07-14,3.48,3.50,3.39,3.42,6520100,3.42
2016-07-13,3.69,3.73,3.30,3.35,9395400,3.35
2016-07-12,3.29,3.74,3.27,3.67,13942400,3.67
2016-07-11,3.22,3.29,3.10,3.13,7404100,3.13
2016-07-08,3.22,3.27,3.12,3.22,8068200,3.22
2016-07-07,3.30,3.40,3.07,3.12,12145500,3.12
2016-07-06,3.19,3.31,3.10,3.23,14855800,3.23
2016-07-05,3.52,3.52,3.12,3.25,12978700,3.25
2016-07-01,3.63,3.79,3.55,3.64,11280700,3.64
2016-06-30,3.84,3.84,3.56,3.59,14619000,3.59
2016-06-29,3.98,4.06,3.79,3.80,15745100,3.80
2016-06-28,4.05,4.09,3.75,3.86,14780900,3.86
2016-06-27,4.16,4.21,3.75,3.79,11429700,3.79
2016-06-24,4.28,4.48,4.21,4.30,44544900,4.30
2016-06-23,4.46,4.70,4.46,4.68,9637800,4.68
2016-06-22,4.62,4.64,4.39,4.44,8048300,4.44
2016-06-21,4.38,4.58,4.32,4.48,9476700,4.48
2016-06-20,4.41,4.54,4.29,4.46,11368700,4.46
2016-06-17,4.11,4.30,4.10,4.23,15195000,4.23
