Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,123.860001,124.230003,122.639999,123.050003,786300,123.050003
2016-08-30,124.089996,124.230003,123.440002,123.980003,787200,123.980003
2016-08-29,123.010002,124.160004,122.529999,123.889999,658800,123.889999
2016-08-26,123.239998,124.110001,122.580002,122.93,909900,122.93
2016-08-25,121.800003,123.269997,121.300003,122.800003,828000,122.800003
2016-08-24,122.279999,122.300003,121.43,121.709999,636100,121.709999
2016-08-23,122.800003,123.279999,122.349998,122.669998,563600,122.669998
2016-08-22,122.379997,122.599998,121.650002,122.260002,670400,122.260002
2016-08-19,121.93,122.940002,121.559998,122.769997,803200,122.769997
2016-08-18,122.129997,122.650002,122.07,122.389999,550200,122.389999
2016-08-17,122.360001,122.580002,121.550003,122.260002,608400,122.260002
2016-08-16,122.550003,122.959999,122.019997,122.239998,790700,122.239998
2016-08-15,122.910004,122.980003,121.330002,122.68,720900,122.68
2016-08-12,122.800003,123.050003,122.18,122.449997,631600,122.449997
2016-08-11,122.940002,123.300003,122.68,123.150002,481900,123.150002
2016-08-10,123.110001,123.230003,122.379997,122.860001,577100,122.860001
2016-08-09,122.260002,123.440002,122.059998,122.800003,606400,122.800003
2016-08-08,123.00,123.00,122.029999,122.25,571300,122.25
2016-08-05,122.50,122.790001,121.639999,122.720001,822800,122.720001
2016-08-04,121.690002,122.660004,121.529999,122.230003,1015800,122.230003
2016-08-03,122.75,123.410004,120.760002,121.410004,1575100,121.410004
2016-08-02,119.379997,122.82,119.190002,122.809998,2023300,122.809998
2016-08-01,117.709999,119.220001,117.239998,118.669998,1342100,118.669998
2016-07-29,118.809998,118.860001,117.610001,118.379997,982700,118.379997
2016-07-28,119.099998,119.769997,118.010002,119.129997,807300,119.129997
2016-07-27,119.790001,119.849998,118.379997,119.209999,796800,119.209999
2016-07-26,119.690002,120.050003,119.379997,119.75,640300,119.75
2016-07-25,120.00,120.209999,119.019997,119.790001,532500,119.790001
2016-07-22,119.739998,120.389999,119.410004,120.019997,573000,120.019997
2016-07-21,119.580002,119.959999,118.68,119.639999,1053800,119.639999
2016-07-20,120.190002,120.43,119.709999,120.029999,840500,120.029999
2016-07-19,120.120003,120.550003,119.910004,120.139999,680900,120.139999
2016-07-18,120.68,121.099998,120.120003,120.339996,696000,120.339996
2016-07-15,121.730003,121.75,120.769997,120.949997,779300,120.949997
2016-07-14,120.940002,121.75,120.940002,121.269997,720900,121.269997
2016-07-13,120.599998,120.720001,119.959999,120.559998,786600,120.559998
2016-07-12,119.75,121.160004,119.580002,120.300003,977200,120.300003
2016-07-11,119.489998,119.489998,118.82,119.099998,731400,119.099998
2016-07-08,118.709999,119.620003,118.400002,119.199997,1384900,119.199997
2016-07-07,117.949997,118.860001,117.389999,117.589996,899800,117.589996
2016-07-06,117.239998,118.169998,117.120003,117.800003,888100,117.800003
2016-07-05,118.449997,118.449997,117.269997,117.589996,1063400,117.589996
2016-07-01,118.870003,119.589996,118.589996,118.849998,894700,118.849998
2016-06-30,116.839996,118.980003,116.57,118.599998,1706200,118.599998
2016-06-29,116.00,116.93,116.00,116.790001,1045900,116.790001
2016-06-28,115.489998,115.900002,114.529999,115.25,1232500,115.25
2016-06-27,115.169998,115.480003,113.790001,114.470001,1563300,114.470001
2016-06-24,117.860001,118.160004,116.120003,116.370003,1405200,116.370003
2016-06-23,120.790001,121.169998,120.25,120.940002,807300,120.940002
2016-06-22,119.769997,120.00,119.330002,119.440002,705900,119.440002
2016-06-21,119.330002,119.830002,118.93,119.43,608300,119.43
2016-06-20,119.410004,120.169998,119.089996,119.139999,925100,119.139999
2016-06-17,118.970001,118.970001,117.790001,118.599998,1359500,118.599998
2016-06-16,118.330002,119.50,117.639999,119.32,1120000,118.970003
2016-06-15,119.669998,119.879997,118.510002,118.599998,1089800,118.252113
2016-06-14,119.00,119.57,118.720001,119.349998,1117400,118.999913
2016-06-13,119.830002,121.269997,119.309998,119.339996,1011800,118.989941
2016-06-10,120.059998,120.440002,118.769997,120.25,1618000,119.897275
2016-06-09,121.139999,121.480003,120.480003,120.790001,840500,120.435692
2016-06-08,121.00,121.809998,120.400002,121.550003,1109200,121.193465
2016-06-07,120.25,120.970001,119.709999,120.809998,950600,120.45563
2016-06-06,119.00,120.339996,118.480003,120.129997,1131500,119.777624
2016-06-03,118.080002,118.970001,117.709999,118.790001,1091200,118.441559
2016-06-02,117.949997,118.870003,117.50,118.870003,763400,118.521326
2016-06-01,117.059998,118.610001,116.230003,118.519997,829800,118.172346
2016-05-31,118.620003,118.620003,116.849998,117.239998,1486600,116.896102
