Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,225.570007,227.759995,224.360001,227.100006,410600,227.100006
2016-08-30,225.669998,225.949997,223.00,225.75,234800,225.75
2016-08-29,222.710007,226.839996,222.710007,225.399994,241800,225.399994
2016-08-26,225.779999,227.479996,220.589996,222.020004,285300,222.020004
2016-08-25,223.529999,226.949997,222.070007,225.520004,256400,225.520004
2016-08-24,224.449997,224.449997,221.399994,223.179993,168600,223.179993
2016-08-23,224.580002,225.229996,223.360001,224.020004,192500,224.020004
2016-08-22,225.100006,226.130005,223.020004,224.020004,180800,224.020004
2016-08-19,226.740005,226.740005,223.210007,224.580002,287200,224.580002
2016-08-18,227.399994,228.889999,226.259995,227.589996,211400,227.589996
2016-08-17,230.289993,230.289993,225.130005,228.029999,301500,228.029999
2016-08-16,230.589996,231.470001,229.020004,230.100006,279200,230.100006
2016-08-15,229.279999,232.639999,229.279999,231.649994,279800,231.649994
2016-08-12,228.690002,232.539993,227.580002,229.419998,384200,229.419998
2016-08-11,232.619995,234.389999,226.580002,228.679993,449100,228.679993
2016-08-10,233.970001,234.880005,231.470001,232.710007,248800,232.710007
2016-08-09,233.509995,234.080002,231.869995,233.589996,367500,233.589996
2016-08-08,230.990005,235.990005,230.610001,233.199997,314100,233.199997
2016-08-05,229.809998,231.009995,228.350006,230.610001,200200,230.610001
2016-08-04,230.929993,230.929993,229.110001,229.509995,236100,229.509995
2016-08-03,231.860001,231.860001,229.649994,230.429993,283200,230.429993
2016-08-02,233.699997,234.490005,230.800003,231.509995,343600,231.509995
2016-08-01,233.740005,236.559998,233.020004,234.619995,485700,234.619995
2016-07-29,221.470001,234.270004,221.470001,233.880005,1134600,233.880005
2016-07-28,218.770004,222.429993,218.089996,220.589996,446400,220.589996
2016-07-27,220.259995,221.00,217.160004,218.809998,918400,218.809998
2016-07-26,225.210007,225.910004,222.039993,222.729996,346000,222.729996
2016-07-25,227.429993,228.899994,225.720001,226.399994,250800,226.399994
2016-07-22,226.509995,228.080002,226.509995,226.990005,402100,226.990005
2016-07-21,225.869995,226.509995,224.279999,226.440002,267200,226.440002
2016-07-20,226.699997,226.699997,224.309998,226.350006,258000,226.350006
2016-07-19,225.279999,226.589996,224.119995,226.589996,383000,226.589996
2016-07-18,226.369995,227.600006,224.210007,225.630005,483500,225.630005
2016-07-15,228.899994,229.889999,224.919998,226.600006,448600,226.600006
2016-07-14,235.429993,235.429993,228.880005,229.539993,299100,229.539993
2016-07-13,233.25,234.490005,231.789993,234.259995,231900,234.259995
2016-07-12,231.740005,233.020004,229.949997,232.070007,326700,232.070007
2016-07-11,231.639999,232.259995,229.639999,231.330002,202800,231.330002
2016-07-08,230.990005,232.570007,229.110001,231.330002,353100,231.330002
2016-07-07,230.050003,230.050003,227.289993,228.759995,347300,228.759995
2016-07-06,230.539993,231.910004,228.979996,230.059998,360900,230.059998
