Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,152.559998,152.699997,151.610001,152.220001,1053700,152.220001
2016-08-30,152.690002,153.00,151.889999,152.559998,665000,152.559998
2016-08-29,151.479996,152.899994,151.389999,152.820007,954400,152.820007
2016-08-26,152.929993,153.190002,150.960007,151.580002,1153800,151.580002
2016-08-25,152.289993,153.009995,151.809998,152.679993,908000,152.679993
2016-08-24,151.830002,152.529999,151.419998,152.289993,1039700,152.289993
2016-08-23,153.00,153.00,151.649994,152.149994,1352000,152.149994
2016-08-22,152.369995,152.580002,151.789993,152.220001,1086300,152.220001
2016-08-19,151.940002,152.570007,151.339996,152.380005,1152200,152.380005
2016-08-18,152.910004,153.199997,151.770004,152.429993,1514100,152.429993
2016-08-17,152.550003,153.089996,151.770004,152.970001,1155700,152.970001
2016-08-16,152.75,153.350006,152.020004,152.399994,1206400,152.399994
2016-08-15,151.429993,153.800003,151.369995,153.399994,2128700,153.399994
2016-08-12,150.729996,151.75,150.729996,151.470001,1045000,151.470001
2016-08-11,151.380005,151.759995,150.550003,151.300003,2155800,151.300003
2016-08-10,149.589996,151.600006,149.589996,151.470001,2667800,151.470001
2016-08-09,148.139999,148.869995,148.100006,148.570007,921300,148.570007
2016-08-08,148.559998,149.160004,147.800003,148.110001,833900,148.110001
2016-08-05,147.570007,149.009995,147.449997,148.889999,1138100,148.889999
2016-08-04,147.960007,148.380005,146.820007,147.369995,1398400,147.369995
2016-08-03,148.179993,148.440002,147.190002,147.809998,1192500,147.809998
2016-08-02,148.589996,149.309998,147.369995,148.220001,1711300,148.220001
2016-08-01,147.149994,149.369995,146.929993,149.089996,2237800,149.089996
2016-07-29,146.460007,147.190002,145.690002,146.889999,1591400,146.889999
2016-07-28,146.50,147.490005,145.050003,147.100006,2150500,147.100006
2016-07-27,146.070007,147.669998,143.580002,146.630005,2743000,146.630005
2016-07-26,143.990005,144.610001,143.490005,144.509995,1312400,144.509995
2016-07-25,143.279999,143.970001,142.529999,143.720001,1141300,143.720001
2016-07-22,142.589996,143.889999,142.130005,143.770004,830000,143.770004
2016-07-21,144.610001,144.619995,142.179993,142.860001,979900,142.860001
2016-07-20,143.710007,144.690002,143.419998,144.539993,1511700,144.539993
2016-07-19,141.00,143.679993,140.869995,143.309998,2450100,143.309998
2016-07-18,142.050003,142.289993,140.919998,141.00,1278000,141.00
2016-07-15,142.910004,143.00,142.039993,142.089996,1447900,142.089996
2016-07-14,142.809998,143.199997,142.050003,142.559998,1111800,142.559998
2016-07-13,141.699997,142.419998,141.410004,141.729996,1100700,141.729996
2016-07-12,142.100006,142.690002,141.440002,141.539993,1853700,141.539993
2016-07-11,140.559998,141.949997,140.559998,141.190002,1331400,141.190002
2016-07-08,139.559998,140.800003,139.100006,140.479996,2033900,140.479996
2016-07-07,139.690002,140.899994,138.360001,138.690002,1439200,138.690002
2016-07-06,138.139999,140.029999,136.710007,139.889999,1998700,139.889999
2016-07-05,140.929993,141.00,137.789993,138.410004,1948700,138.410004
2016-07-01,139.520004,141.539993,139.50,141.339996,3943000,141.339996
2016-06-30,135.820007,139.539993,135.809998,139.240005,2677000,139.240005
2016-06-29,134.740005,135.800003,133.25,135.630005,1299900,135.630005
2016-06-28,134.559998,134.559998,132.809998,133.940002,1912100,133.180002
2016-06-27,135.00,135.449997,132.679993,133.059998,2301500,132.304991
2016-06-24,135.889999,138.880005,135.029999,136.139999,4483700,135.367516
2016-06-23,140.149994,140.149994,138.869995,139.779999,1017900,138.986861
2016-06-22,139.779999,140.389999,138.610001,138.789993,1359900,138.002473
2016-06-21,141.220001,141.580002,139.410004,139.410004,1597100,138.618966
2016-06-20,140.419998,141.559998,139.970001,140.919998,1897400,140.120392
2016-06-17,139.899994,140.089996,138.080002,138.990005,1520400,138.201351
2016-06-16,139.539993,140.649994,138.429993,139.759995,946200,138.966971
2016-06-15,139.75,140.809998,139.529999,140.110001,1462200,139.314991
2016-06-14,138.990005,139.460007,138.300003,139.429993,1084100,138.638841
2016-06-13,141.199997,141.619995,139.029999,139.110001,1390800,138.320665
2016-06-10,141.169998,142.089996,141.029999,141.529999,1400800,140.726932
2016-06-09,141.190002,142.130005,141.00,141.979996,1347100,141.174375
2016-06-08,140.869995,141.669998,140.600006,141.490005,870500,140.687165
2016-06-07,140.75,141.809998,140.559998,141.059998,1826600,140.259597
2016-06-06,140.529999,141.25,140.039993,140.339996,979900,139.543681
2016-06-03,140.009995,140.869995,138.759995,140.229996,2602400,139.434305
2016-06-02,140.919998,141.470001,139.990005,140.130005,2087000,139.334882
2016-06-01,141.869995,141.869995,140.970001,141.470001,5111200,140.667274
2016-05-31,143.539993,143.910004,141.539993,141.869995,1690900,141.064999
2016-05-27,142.800003,143.429993,142.789993,143.130005,761100,142.317859
2016-05-26,142.949997,143.279999,142.470001,142.830002,951400,142.019558
2016-05-25,143.449997,143.559998,142.550003,142.970001,1349500,142.158763
2016-05-24,142.75,143.360001,142.720001,142.960007,1977800,142.148825
2016-05-23,144.279999,144.630005,142.25,142.25,1632000,141.442847
2016-05-20,144.479996,144.940002,143.720001,144.619995,1194500,143.799395
2016-05-19,143.460007,143.960007,142.309998,143.589996,1236900,142.77524
2016-05-18,144.309998,145.919998,143.410004,144.309998,1154400,143.491156
2016-05-17,145.429993,147.160004,144.259995,145.00,1557500,144.177243
2016-05-16,144.059998,145.809998,144.00,145.369995,937300,144.545139
2016-05-13,144.869995,145.679993,144.169998,144.369995,991200,143.550813
2016-05-12,144.740005,145.979996,144.289993,145.309998,1372100,144.485482
2016-05-11,145.740005,146.309998,144.710007,144.960007,1383500,144.137477
2016-05-10,143.740005,145.800003,143.600006,145.710007,1565000,144.883221
2016-05-09,143.279999,144.759995,142.710007,142.970001,1400000,142.158763
2016-05-06,141.990005,143.669998,141.729996,143.440002,1780800,142.626098
2016-05-05,141.660004,142.600006,141.009995,142.199997,1429000,141.393128
2016-05-04,141.990005,142.350006,140.660004,141.429993,958200,140.627493
2016-05-03,141.139999,142.820007,140.070007,142.339996,1291700,141.532333
2016-05-02,140.720001,142.800003,139.970001,141.830002,1529100,141.025232
2016-04-29,140.100006,140.830002,139.00,140.520004,1893500,139.722668
2016-04-28,142.210007,143.449997,140.669998,141.160004,1783000,140.359036
2016-04-27,139.00,144.149994,138.600006,143.610001,2888100,142.795131
2016-04-26,137.509995,139.00,137.240005,138.710007,1468500,137.922941
2016-04-25,137.050003,137.75,136.50,136.789993,951500,136.013822
2016-04-22,138.029999,138.429993,136.440002,137.899994,1140100,137.117524
2016-04-21,136.860001,138.770004,136.699997,137.720001,1492600,136.938553
2016-04-20,136.740005,139.039993,136.600006,136.710007,1639000,135.934289
2016-04-19,136.550003,136.949997,135.580002,136.690002,1567800,135.914398
2016-04-18,134.619995,136.509995,134.339996,136.289993,1283500,135.516659
2016-04-15,133.690002,135.139999,133.509995,134.809998,1158600,134.045061
