Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,491.480011,500.690002,484.450012,490.350006,37500,490.350006
2016-08-30,497.00,498.98999,485.130005,491.670013,36200,491.670013
2016-08-29,510.359985,510.359985,497.00,497.799988,28500,497.799988
2016-08-26,519.039978,521.98999,506.00,507.820007,51000,507.820007
2016-08-25,513.00,524.059998,513.00,516.780029,15700,516.780029
2016-08-24,518.090027,518.090027,512.580017,515.799988,22700,515.799988
2016-08-23,525.309998,526.460022,518.00,518.030029,10300,518.030029
2016-08-22,521.210022,526.700012,517.950012,525.109985,30400,525.109985
2016-08-19,509.350006,524.539978,509.26001,524.00,34500,524.00
2016-08-18,501.329987,512.669983,501.329987,512.669983,33700,512.669983
2016-08-17,499.829987,504.589996,497.50,501.709991,20400,501.709991
2016-08-16,505.130005,505.130005,500.00,501.899994,12700,501.899994
2016-08-15,495.269989,504.73999,495.269989,503.929993,28800,503.929993
2016-08-12,496.059998,496.950012,494.51001,495.190002,13400,495.190002
2016-08-11,494.01001,499.600006,490.700012,496.700012,46100,496.700012
2016-08-10,488.829987,496.380005,486.220001,493.660004,22900,493.660004
2016-08-09,494.50,494.50,485.01001,488.00,22300,488.00
2016-08-08,492.899994,498.00,489.950012,493.329987,20900,493.329987
2016-08-05,505.959991,505.959991,492.029999,493.019989,22900,493.019989
2016-08-04,507.00,512.97998,502.399994,503.290009,27400,503.290009
2016-08-03,499.899994,508.350006,493.829987,506.410004,23000,506.410004
2016-08-02,505.290009,505.290009,494.160004,498.209991,14400,498.209991
2016-08-01,506.109985,507.179993,501.00,504.179993,17900,504.179993
2016-07-29,509.029999,509.029999,503.23999,503.23999,9400,503.23999
2016-07-28,506.380005,509.959991,505.350006,507.220001,8100,507.220001
2016-07-27,506.350006,510.279999,503.48999,506.640015,14000,506.640015
2016-07-26,507.480011,511.029999,505.630005,506.709991,15500,506.709991
2016-07-25,506.00,508.660004,504.399994,506.329987,13400,506.329987
2016-07-22,506.160004,507.589996,504.040009,506.040009,6700,506.040009
2016-07-21,507.00,510.26001,502.670013,504.23999,9300,504.23999
2016-07-20,502.50,508.660004,502.50,507.230011,7600,507.230011
2016-07-19,500.059998,505.709991,500.059998,501.329987,11600,501.329987
2016-07-18,501.850006,505.480011,499.290009,502.929993,17800,502.929993
2016-07-15,510.970001,510.970001,500.140015,501.01001,17300,499.80001
2016-07-14,517.219971,517.219971,507.890015,508.50,12200,507.271911
2016-07-13,512.619995,516.429993,510.700012,513.880005,16400,512.638923
2016-07-12,511.980011,518.72998,509.609985,512.650024,22100,511.411913
2016-07-11,497.890015,509.640015,497.890015,507.890015,28300,506.663399
2016-07-08,483.00,494.019989,483.00,492.440002,19100,491.2507
2016-07-07,481.700012,482.799988,476.01001,481.679993,30800,480.516677
2016-07-06,482.570007,483.029999,477.630005,479.959991,22300,478.80083
2016-07-05,489.73999,493.410004,481.309998,482.350006,35900,481.185073
2016-07-01,487.329987,496.709991,487.329987,492.690002,15400,491.500097
2016-06-30,480.779999,489.549988,477.23999,489.540009,38100,488.35771
2016-06-29,480.480011,482.00,474.220001,478.070007,38100,476.915411
2016-06-28,479.709991,484.480011,472.160004,478.899994,20000,477.743393
2016-06-27,481.579987,483.880005,470.01001,476.01001,59100,474.860388
2016-06-24,486.200012,497.649994,478.01001,484.119995,79200,482.950787
2016-06-23,499.00,503.670013,493.769989,502.350006,26700,501.13677
2016-06-22,496.850006,499.00,494.109985,495.540009,15000,494.34322
2016-06-21,500.290009,501.660004,493.00,498.230011,15500,497.026725
2016-06-20,496.00,501.290009,495.00,500.73999,32300,499.530643
2016-06-17,501.459991,501.459991,489.579987,491.98999,43400,490.801775
2016-06-16,497.98999,503.399994,495.529999,501.790009,9200,500.578125
2016-06-15,499.480011,502.399994,495.480011,499.23999,16500,498.034265
2016-06-14,494.299988,504.589996,494.299988,497.359985,10700,496.158801
2016-06-13,496.769989,507.190002,494.420013,497.859985,15100,496.657593
2016-06-10,498.540009,504.00,496.380005,500.98999,13400,499.780039
2016-06-09,500.369995,511.869995,500.369995,503.01001,16500,501.79518
2016-06-08,504.679993,512.900024,501.850006,503.820007,12500,502.603221
2016-06-07,505.299988,506.790009,503.01001,505.769989,13700,504.548493
2016-06-06,507.730011,508.98999,503.48999,507.320007,12500,506.094768
2016-06-03,505.459991,509.059998,497.01001,505.190002,17500,503.969908
2016-06-02,503.429993,508.950012,500.100006,508.559998,19900,507.331764
2016-06-01,495.100006,507.450012,494.980011,505.399994,12400,504.179392
2016-05-31,509.850006,520.440002,497.950012,497.950012,21800,496.747403
2016-05-27,502.26001,509.98999,498.50,507.589996,27100,506.364105
2016-05-26,497.070007,504.660004,495.459991,499.799988,21200,498.592911
2016-05-25,499.170013,503.390015,488.73999,493.649994,11100,492.45777
2016-05-24,496.329987,500.559998,493.25,499.170013,11100,497.964458
2016-05-23,486.019989,494.890015,486.019989,492.01001,17700,490.821746
2016-05-20,491.350006,499.690002,491.350006,496.450012,16600,495.251026
2016-05-19,481.029999,491.170013,476.100006,489.859985,17300,488.676914
2016-05-18,485.579987,489.040009,480.809998,483.910004,22000,482.741303
2016-05-17,482.670013,493.070007,480.01001,484.880005,36900,483.708961
2016-05-16,481.320007,487.450012,478.23999,481.459991,28700,480.297208
2016-05-13,484.809998,487.769989,470.019989,481.320007,24000,480.157561
2016-05-12,481.649994,488.790009,470.410004,486.00,28500,484.826251
2016-05-11,483.190002,484.480011,475.700012,479.700012,15100,478.541479
2016-05-10,481.279999,486.899994,481.279999,485.76001,18600,484.586841
2016-05-09,481.019989,484.959991,480.410004,481.230011,5500,480.067782
2016-05-06,479.600006,496.25,479.470001,481.299988,23800,480.13759
2016-05-05,478.160004,495.209991,478.160004,481.670013,22000,480.506722
2016-05-04,477.600006,481.00,466.00,476.26001,16900,475.109784
2016-05-03,482.25,497.50,478.820007,481.269989,14400,480.107664
2016-05-02,479.950012,487.910004,479.950012,486.160004,22100,484.985869
2016-04-29,477.390015,489.399994,473.420013,476.540009,18800,475.389107
2016-04-28,489.799988,489.799988,472.059998,475.559998,33400,474.411463
2016-04-27,485.75,490.429993,483.540009,487.399994,24200,486.222864
2016-04-26,486.970001,502.00,485.01001,487.019989,20900,485.843777
2016-04-25,488.899994,489.119995,483.130005,486.529999,19900,485.35497
2016-04-22,483.130005,494.00,468.01001,489.970001,41400,488.786665
2016-04-21,486.899994,490.029999,473.179993,482.859985,24400,481.69382
2016-04-20,473.450012,487.899994,473.00,485.23999,27400,484.068077
2016-04-19,470.00,477.73999,464.459991,475.820007,33500,474.670845
2016-04-18,475.00,480.00,466.299988,470.190002,25000,469.054437
2016-04-15,465.549988,481.149994,451.51001,476.369995,44700,475.219504
2016-04-14,470.00,470.00,454.920013,464.170013,48000,463.048987
2016-04-13,466.029999,474.429993,462.00,469.98999,55900,468.854908
2016-04-12,468.00,469.230011,460.540009,465.600006,22700,463.268456
2016-04-11,469.899994,480.00,465.929993,467.839996,26400,465.497229
2016-04-08,464.920013,474.51001,462.279999,466.809998,20800,464.472388
2016-04-07,470.00,474.959991,457.850006,460.329987,55500,458.024827
2016-04-06,480.149994,489.929993,470.709991,472.769989,21500,470.402534
2016-04-05,479.570007,487.950012,473.959991,480.98999,64900,478.581373
2016-04-04,490.01001,492.089996,478.970001,483.329987,31800,480.909651
2016-04-01,476.549988,492.98999,466.880005,488.730011,49100,486.282635
2016-03-31,480.00,484.670013,477.50,480.00,24900,477.59634
2016-03-30,486.910004,494.50,478.76001,480.00,18900,477.59634
2016-03-29,481.670013,491.470001,481.649994,484.51001,25800,482.083766
2016-03-28,472.220001,485.570007,472.220001,480.00,42700,477.59634
