Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,49.419998,49.830002,49.00,49.080002,1354200,49.080002
2016-08-30,50.16,50.470001,49.23,49.32,1280200,49.32
2016-08-29,50.200001,50.529999,49.98,50.169998,1487900,50.169998
2016-08-26,50.700001,50.900002,49.959999,50.200001,1304000,50.200001
2016-08-25,49.459999,51.00,49.459999,50.52,1544600,50.52
2016-08-24,51.669998,52.360001,50.310001,50.59,3427100,50.59
2016-08-23,53.23,54.099998,53.200001,53.669998,1318000,53.669998
2016-08-22,53.200001,53.439999,52.639999,53.16,1786700,53.16
2016-08-19,54.66,54.759998,54.209999,54.380001,868500,54.380001
2016-08-18,54.619999,54.939999,53.900002,54.82,881200,54.82
2016-08-17,55.150002,55.169998,54.259998,54.75,1046700,54.75
2016-08-16,55.349998,55.50,55.099998,55.18,748400,55.18
2016-08-15,55.369999,55.59,55.09,55.580002,612600,55.580002
2016-08-12,55.50,55.57,54.98,55.099998,625700,55.099998
2016-08-11,55.34,55.419998,54.650002,55.290001,732800,55.290001
2016-08-10,54.619999,55.09,54.380001,55.080002,1450200,55.080002
2016-08-09,55.029999,55.189999,54.240002,54.360001,1273400,54.360001
2016-08-08,55.189999,55.290001,54.779999,54.860001,1108900,54.860001
2016-08-05,54.91,55.259998,54.529999,54.919998,1434200,54.919998
2016-08-04,53.849998,55.049999,53.75,54.540001,2000800,54.540001
2016-08-03,54.740002,55.939999,54.509998,55.459999,1356200,55.459999
2016-08-02,55.52,55.830002,54.66,54.860001,1801400,54.860001
2016-08-01,54.48,56.189999,54.240002,55.75,3015500,55.75
2016-07-29,53.599998,54.860001,53.360001,54.330002,2219400,54.330002
2016-07-28,52.00,53.799999,51.549999,53.540001,2974500,53.540001
2016-07-27,50.27,52.139999,50.119999,51.790001,5643600,51.790001
2016-07-26,45.860001,46.52,45.779999,46.389999,1186200,46.389999
2016-07-25,46.09,46.139999,45.700001,45.919998,964500,45.919998
2016-07-22,45.740002,46.099998,45.630001,46.049999,486600,46.049999
2016-07-21,45.630001,45.939999,45.41,45.709999,477400,45.709999
2016-07-20,45.689999,45.950001,45.419998,45.700001,503500,45.700001
2016-07-19,45.41,45.759998,45.240002,45.66,703100,45.66
2016-07-18,45.209999,45.740002,45.119999,45.43,783800,45.43
2016-07-15,44.869999,45.07,44.689999,45.009998,670000,45.009998
2016-07-14,44.900002,45.34,44.599998,44.740002,762100,44.740002
2016-07-13,44.75,44.75,44.150002,44.310001,540200,44.310001
2016-07-12,44.139999,44.720001,44.130001,44.709999,1251700,44.709999
2016-07-11,43.529999,44.060001,43.380001,43.740002,673600,43.740002
2016-07-08,42.880001,43.439999,42.779999,43.369999,894700,43.369999
2016-07-07,42.150002,43.099998,41.889999,42.59,859100,42.59
2016-07-06,41.869999,42.049999,41.360001,42.02,848700,42.02
2016-07-05,42.400002,42.400002,41.599998,41.91,601700,41.91
2016-07-01,42.43,42.720001,42.23,42.470001,749100,42.470001
2016-06-30,41.830002,42.43,41.110001,42.419998,909500,42.419998
2016-06-29,40.75,41.509998,40.669998,41.43,812000,41.43
2016-06-28,39.959999,40.759998,39.779999,40.610001,985200,40.610001
2016-06-27,40.380001,40.549999,39.290001,39.68,972300,39.68
2016-06-24,40.990002,41.82,40.759998,40.77,1579500,40.77
2016-06-23,42.779999,43.369999,42.639999,43.279999,909200,43.279999
2016-06-22,42.57,42.880001,42.27,42.299999,720200,42.299999
2016-06-21,42.580002,42.68,42.299999,42.509998,526200,42.509998
2016-06-20,42.689999,42.900002,42.509998,42.52,571900,42.52
2016-06-17,41.84,42.57,41.75,42.080002,1525300,42.080002
2016-06-16,41.599998,42.139999,41.110001,41.869999,598600,41.869999
2016-06-15,42.75,42.849998,42.150002,42.220001,729100,41.710001
2016-06-14,42.349998,42.610001,41.900002,42.529999,673300,42.016254
2016-06-13,42.310001,42.73,42.110001,42.43,788000,41.917463
2016-06-10,43.060001,43.060001,42.41,42.509998,735800,41.996495
2016-06-09,43.09,43.279999,42.84,43.240002,601000,42.71768
