Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,9.92,10.01,9.85,10.01,22272800,10.01
2016-08-30,9.76,9.89,9.76,9.89,8631700,9.89
2016-08-29,9.70,9.87,9.67,9.76,14774400,9.76
2016-08-26,9.68,9.71,9.56,9.69,15014400,9.69
2016-08-25,9.52,9.67,9.49,9.60,21377900,9.60
2016-08-24,9.63,9.71,9.50,9.51,23739400,9.51
2016-08-23,9.68,9.70,9.59,9.64,17468800,9.64
2016-08-22,9.51,9.66,9.46,9.65,13992100,9.65
2016-08-19,9.47,9.56,9.43,9.51,21860900,9.51
2016-08-18,9.66,9.74,9.49,9.51,99726200,9.51
2016-08-17,9.62,9.80,9.62,9.66,20580900,9.66
2016-08-16,9.64,9.70,9.55,9.64,41796500,9.64
2016-08-15,9.48,9.70,9.46,9.68,4859400,9.68
2016-08-12,9.51,9.52,9.40,9.48,5138300,9.48
2016-08-11,9.59,9.60,9.50,9.57,6531800,9.57
2016-08-10,9.72,9.73,9.52,9.54,5160400,9.54
2016-08-09,9.73,9.77,9.67,9.70,5128200,9.70
2016-08-08,9.81,9.85,9.71,9.74,6554500,9.74
2016-08-05,9.44,9.75,9.38,9.75,6341400,9.75
2016-08-04,9.34,9.44,9.32,9.35,6384900,9.35
2016-08-03,9.28,9.42,9.23,9.38,7165900,9.38
2016-08-02,9.36,9.42,9.21,9.27,9449700,9.27
2016-08-01,9.54,9.58,9.37,9.38,10336300,9.38
2016-07-29,9.41,9.53,9.41,9.50,7686600,9.50
2016-07-28,9.37,9.50,9.28,9.46,7452500,9.46
2016-07-27,9.38,9.54,9.38,9.42,8083000,9.42
2016-07-26,9.30,9.42,9.24,9.41,7418300,9.41
2016-07-25,9.26,9.34,9.24,9.30,7510600,9.30
2016-07-22,9.10,9.30,9.10,9.28,6192000,9.28
2016-07-21,9.17,9.34,9.11,9.16,12386200,9.16
2016-07-20,9.27,9.35,9.17,9.24,8461700,9.24
2016-07-19,9.29,9.35,9.22,9.27,7687300,9.27
2016-07-18,9.27,9.32,9.22,9.30,6313500,9.30
2016-07-15,9.31,9.31,9.21,9.26,5797400,9.26
2016-07-14,9.24,9.33,9.20,9.23,7686200,9.23
2016-07-13,9.11,9.18,9.00,9.08,6518600,9.08
2016-07-12,9.00,9.13,8.95,9.10,8788800,9.10
2016-07-11,8.83,8.90,8.80,8.85,6669600,8.85
2016-07-08,8.71,8.84,8.68,8.72,14223700,8.72
2016-07-07,8.51,8.66,8.46,8.58,11964500,8.58
2016-07-06,8.42,8.58,8.23,8.52,16886800,8.52
2016-07-05,8.71,8.72,8.44,8.51,14169600,8.51
2016-07-01,8.89,8.94,8.76,8.83,12682800,8.83
2016-06-30,8.56,8.95,8.55,8.94,25206000,8.94
2016-06-29,8.46,8.56,8.30,8.51,15852400,8.51
2016-06-28,8.29,8.42,8.19,8.37,17511000,8.37
2016-06-27,8.49,8.54,8.05,8.09,19206000,8.09
2016-06-24,8.95,9.00,8.61,8.61,25194000,8.61
2016-06-23,9.34,9.50,9.32,9.43,9374400,9.43
2016-06-22,9.26,9.39,9.20,9.22,6110300,9.22
