Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,116.959999,117.129997,116.410004,116.709999,2052700,116.709999
2016-08-30,117.199997,117.410004,116.849998,117.019997,1946900,117.019997
2016-08-29,116.75,117.379997,116.510002,117.169998,2403100,117.169998
2016-08-26,117.129997,117.75,116.370003,116.75,1703800,116.75
2016-08-25,116.639999,117.230003,116.370003,116.769997,1823600,116.769997
2016-08-24,116.800003,117.080002,116.540001,116.760002,1728700,116.760002
2016-08-23,116.919998,117.349998,116.849998,117.010002,1811500,117.010002
2016-08-22,115.910004,116.940002,115.739998,116.580002,2219200,116.580002
2016-08-19,115.470001,116.25,115.470001,116.110001,1593500,116.110001
2016-08-18,115.610001,115.980003,115.440002,115.860001,1776700,115.860001
2016-08-17,115.599998,115.870003,115.080002,115.779999,1692100,115.779999
2016-08-16,116.43,117.449997,116.160004,116.230003,1937800,115.635005
2016-08-15,116.50,117.019997,116.029999,116.839996,1848100,116.241875
2016-08-12,116.150002,116.32,115.830002,116.099998,1364200,115.505666
2016-08-11,116.449997,116.629997,116.080002,116.370003,1566300,115.774288
2016-08-10,116.32,116.50,115.57,116.029999,1768100,115.436024
2016-08-09,116.230003,116.580002,115.919998,116.260002,1663700,115.66485
2016-08-08,116.599998,116.769997,115.709999,116.040001,2009400,115.445975
2016-08-05,116.300003,116.900002,115.900002,116.370003,2937700,115.774288
2016-08-04,116.040001,116.589996,115.900002,115.949997,1290300,115.356432
2016-08-03,115.459999,116.120003,115.129997,116.010002,1989600,115.41613
2016-08-02,115.50,115.739998,115.040001,115.449997,2092700,114.858992
2016-08-01,115.949997,116.339996,115.309998,115.879997,2270500,115.286791
2016-07-29,115.599998,116.50,115.050003,116.330002,2939900,115.734492
2016-07-28,115.00,115.919998,114.239998,115.760002,2977500,115.16741
2016-07-27,116.080002,116.410004,114.599998,114.959999,3446500,114.371502
2016-07-26,115.290001,115.959999,114.599998,115.949997,3049800,115.356432
2016-07-25,115.07,116.449997,115.07,115.489998,5401000,114.898788
2016-07-22,113.650002,116.00,112.699997,115.610001,9167400,115.018176
2016-07-21,119.809998,120.00,118.300003,118.660004,4107500,118.052566
2016-07-20,119.440002,120.00,119.190002,119.879997,2174400,119.266314
2016-07-19,118.589996,119.43,118.339996,119.349998,2182900,118.739029
2016-07-18,119.230003,119.25,118.68,118.889999,1248000,118.281384
2016-07-15,119.669998,119.730003,118.940002,119.230003,2254000,118.619648
2016-07-14,119.669998,120.019997,118.900002,119.089996,2416000,118.480357
2016-07-13,119.610001,119.800003,118.760002,119.050003,1901300,118.440569
2016-07-12,119.010002,119.709999,118.779999,119.019997,2298300,118.410716
2016-07-11,118.959999,119.040001,118.120003,118.57,2967400,117.963023
2016-07-08,117.07,118.989998,116.93,118.839996,2524900,118.231637
2016-07-07,116.779999,117.160004,115.550003,116.110001,2140500,115.515617
2016-07-06,115.480003,116.860001,114.410004,116.82,3098200,116.221981
2016-07-05,115.870003,116.459999,114.669998,115.230003,2416700,114.640124
2016-07-01,116.650002,117.620003,116.260002,116.50,2233000,115.90362
2016-06-30,115.00,116.339996,114.610001,116.32,3377600,115.724541
2016-06-29,114.360001,114.959999,113.18,114.459999,4016700,113.874062
2016-06-28,113.32,114.099998,112.379997,114.059998,3644000,113.476108
2016-06-27,112.07,112.07,110.199997,111.459999,3892800,110.889419
2016-06-24,113.50,115.339996,112.639999,112.980003,3663400,112.401642
2016-06-23,117.510002,117.699997,116.639999,117.32,2007500,116.719422
2016-06-22,117.449997,117.809998,116.440002,116.57,2195500,115.973261
2016-06-21,117.480003,117.620003,116.959999,117.300003,2319400,116.699527
2016-06-20,117.300003,118.529999,116.629997,117.059998,2897300,116.46075
2016-06-17,115.919998,116.160004,115.169998,115.919998,3259000,115.326587
2016-06-16,114.970001,116.010002,114.00,115.790001,2144500,115.197255
2016-06-15,115.970001,116.519997,115.440002,115.519997,2884900,114.928633
2016-06-14,115.059998,115.589996,114.559998,115.510002,2053900,114.91869
2016-06-13,116.610001,116.639999,115.059998,115.129997,2417600,114.54063
2016-06-10,117.510002,117.510002,116.220001,116.68,3245300,116.082698
2016-06-09,115.57,117.300003,115.440002,117.209999,2657600,116.609984
2016-06-08,115.510002,116.389999,115.300003,116.07,2449300,115.475821
2016-06-07,115.540001,115.879997,115.330002,115.349998,2002500,114.759505
2016-06-06,114.980003,115.769997,114.760002,115.540001,1871900,114.948535
2016-06-03,114.75,114.980003,113.730003,114.790001,2149400,114.202374
2016-06-02,114.050003,114.529999,113.540001,114.529999,2141400,113.943703
2016-06-01,113.889999,114.139999,112.459999,113.940002,2228600,113.356727
2016-05-31,114.279999,114.589996,113.379997,113.830002,2980500,113.24729
2016-05-27,114.470001,114.599998,113.900002,114.330002,1762600,113.74473
2016-05-26,114.720001,115.279999,113.800003,114.190002,2022700,113.605447
2016-05-25,114.589996,115.25,114.43,114.720001,1590300,114.132733
2016-05-24,113.099998,114.709999,113.010002,114.370003,2087600,113.784526
2016-05-23,113.089996,113.389999,112.589996,112.800003,1699800,112.222563
2016-05-20,112.720001,114.089996,112.720001,113.220001,3985600,112.640412
2016-05-19,112.010002,112.559998,110.720001,112.32,3026100,111.745017
2016-05-18,113.160004,113.800003,112.110001,112.690002,2476000,112.113126
