Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,23.10,23.17,20.58,21.66,18632400,21.66
2016-08-30,24.549999,24.549999,23.98,24.200001,2525800,24.200001
2016-08-29,24.33,24.559999,24.280001,24.549999,2299300,24.549999
2016-08-26,24.50,24.73,24.18,24.26,1367300,24.26
2016-08-25,24.559999,24.68,24.42,24.469999,1345600,24.469999
2016-08-24,24.549999,24.75,24.48,24.559999,1383800,24.559999
2016-08-23,24.25,24.51,24.219999,24.51,1678900,24.51
2016-08-22,24.07,24.280001,23.959999,24.23,1444000,24.23
2016-08-19,23.860001,24.219999,23.790001,24.049999,1437600,24.049999
2016-08-18,24.440001,24.57,23.90,23.950001,2125800,23.950001
2016-08-17,24.40,24.58,24.280001,24.469999,2795400,24.469999
2016-08-16,24.23,24.66,23.91,24.389999,2595800,24.389999
2016-08-15,24.52,24.549999,24.17,24.309999,2023700,24.309999
2016-08-12,24.07,24.950001,24.07,24.559999,4863800,24.559999
2016-08-11,23.959999,24.33,23.90,24.040001,1970100,24.040001
2016-08-10,23.82,23.969999,23.74,23.879999,1146600,23.879999
2016-08-09,23.74,23.889999,23.57,23.77,1307800,23.77
2016-08-08,23.90,23.99,23.690001,23.74,2218500,23.74
2016-08-05,23.889999,24.120001,23.75,23.799999,1803500,23.799999
2016-08-04,23.530001,23.969999,23.530001,23.85,1229500,23.85
2016-08-03,23.25,23.58,23.16,23.58,1645000,23.58
2016-08-02,23.799999,23.82,23.32,23.379999,1982500,23.379999
2016-08-01,23.75,24.01,23.540001,23.92,1851200,23.92
2016-07-29,23.959999,23.98,23.74,23.790001,1499500,23.790001
2016-07-28,24.07,24.15,23.84,24.049999,1759100,24.049999
2016-07-27,24.10,24.23,23.969999,24.120001,1354600,24.120001
2016-07-26,23.860001,24.129999,23.860001,24.08,1907400,24.08
2016-07-25,23.90,23.93,23.719999,23.91,1769700,23.91
2016-07-22,23.68,23.959999,23.67,23.91,1166000,23.91
2016-07-21,24.08,24.110001,23.76,23.799999,1762700,23.799999
2016-07-20,23.969999,24.110001,23.879999,24.030001,2025900,24.030001
2016-07-19,23.77,23.870001,23.719999,23.85,1745600,23.85
2016-07-18,24.23,24.299999,23.870001,23.91,1806000,23.91
2016-07-15,23.93,24.530001,23.85,24.27,5419100,24.27
2016-07-14,23.83,23.99,23.629999,23.799999,2762200,23.799999
2016-07-13,23.65,23.780001,23.610001,23.65,3783700,23.65
2016-07-12,23.700001,23.84,23.58,23.610001,3204100,23.610001
2016-07-11,23.639999,23.74,23.459999,23.559999,3591400,23.559999
2016-07-08,23.620001,23.77,23.52,23.59,2753300,23.59
2016-07-07,23.40,23.620001,23.27,23.50,3013700,23.50
2016-07-06,23.00,23.40,22.84,23.389999,2895200,23.389999
