Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,18.059999,18.209999,17.65,17.82,11878100,17.82
2016-08-30,18.07,18.10,17.790001,18.09,4619400,18.09
2016-08-29,18.040001,18.23,17.969999,18.01,5060100,18.01
2016-08-26,18.27,18.32,17.84,17.959999,8149400,17.959999
2016-08-25,18.190001,18.290001,18.110001,18.139999,5505300,18.139999
2016-08-24,18.34,18.41,18.129999,18.27,6411900,18.27
2016-08-23,18.49,18.559999,18.290001,18.309999,6566900,18.309999
2016-08-22,18.190001,18.370001,18.139999,18.370001,4998900,18.370001
2016-08-19,18.01,18.209999,17.950001,18.200001,5832200,18.200001
2016-08-18,17.91,18.120001,17.91,18.10,8524300,18.10
2016-08-17,18.17,18.17,17.58,17.93,7786300,17.93
2016-08-16,18.10,18.25,17.99,18.15,5681600,18.15
2016-08-15,18.040001,18.24,17.99,18.18,4580500,18.18
2016-08-12,17.85,18.129999,17.809999,18.02,5260100,18.02
2016-08-11,18.25,18.33,17.90,17.99,7495700,17.99
2016-08-10,18.24,18.35,18.07,18.200001,9872200,18.200001
2016-08-09,18.25,18.32,18.030001,18.18,10432900,18.18
2016-08-08,17.91,18.280001,17.85,18.24,11280900,18.24
2016-08-05,17.50,17.93,17.41,17.84,6868300,17.84
2016-08-04,17.540001,17.68,17.24,17.379999,7311300,17.379999
2016-08-03,17.440001,17.700001,17.32,17.549999,6686400,17.549999
2016-08-02,17.889999,17.99,17.42,17.440001,9901400,17.440001
2016-08-01,17.65,17.92,17.610001,17.889999,9116400,17.889999
2016-07-29,17.25,17.84,17.17,17.74,17298100,17.74
2016-07-28,17.15,17.559999,16.969999,17.280001,11305700,17.280001
2016-07-27,17.459999,17.459999,16.91,17.139999,18265200,17.139999
2016-07-26,17.879999,17.950001,17.290001,17.60,13128200,17.60
2016-07-25,17.940001,18.17,17.790001,17.959999,10795500,17.959999
2016-07-22,17.530001,17.99,17.450001,17.91,17487400,17.91
2016-07-21,17.10,17.690001,17.01,17.51,13577900,17.51
2016-07-20,17.23,17.290001,16.99,17.120001,11199500,17.120001
2016-07-19,16.969999,17.27,16.76,17.25,9508300,17.25
2016-07-18,16.969999,17.200001,16.93,17.09,8023100,17.09
2016-07-15,16.77,17.01,16.48,16.98,8776700,16.98
2016-07-14,16.58,16.809999,16.42,16.709999,10338500,16.709999
2016-07-13,16.91,16.959999,16.219999,16.48,15258800,16.48
2016-07-12,17.209999,17.299999,16.969999,17.16,9559600,17.16
2016-07-11,16.90,17.18,16.809999,16.99,7672000,16.99
2016-07-08,16.639999,17.01,16.58,16.76,9307300,16.76
2016-07-07,16.309999,16.969999,16.25,16.41,8267800,16.41
2016-07-06,15.98,16.27,15.79,16.26,7110700,16.26
2016-07-05,16.309999,16.360001,15.93,16.09,6812700,16.09
2016-07-01,16.280001,16.549999,16.219999,16.450001,6167100,16.450001
2016-06-30,16.059999,16.209999,15.79,16.209999,10087600,16.209999
2016-06-29,15.33,16.120001,15.24,16.049999,15163500,16.049999
2016-06-28,14.85,15.39,14.85,15.15,11770600,15.15
2016-06-27,15.52,15.54,14.77,14.79,16062500,14.59
2016-06-24,16.42,16.469999,15.70,15.70,19918800,15.487695
2016-06-23,16.99,17.120001,16.84,16.950001,7334400,16.720792
2016-06-22,16.690001,16.90,16.57,16.799999,8352000,16.572819
2016-06-21,16.58,16.76,16.450001,16.65,9840500,16.424848
2016-06-20,16.58,16.85,16.51,16.549999,9176400,16.3262
2016-06-17,15.95,16.49,15.95,16.440001,21600200,16.217689
2016-06-16,15.88,16.059999,15.67,16.040001,9284100,15.823098
2016-06-15,15.53,16.27,15.49,15.98,10308600,15.763908
2016-06-14,15.35,15.60,15.32,15.54,8465300,15.329858
2016-06-13,15.40,15.68,15.36,15.38,5847700,15.172022
2016-06-10,15.43,15.51,15.31,15.40,6432400,15.191751
2016-06-09,15.64,15.74,15.51,15.59,5943400,15.379182
