Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,21.110001,21.23,20.860001,21.190001,1741600,21.190001
2016-08-30,21.18,21.25,20.99,21.18,1285600,21.18
2016-08-29,21.049999,21.23,21.00,21.16,940200,21.16
2016-08-26,21.07,21.139999,20.92,21.08,1145600,21.08
2016-08-25,20.90,21.129999,20.83,21.08,1332100,21.08
2016-08-24,21.00,21.09,20.90,20.93,1263100,20.93
2016-08-23,21.00,21.120001,20.99,21.040001,1168200,21.040001
2016-08-22,20.969999,20.99,20.690001,20.93,1173300,20.93
2016-08-19,20.940001,21.10,20.870001,21.08,955600,21.08
2016-08-18,20.68,21.01,20.639999,21.01,1023800,21.01
2016-08-17,20.780001,20.92,20.60,20.700001,1872300,20.700001
2016-08-16,21.00,21.07,20.780001,20.790001,1317300,20.790001
2016-08-15,20.90,21.10,20.82,21.040001,1294100,21.040001
2016-08-12,20.889999,20.889999,20.75,20.84,1127300,20.84
2016-08-11,20.58,20.99,20.530001,20.90,2038300,20.90
2016-08-10,20.639999,20.74,20.530001,20.67,1686300,20.59
2016-08-09,20.82,20.83,20.610001,20.620001,2206100,20.540194
2016-08-08,20.690001,20.879999,20.67,20.809999,1670100,20.729457
2016-08-05,20.42,20.85,20.42,20.719999,1553000,20.639805
2016-08-04,20.110001,20.34,20.110001,20.33,1277100,20.251315
2016-08-03,19.969999,20.139999,19.969999,20.10,1822800,20.022206
2016-08-02,20.42,20.42,19.950001,20.01,2461000,19.932554
2016-08-01,20.33,20.50,20.25,20.43,1726900,20.350929
2016-07-29,20.41,20.50,20.209999,20.35,1028900,20.271238
2016-07-28,20.540001,20.68,20.379999,20.48,1468000,20.400734
2016-07-27,20.50,20.74,20.32,20.540001,2357800,20.460504
2016-07-26,20.35,20.42,20.120001,20.33,2245700,20.251315
2016-07-25,20.389999,20.469999,20.309999,20.32,1561100,20.241354
2016-07-22,20.290001,20.49,20.059999,20.370001,2117900,20.291161
2016-07-21,20.610001,20.74,20.370001,20.40,1364600,20.321044
2016-07-20,20.60,20.73,20.52,20.65,1743600,20.570077
2016-07-19,20.49,20.66,20.41,20.52,1883900,20.440581
2016-07-18,20.620001,20.73,20.43,20.549999,2580300,20.470463
2016-07-15,20.040001,20.639999,19.90,20.57,5445200,20.490386
2016-07-14,19.469999,19.59,19.35,19.440001,2192700,19.364761
2016-07-13,19.42,19.440001,19.23,19.32,2374600,19.245224
2016-07-12,19.09,19.33,19.00,19.26,2926300,19.185457
2016-07-11,18.870001,19.02,18.84,18.90,2071600,18.82685
2016-07-08,18.42,18.799999,18.389999,18.76,2033500,18.687392
2016-07-07,18.139999,18.42,18.040001,18.18,2180000,18.109637
2016-07-06,17.99,18.120001,17.719999,18.07,2583700,18.000062
2016-07-05,18.450001,18.52,17.940001,18.129999,2946400,18.059829
2016-07-01,18.48,18.75,18.450001,18.620001,2429100,18.547935
2016-06-30,17.889999,18.48,17.77,18.469999,3601800,18.398514
2016-06-29,17.82,17.940001,17.530001,17.799999,2581900,17.731107
2016-06-28,17.60,17.68,17.32,17.58,3557700,17.511959
2016-06-27,18.35,18.35,17.27,17.33,3007900,17.262926
2016-06-24,19.00,19.360001,18.52,18.530001,3995200,18.458283
2016-06-23,19.52,19.91,19.459999,19.90,3384700,19.822979
2016-06-22,18.889999,19.50,18.790001,19.299999,3250000,19.225301
2016-06-21,19.24,19.309999,18.799999,18.82,5578500,18.747159
2016-06-20,19.299999,19.469999,19.17,19.17,4133700,19.095805
2016-06-17,18.74,18.98,18.66,18.950001,4794100,18.876657
2016-06-16,18.139999,18.83,18.01,18.780001,8044500,18.707315
2016-06-15,18.50,18.66,18.42,18.43,4459300,18.358669
2016-06-14,18.49,18.549999,18.35,18.49,3613300,18.418437
2016-06-13,18.75,18.969999,18.549999,18.59,3227100,18.51805
2016-06-10,18.879999,19.07,18.75,18.860001,3385700,18.787005
2016-06-09,19.040001,19.18,18.92,19.10,2399100,19.026076
2016-06-08,19.219999,19.219999,19.09,19.139999,1848900,19.065921
2016-06-07,18.98,19.379999,18.93,19.200001,2352400,19.12569
2016-06-06,19.42,19.68,19.34,19.610001,1108100,19.534103
2016-06-03,19.549999,19.549999,19.24,19.43,1458300,19.354799
2016-06-02,19.33,19.610001,19.299999,19.60,1648000,19.524141
2016-06-01,19.00,19.469999,18.93,19.40,1786900,19.324914
2016-05-31,19.059999,19.190001,18.92,19.08,2334900,19.006153
2016-05-27,18.74,19.08,18.700001,19.030001,3172700,18.956348
2016-05-26,18.450001,18.85,18.040001,18.73,4375500,18.657508
2016-05-25,18.33,18.67,18.299999,18.50,1820700,18.428398
2016-05-24,18.01,18.34,17.99,18.280001,2208000,18.20925
2016-05-23,17.639999,17.99,17.530001,17.940001,1745400,17.870566
2016-05-20,17.33,17.67,17.23,17.58,1396900,17.511959
2016-05-19,17.10,17.32,16.950001,17.190001,1219200,17.123469
2016-05-18,17.219999,17.50,17.110001,17.209999,1470500,17.14339
2016-05-17,17.15,17.49,17.02,17.27,2227300,17.203159
2016-05-16,16.889999,17.25,16.889999,17.200001,1237400,17.13343
2016-05-13,16.98,17.200001,16.780001,16.879999,1489700,16.814667
2016-05-12,17.190001,17.35,16.780001,17.01,2529700,16.944165
2016-05-11,17.23,17.35,17.17,17.219999,1277200,17.073661
2016-05-10,17.16,17.33,17.040001,17.32,1536500,17.172812
2016-05-09,17.08,17.370001,17.01,17.15,1914500,17.004257
2016-05-06,17.049999,17.110001,16.809999,17.040001,2549400,16.895193
2016-05-05,17.25,17.33,16.969999,17.09,1736400,16.944767
2016-05-04,17.24,17.389999,17.059999,17.200001,2327900,17.053833
2016-05-03,17.16,17.40,17.02,17.34,2325600,17.192643
2016-05-02,17.379999,17.379999,16.950001,17.290001,2714200,17.143068
2016-04-29,17.549999,17.58,17.139999,17.360001,2162300,17.212473
2016-04-28,17.90,17.93,17.58,17.610001,1751700,17.460348
2016-04-27,17.83,18.040001,17.58,18.00,1993200,17.847034
2016-04-26,17.940001,18.190001,17.860001,18.059999,2771200,17.906523
2016-04-25,17.870001,17.959999,17.799999,17.83,1434100,17.678478
2016-04-22,17.799999,18.040001,17.68,17.959999,1914200,17.807373
2016-04-21,18.17,18.27,17.780001,17.870001,1843600,17.718139
2016-04-20,18.10,18.299999,17.93,18.129999,2697400,17.975928
2016-04-19,18.280001,18.459999,18.040001,18.059999,2429400,17.906523
2016-04-18,17.85,18.200001,17.83,18.15,1977700,17.995759
2016-04-15,17.92,18.049999,17.66,17.879999,2864800,17.728053
2016-04-14,18.459999,18.459999,17.77,18.00,2040200,17.847034
2016-04-13,18.10,18.49,17.98,18.469999,1841900,18.313039
2016-04-12,18.200001,18.23,17.780001,17.879999,3083000,17.728053
2016-04-11,18.129999,18.18,17.809999,18.110001,3262200,17.956099
2016-04-08,18.370001,18.41,17.870001,17.969999,2990600,17.817288
2016-04-07,18.34,18.43,18.09,18.190001,2619300,18.03542
2016-04-06,18.559999,18.620001,18.32,18.450001,2600900,18.29321
2016-04-05,18.84,18.940001,18.559999,18.610001,2303400,18.45185
2016-04-04,19.17,19.200001,18.85,18.969999,2200500,18.80879
2016-04-01,19.00,19.27,18.77,19.200001,2702200,19.036837
2016-03-31,19.299999,19.40,19.209999,19.27,1681200,19.106241
2016-03-30,19.690001,19.75,19.200001,19.280001,3074700,19.116157
2016-03-29,18.90,19.620001,18.82,19.540001,2398800,19.373947
2016-03-28,18.950001,19.02,18.82,18.93,2594000,18.769131
2016-03-24,19.00,19.059999,18.84,18.940001,2369900,18.779046
2016-03-23,19.540001,19.620001,19.040001,19.09,2815000,18.927771
2016-03-22,19.49,19.83,19.360001,19.709999,2496800,19.542501
2016-03-21,19.49,19.82,19.49,19.620001,3149300,19.453267
2016-03-18,19.15,19.629999,18.98,19.59,7595700,19.423522
2016-03-17,20.559999,20.629999,19.030001,19.629999,14139500,19.463181
2016-03-16,21.360001,21.98,21.309999,21.959999,3887700,21.77338
2016-03-15,21.639999,21.780001,20.75,21.41,3986200,21.228055
2016-03-14,21.74,21.799999,21.360001,21.60,2492700,21.416441
2016-03-11,21.43,21.860001,21.34,21.719999,2750000,21.53542
2016-03-10,21.33,21.379999,21.049999,21.200001,2492600,21.01984
2016-03-09,21.10,21.34,21.059999,21.23,2562100,21.049584
2016-03-08,21.77,21.889999,20.98,21.00,2825800,20.821539
2016-03-07,21.59,22.00,21.57,21.950001,1618700,21.763467
2016-03-04,21.76,21.870001,21.08,21.73,3038400,21.545335
2016-03-03,21.43,21.85,21.360001,21.799999,1559000,21.61474
2016-03-02,21.309999,21.559999,21.26,21.52,1635300,21.337121
2016-03-01,21.030001,21.379999,20.959999,21.360001,1566100,21.178481
2016-02-29,20.799999,21.09,20.799999,20.85,1507600,20.672814
2016-02-26,21.059999,21.059999,20.73,20.84,1343800,20.662899
2016-02-25,20.93,21.10,20.639999,20.99,1186300,20.811624
2016-02-24,20.459999,20.99,20.27,20.969999,1401900,20.791793
2016-02-23,20.879999,21.00,20.73,20.74,1888500,20.563749
2016-02-22,20.90,21.10,20.790001,21.00,1283700,20.821539
2016-02-19,20.469999,20.74,20.450001,20.700001,1953200,20.524089
2016-02-18,20.26,20.540001,20.129999,20.52,2026200,20.345619
2016-02-17,20.299999,20.440001,20.07,20.24,2210300,20.067998
2016-02-16,19.27,20.379999,19.129999,20.309999,3054100,20.137402
2016-02-12,18.85,19.299999,18.67,19.059999,1170400,18.898025
2016-02-11,19.09,19.16,18.35,18.620001,2538800,18.461766
2016-02-10,19.40,20.040001,19.360001,19.48,1396600,19.235135
2016-02-09,19.07,19.65,18.93,19.27,3061400,19.027776
2016-02-08,19.559999,19.77,19.299999,19.66,2239300,19.412873
2016-02-05,19.879999,20.10,19.559999,19.91,2770300,19.659731
2016-02-04,19.48,20.190001,19.389999,19.98,2100900,19.72885
2016-02-03,19.379999,19.620001,18.91,19.530001,1776000,19.284508
2016-02-02,19.57,19.65,19.120001,19.190001,2163000,18.948782
2016-02-01,19.67,19.99,19.469999,19.870001,2017900,19.620234
2016-01-29,19.059999,19.92,19.059999,19.91,3313800,19.659731
2016-01-28,19.02,19.129999,18.58,18.90,1796100,18.662426
2016-01-27,19.370001,19.52,18.799999,18.860001,2555600,18.62293
2016-01-26,19.10,19.57,18.98,19.530001,3040600,19.284508
2016-01-25,19.02,19.18,18.82,18.92,2006800,18.682175
2016-01-22,18.90,19.25,18.879999,19.23,2946500,18.988278
2016-01-21,18.610001,19.07,18.43,18.60,2613200,18.366198
2016-01-20,18.629999,18.84,18.09,18.629999,2368900,18.39582
2016-01-19,19.459999,19.469999,18.700001,18.940001,2477600,18.701924
2016-01-15,19.33,19.440001,18.950001,19.299999,2376200,19.057398
2016-01-14,19.73,19.93,19.290001,19.83,3020400,19.580736
2016-01-13,20.00,20.309999,19.59,19.65,4480700,19.402999
2016-01-12,20.110001,20.120001,19.35,19.799999,2848100,19.551113
2016-01-11,19.92,19.99,19.49,19.83,3822500,19.580736
2016-01-08,20.450001,20.57,19.780001,19.84,3635900,19.590611
2016-01-07,20.860001,21.08,20.280001,20.32,3578400,20.064577
2016-01-06,22.309999,22.48,21.17,21.309999,4472000,21.042132
2016-01-05,23.07,23.32,22.370001,22.60,6032600,22.315918
2016-01-04,22.879999,23.200001,22.74,23.07,3295800,22.780009
2015-12-31,23.50,23.629999,23.290001,23.290001,1559900,22.997245
2015-12-30,23.91,23.940001,23.530001,23.549999,1123100,23.253975
2015-12-29,23.90,24.10,23.77,23.91,1246800,23.609451
2015-12-28,23.809999,23.940001,23.549999,23.690001,1024200,23.392217
2015-12-24,23.940001,24.030001,23.84,23.90,516500,23.599576
2015-12-23,23.870001,23.969999,23.620001,23.879999,1508800,23.579827
2015-12-22,23.809999,23.85,23.379999,23.639999,1910000,23.342844
2015-12-21,23.799999,23.85,23.450001,23.629999,3180600,23.33297
2015-12-18,23.610001,23.83,23.389999,23.52,4912200,23.224353
2015-12-17,24.07,24.50,23.370001,23.639999,6184900,23.342844
2015-12-16,24.17,24.49,23.379999,23.91,6090600,23.609451
2015-12-15,24.10,24.42,23.790001,23.969999,4963200,23.668696
2015-12-14,23.84,24.030001,23.700001,23.950001,2629000,23.648949
2015-12-11,24.00,24.280001,23.790001,23.84,2934700,23.540331
2015-12-10,24.24,24.690001,24.190001,24.42,2571200,24.11304
2015-12-09,24.73,25.120001,24.10,24.24,6309000,23.935302
2015-12-08,25.32,25.870001,25.200001,25.67,2968700,25.347328
2015-12-07,25.90,25.90,25.49,25.639999,2096500,25.317704
2015-12-04,25.16,26.00,25.059999,25.93,2648100,25.60406
2015-12-03,25.389999,25.530001,25.00,25.07,2279600,24.754869
2015-12-02,25.700001,25.799999,25.190001,25.190001,2703800,24.873362
2015-12-01,25.66,25.90,25.58,25.85,2104400,25.525065
2015-11-30,25.469999,25.690001,25.35,25.59,1578600,25.268333
2015-11-27,25.24,25.58,25.139999,25.48,955700,25.159715
2015-11-25,25.389999,25.450001,25.23,25.309999,2191800,24.991852
2015-11-24,25.26,25.540001,24.959999,25.450001,2299500,25.130094
2015-11-23,25.200001,25.49,25.09,25.42,2437200,25.10047
2015-11-20,24.700001,25.219999,24.67,25.209999,2796400,24.893109
2015-11-19,24.76,24.90,24.50,24.629999,2643000,24.320399
2015-11-18,24.25,24.85,24.09,24.76,4240300,24.448766
2015-11-17,23.93,24.200001,23.91,23.98,2293100,23.67857
2015-11-16,23.42,23.93,23.32,23.91,2122500,23.609451
2015-11-13,23.50,23.58,23.209999,23.49,2117700,23.19473
2015-11-12,23.91,23.969999,23.68,23.719999,1850900,23.421838
2015-11-11,24.09,24.209999,23.799999,24.200001,2342700,23.816813
2015-11-10,23.52,24.040001,23.35,23.959999,3711800,23.580611
2015-11-09,24.17,24.23,23.73,24.049999,1488200,23.669186
2015-11-06,23.959999,24.24,23.90,24.24,1357100,23.856178
2015-11-05,23.92,24.049999,23.879999,23.940001,1595700,23.560929
2015-11-04,24.280001,24.299999,23.469999,23.940001,3731500,23.560929
2015-11-03,22.969999,24.370001,22.91,24.23,5813800,23.846337
2015-11-02,22.969999,23.120001,22.75,23.02,2458700,22.655497
2015-10-30,22.889999,23.08,22.67,22.98,2572400,22.616129
2015-10-29,23.07,23.10,22.530001,22.82,1995000,22.458663
2015-10-28,22.58,23.049999,22.469999,23.049999,1694000,22.685021
2015-10-27,22.379999,23.01,22.280001,22.67,4333500,22.311038
2015-10-26,22.90,22.98,22.50,22.51,3031500,22.153572
2015-10-23,23.23,23.27,23.030001,23.129999,1735900,22.763754
2015-10-22,22.799999,23.040001,22.57,22.959999,2519900,22.596446
2015-10-21,23.23,23.290001,22.530001,22.610001,3311500,22.251989
2015-10-20,22.870001,23.360001,22.860001,23.15,2300000,22.783438
2015-10-19,22.969999,23.030001,22.73,22.870001,3007500,22.507872
2015-10-16,23.33,23.40,22.860001,23.059999,2287400,22.694863
2015-10-15,22.959999,23.209999,22.91,23.200001,2523900,22.832647
2015-10-14,22.639999,22.969999,22.49,22.889999,3765000,22.527554
2015-10-13,22.540001,22.90,22.52,22.58,2655300,22.222463
2015-10-12,22.59,22.91,22.49,22.77,2610100,22.409455
2015-10-09,22.719999,22.83,22.43,22.52,4431100,22.163414
2015-10-08,22.65,22.690001,22.219999,22.48,2531600,22.124046
2015-10-07,22.34,22.809999,22.190001,22.690001,4904900,22.330722
2015-10-06,22.50,22.709999,21.57,22.18,8157300,21.828797
2015-10-05,21.959999,22.75,21.780001,22.50,6500400,22.14373
2015-10-02,21.889999,22.02,21.709999,21.92,4243000,21.572914
2015-10-01,22.25,22.389999,21.870001,22.15,3411700,21.799272
2015-09-30,22.35,22.48,22.15,22.370001,4080200,22.015789
2015-09-29,21.67,22.10,21.42,22.040001,3561300,21.691015
2015-09-28,21.68,22.030001,21.440001,21.65,5101200,21.307189
2015-09-25,21.35,22.99,21.26,21.879999,13864400,21.533547
2015-09-24,18.870001,19.58,18.790001,19.50,4115100,19.191233
2015-09-23,19.299999,19.43,19.030001,19.09,1625100,18.787725
2015-09-22,19.52,19.610001,19.18,19.299999,2670200,18.994399
2015-09-21,20.190001,20.35,19.879999,20.02,1728700,19.703
2015-09-18,19.90,20.110001,19.889999,20.01,3591800,19.693158
2015-09-17,20.389999,20.620001,20.200001,20.23,1749800,19.909673
2015-09-16,20.08,20.540001,20.08,20.48,1777000,20.155715
2015-09-15,19.780001,20.190001,19.77,20.110001,1178200,19.791575
2015-09-14,20.030001,20.09,19.610001,19.709999,1231500,19.397907
2015-09-11,19.450001,19.790001,19.34,19.77,1257200,19.456958
2015-09-10,19.360001,19.76,19.23,19.60,1689600,19.28965
2015-09-09,19.790001,19.889999,19.35,19.379999,2139300,19.073132
2015-09-08,19.34,19.700001,19.34,19.639999,1390700,19.329015
2015-09-04,19.049999,19.190001,18.92,19.01,1470900,18.708992
2015-09-03,18.889999,19.48,18.85,19.360001,1650900,19.05345
2015-09-02,18.91,18.950001,18.60,18.74,2316200,18.443267
2015-09-01,18.540001,19.08,18.43,18.68,2268800,18.384217
2015-08-31,19.43,19.58,19.25,19.35,1226000,19.043608
2015-08-28,19.34,19.700001,19.26,19.469999,1601500,19.161707
2015-08-27,18.799999,19.370001,18.790001,19.309999,2542400,19.004241
2015-08-26,18.09,18.639999,17.969999,18.559999,2674400,18.266116
2015-08-25,18.459999,18.459999,17.66,17.66,3060500,17.380368
2015-08-24,16.90,18.57,16.90,17.83,2849900,17.547676
2015-08-21,18.889999,19.120001,18.59,18.59,2202000,18.295642
2015-08-20,19.360001,19.41,19.139999,19.139999,2030700,18.836933
2015-08-19,19.450001,19.74,19.219999,19.549999,1304600,19.24044
2015-08-18,19.860001,19.870001,19.559999,19.59,1152200,19.279808
2015-08-17,19.629999,19.98,19.540001,19.91,1238600,19.594741
2015-08-14,19.450001,19.799999,19.450001,19.77,998900,19.456958
2015-08-13,19.540001,19.799999,19.450001,19.50,1633800,19.191233
2015-08-12,19.42,19.620001,19.110001,19.60,1441400,19.28965
2015-08-11,19.889999,20.030001,19.67,19.690001,1819300,19.299492
2015-08-10,19.860001,20.18,19.83,20.15,1423600,19.750368
2015-08-07,19.790001,19.98,19.610001,19.700001,1254900,19.309294
2015-08-06,20.209999,20.360001,19.860001,19.889999,1925100,19.495524
2015-08-05,19.82,20.299999,19.82,20.23,1879400,19.828781
2015-08-04,19.93,20.040001,19.639999,19.74,1409900,19.348499
2015-08-03,20.25,20.34,19.84,19.98,1380900,19.583739
2015-07-31,20.18,20.43,20.10,20.25,1383700,19.848385
2015-07-30,19.940001,20.24,19.940001,20.17,1501700,19.769972
2015-07-29,19.75,19.98,19.700001,19.959999,1237800,19.564135
2015-07-28,19.530001,19.77,19.379999,19.75,1354000,19.358301
2015-07-27,19.25,19.709999,19.190001,19.389999,1756400,19.00544
2015-07-24,19.620001,19.75,19.370001,19.48,2020500,19.093656
2015-07-23,19.75,19.92,19.540001,19.59,1607700,19.201475
2015-07-22,19.709999,19.889999,19.57,19.620001,1876100,19.23088
2015-07-21,19.84,20.16,19.799999,19.98,1248000,19.583739
2015-07-20,20.049999,20.09,19.76,19.809999,1654600,19.417111
2015-07-17,20.16,20.16,19.889999,20.01,846800,19.613145
2015-07-16,20.08,20.309999,20.040001,20.219999,1718300,19.818979
2015-07-15,20.41,20.440001,19.90,19.92,2399900,19.52493
2015-07-14,20.370001,20.59,20.26,20.50,1601000,20.093427
2015-07-13,20.639999,20.639999,20.299999,20.360001,1184900,19.956204
2015-07-10,20.60,20.639999,20.360001,20.51,1529700,20.103228
2015-07-09,20.540001,20.639999,20.219999,20.23,1602400,19.828781
2015-07-08,20.48,20.52,20.16,20.27,2871700,19.867989
2015-07-07,20.709999,20.799999,20.290001,20.74,2042500,20.328666
2015-07-06,20.83,21.10,20.58,20.74,2659200,20.328666
2015-07-02,20.950001,21.370001,20.950001,21.10,1814500,20.681527
2015-07-01,21.50,21.50,21.01,21.120001,2929100,20.701131
2015-06-30,21.549999,21.60,21.15,21.290001,2638600,20.86776
2015-06-29,21.68,21.84,21.309999,21.370001,3040500,20.946173
2015-06-26,22.040001,22.08,21.719999,21.98,4686300,21.544074
2015-06-25,22.32,22.35,21.969999,22.040001,2137600,21.602885
2015-06-24,22.50,22.549999,22.15,22.280001,2714700,21.838125
2015-06-23,22.68,22.77,22.49,22.60,1999700,22.151778
2015-06-22,22.85,22.93,22.51,22.68,2399100,22.230191
2015-06-19,22.459999,22.860001,22.43,22.60,4875200,22.151778
2015-06-18,22.860001,23.32,22.379999,22.52,8634100,22.073365
2015-06-17,24.690001,24.76,24.27,24.33,2771800,23.847467
2015-06-16,24.09,24.629999,24.09,24.59,2298700,24.10231
2015-06-15,24.35,24.40,23.85,24.08,2496100,23.602425
2015-06-12,24.120001,24.23,24.040001,24.139999,868200,23.661234
2015-06-11,24.139999,24.309999,24.02,24.190001,1651800,23.710244
2015-06-10,23.85,24.07,23.73,24.00,1251300,23.524012
2015-06-09,23.780001,23.91,23.459999,23.700001,1845200,23.229962
2015-06-08,24.27,24.34,23.77,23.84,1338100,23.367185
2015-06-05,23.90,24.26,23.780001,24.23,1202400,23.74945
2015-06-04,23.99,24.200001,23.860001,23.98,1611300,23.504408
2015-06-03,24.08,24.34,24.059999,24.09,2355500,23.612227
2015-06-02,24.10,24.18,23.90,23.969999,1278600,23.494606
2015-06-01,24.559999,24.60,24.129999,24.16,1557600,23.680838
2015-05-29,24.610001,24.700001,24.32,24.57,1111600,24.082707
2015-05-28,24.639999,24.780001,24.549999,24.610001,1122000,24.121914
2015-05-27,24.34,24.66,24.219999,24.66,2100500,24.170922
2015-05-26,24.43,24.50,24.120001,24.33,1385200,23.847467
2015-05-22,24.40,24.610001,24.379999,24.57,676100,24.082707
2015-05-21,24.65,24.76,24.41,24.459999,987300,23.974888
2015-05-20,24.59,24.76,24.450001,24.719999,986100,24.229731
2015-05-19,24.799999,24.950001,24.52,24.530001,1616800,24.043501
2015-05-18,24.27,24.91,24.139999,24.83,2436300,24.33755
2015-05-15,24.209999,24.32,24.110001,24.309999,1597800,23.827863
2015-05-14,23.77,24.25,23.60,24.24,1447000,23.759252
2015-05-13,23.360001,23.700001,23.309999,23.559999,1201900,23.092738
2015-05-12,23.370001,23.51,23.17,23.40,906000,22.857497
2015-05-11,23.34,23.52,23.309999,23.450001,700600,22.906339
2015-05-08,23.43,23.49,23.32,23.379999,1027800,22.83796
2015-05-07,22.92,23.25,22.83,23.18,1461300,22.642598
2015-05-06,23.120001,23.209999,22.73,22.889999,1026600,22.35932
2015-05-05,23.26,23.440001,22.950001,22.98,1551700,22.447234
2015-05-04,23.02,23.41,23.02,23.32,1641900,22.779352
2015-05-01,22.42,23.00,22.309999,22.959999,1293300,22.427697
2015-04-30,22.940001,23.030001,22.389999,22.52,2297500,21.997899
2015-04-29,23.219999,23.450001,23.139999,23.15,1955800,22.613293
2015-04-28,23.67,23.809999,23.190001,23.33,2916500,22.78912
2015-04-27,23.75,23.98,23.540001,23.65,1200400,23.101701
2015-04-24,24.030001,24.040001,23.639999,23.690001,983300,23.140774
2015-04-23,23.629999,24.02,23.469999,23.93,1809600,23.37521
2015-04-22,23.48,23.76,23.35,23.76,1387900,23.209151
2015-04-21,23.51,23.57,23.309999,23.469999,1247500,22.925874
2015-04-20,23.27,23.469999,23.200001,23.34,1243100,22.798888
2015-04-17,23.35,23.43,23.01,23.07,1667400,22.535148
2015-04-16,23.950001,23.99,23.59,23.59,1420400,23.043092
2015-04-15,23.940001,24.110001,23.860001,23.950001,1427000,23.394747
2015-04-14,23.700001,23.98,23.620001,23.90,1730000,23.345905
2015-04-13,23.84,23.93,23.620001,23.66,1510200,23.111469
2015-04-10,23.90,23.959999,23.799999,23.91,1349200,23.355673
2015-04-09,23.93,24.00,23.84,23.889999,1741300,23.336136
2015-04-08,23.559999,23.940001,23.42,23.93,2793200,23.37521
2015-04-07,23.25,23.49,23.23,23.25,1028700,22.710975
2015-04-06,22.959999,23.360001,22.91,23.290001,1775200,22.750048
2015-04-02,23.16,23.42,23.09,23.139999,1194600,22.603524
2015-04-01,23.18,23.309999,22.959999,23.15,1282400,22.613293
2015-03-31,23.389999,23.49,23.24,23.379999,1338500,22.83796
2015-03-30,23.059999,23.530001,23.01,23.49,1595300,22.94541
2015-03-27,22.959999,23.10,22.76,22.90,1796600,22.369089
2015-03-26,22.639999,23.00,22.40,22.870001,2429600,22.339785
2015-03-25,23.620001,23.68,22.75,22.77,1751800,22.242103
2015-03-24,23.48,23.690001,23.33,23.559999,1851900,23.013787
2015-03-23,23.59,23.780001,23.32,23.40,2020100,22.857497
2015-03-20,23.43,23.700001,23.25,23.65,2729700,23.101701
2015-03-19,22.15,23.469999,21.65,23.35,7566300,22.808657
2015-03-18,22.549999,22.76,22.280001,22.65,2999400,22.124885
2015-03-17,22.09,22.690001,22.02,22.639999,2702600,22.115116
2015-03-16,22.23,22.280001,21.99,22.219999,1735600,21.704853
2015-03-13,21.700001,21.790001,21.389999,21.73,1092000,21.226214
2015-03-12,21.530001,21.76,21.51,21.690001,890100,21.187142
2015-03-11,21.32,21.52,21.120001,21.49,1225300,20.991778
