Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,27.41,27.42,27.27,27.280001,1757900,27.280001
2016-08-30,27.49,27.549999,27.389999,27.40,1467300,27.40
2016-08-29,27.40,27.559999,27.35,27.52,762900,27.52
2016-08-26,27.50,27.58,27.27,27.33,1722100,27.33
2016-08-25,27.40,27.549999,27.40,27.48,1207800,27.48
2016-08-24,27.51,27.51,27.33,27.379999,1431700,27.379999
2016-08-23,27.530001,27.620001,27.50,27.52,907600,27.52
2016-08-22,27.469999,27.60,27.35,27.51,2023300,27.51
2016-08-19,27.66,27.66,27.52,27.57,1193300,27.57
2016-08-18,27.459999,27.74,27.450001,27.690001,3912500,27.690001
2016-08-17,27.450001,27.49,27.379999,27.459999,1972200,27.459999
2016-08-16,27.459999,27.48,27.389999,27.40,1910500,27.40
2016-08-15,27.43,27.50,27.42,27.469999,2270900,27.469999
2016-08-12,27.450001,27.48,27.35,27.360001,2924600,27.360001
2016-08-11,27.48,27.52,27.450001,27.450001,2691600,27.450001
2016-08-10,27.52,27.57,27.440001,27.469999,3032500,27.469999
2016-08-09,27.52,27.59,27.440001,27.48,2225600,27.48
2016-08-08,27.49,27.629999,27.41,27.52,2823900,27.52
2016-08-05,27.440001,27.51,27.40,27.459999,2515000,27.459999
2016-08-04,27.58,27.690001,27.32,27.32,4241100,27.32
2016-08-03,27.370001,27.59,27.35,27.59,3553300,27.59
2016-08-02,27.50,27.559999,27.299999,27.309999,3978600,27.309999
2016-08-01,27.629999,27.66,27.42,27.469999,4175900,27.469999
2016-07-29,27.67,27.790001,27.620001,27.629999,3254200,27.629999
2016-07-28,27.85,27.98,27.65,27.66,3573400,27.66
2016-07-27,27.82,27.950001,27.65,27.85,5441300,27.85
2016-07-26,27.799999,27.92,27.65,27.74,5789300,27.74
2016-07-25,27.950001,28.059999,27.700001,27.83,5616900,27.83
2016-07-22,28.01,28.549999,27.90,27.950001,11924200,27.950001
2016-07-21,27.66,28.299999,27.51,28.200001,31885700,28.200001
2016-07-20,23.08,23.790001,22.65,23.549999,2052500,23.549999
2016-07-19,23.57,23.82,23.00,23.299999,1758900,23.299999
2016-07-18,23.01,24.07,22.809999,24.030001,3598600,24.030001
2016-07-15,23.49,23.58,23.059999,23.190001,4097400,23.190001
2016-07-14,23.76,23.879999,23.26,23.379999,2247700,23.379999
2016-07-13,24.059999,24.139999,23.15,23.559999,2639200,23.559999
2016-07-12,23.110001,24.040001,22.49,23.870001,3330100,23.870001
2016-07-11,22.15,23.02,22.10,22.48,3168400,22.48
2016-07-08,21.27,22.059999,21.17,21.92,2162300,21.92
2016-07-07,20.73,21.450001,20.209999,20.799999,3498500,20.799999
