Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,96.809998,97.089996,96.129997,96.629997,3499300,96.629997
2016-08-30,96.790001,97.190002,96.339996,97.089996,2634100,97.089996
2016-08-29,96.449997,96.849998,96.230003,96.779999,2590200,96.779999
2016-08-26,95.839996,97.00,95.769997,96.470001,3123100,96.470001
2016-08-25,95.470001,95.809998,95.330002,95.589996,1983000,95.589996
2016-08-24,96.290001,96.470001,95.389999,95.529999,2008100,95.529999
2016-08-23,96.00,96.760002,95.989998,96.290001,3099700,96.290001
2016-08-22,95.190002,95.949997,94.949997,95.790001,2390800,95.790001
2016-08-19,95.18,95.290001,94.410004,95.220001,3090800,95.220001
2016-08-18,95.300003,95.870003,95.07,95.269997,3134200,95.269997
2016-08-17,95.790001,96.07,95.029999,95.589996,4054700,95.589996
2016-08-16,96.199997,96.260002,95.459999,95.620003,2866200,95.620003
2016-08-15,96.309998,96.559998,96.07,96.440002,2081200,96.440002
2016-08-12,95.959999,96.410004,95.510002,96.120003,1988600,96.120003
2016-08-11,96.50,96.919998,96.169998,96.529999,2971100,96.529999
2016-08-10,96.720001,96.82,96.230003,96.290001,2004700,96.290001
2016-08-09,96.629997,97.139999,96.550003,96.699997,1937100,96.699997
2016-08-08,97.00,97.099998,96.629997,96.779999,2873000,96.779999
2016-08-05,96.290001,96.940002,96.089996,96.879997,2632200,96.879997
2016-08-04,95.089996,96.050003,94.800003,95.910004,2875600,95.910004
2016-08-03,95.07,95.449997,94.779999,95.080002,3006100,95.080002
2016-08-02,95.029999,95.389999,94.50,95.25,3948600,95.25
2016-08-01,95.230003,95.470001,94.449997,95.07,3512100,95.07
2016-07-29,96.07,96.099998,95.120003,95.239998,4364100,95.239998
2016-07-28,95.00,96.50,94.559998,96.010002,5209400,96.010002
2016-07-27,93.529999,94.300003,92.75,93.75,5696800,93.75
2016-07-26,92.779999,93.669998,92.75,93.43,4469600,93.43
2016-07-25,93.599998,93.599998,92.540001,93.00,3773500,93.00
2016-07-22,92.660004,93.660004,92.110001,93.660004,4348200,93.660004
2016-07-21,93.00,93.669998,92.029999,92.459999,4305900,92.459999
2016-07-20,92.559998,93.440002,92.150002,93.300003,3794100,93.300003
2016-07-19,91.209999,92.410004,91.209999,92.379997,3423800,92.379997
2016-07-18,91.18,91.639999,90.839996,91.599998,3407300,91.599998
2016-07-15,92.029999,92.029999,90.720001,90.93,3262400,90.93
2016-07-14,91.32,91.650002,90.510002,91.449997,4240100,91.449997
2016-07-13,90.459999,90.559998,89.639999,90.339996,3996900,90.339996
2016-07-12,89.080002,90.080002,88.870003,90.00,6122200,90.00
2016-07-11,89.050003,89.309998,88.629997,88.75,5274700,88.75
2016-07-08,88.43,88.690002,87.940002,88.559998,5621800,88.559998
2016-07-07,86.949997,88.32,86.949997,87.809998,4707200,87.809998
2016-07-06,87.160004,87.580002,86.650002,86.830002,9412800,86.830002
2016-07-05,88.120003,89.339996,87.919998,88.239998,7077000,88.049998
2016-07-01,89.160004,89.480003,88.269997,88.849998,8342100,88.658685
2016-06-30,92.610001,92.739998,87.589996,88.059998,12706800,87.870385
2016-06-29,91.040001,92.209999,90.849998,92.129997,3987900,91.931621
2016-06-28,90.279999,90.50,89.720001,90.419998,4820400,90.225304
2016-06-27,90.269997,90.800003,88.82,89.07,7444800,88.878213
2016-06-24,91.480003,93.129997,91.139999,91.470001,8356800,91.273046
2016-06-23,95.150002,95.709999,94.610001,95.709999,2992400,95.503915
2016-06-22,95.230003,95.379997,94.059998,94.059998,2876700,93.857466
2016-06-21,94.68,95.300003,94.470001,95.110001,4203000,94.905208
2016-06-20,94.50,95.18,94.25,94.349998,4949500,94.146842
2016-06-17,93.980003,94.209999,92.690002,93.290001,6941700,93.089127
2016-06-16,92.93,94.089996,92.050003,94.080002,4976200,93.877427
2016-06-15,94.360001,94.50,93.339996,93.339996,4025900,93.139015
2016-06-14,93.870003,94.330002,93.349998,94.110001,5338200,93.907361
2016-06-13,94.730003,95.629997,94.160004,94.190002,3082200,93.987191
2016-06-10,96.00,96.089996,94.900002,95.209999,4080700,95.004991
2016-06-09,97.510002,97.629997,96.980003,97.019997,2044700,96.811091
2016-06-08,96.650002,97.989998,96.57,97.989998,4365200,97.779004
2016-06-07,96.589996,97.169998,96.440002,96.68,2394900,96.471827
2016-06-06,96.400002,96.970001,95.980003,96.639999,2160700,96.431912
2016-06-03,96.209999,96.610001,95.330002,96.029999,2814800,95.823225
2016-06-02,96.269997,96.879997,96.010002,96.879997,2662100,96.671394
2016-06-01,95.900002,96.540001,95.25,96.410004,2677500,96.202412
2016-05-31,97.18,97.199997,95.599998,95.900002,4028800,95.693508
2016-05-27,96.529999,97.18,96.379997,97.18,2724300,96.970751
2016-05-26,96.540001,96.730003,96.07,96.379997,1738300,96.17247
2016-05-25,96.779999,96.900002,96.139999,96.449997,2689500,96.242319
2016-05-24,95.529999,96.739998,95.330002,96.480003,2446500,96.272261
2016-05-23,95.510002,95.730003,94.989998,95.080002,2231800,94.875274
2016-05-20,95.169998,95.889999,95.029999,95.470001,2446700,95.264434
2016-05-19,95.139999,95.50,94.080002,94.699997,2268900,94.496087
2016-05-18,95.330002,96.169998,94.870003,95.629997,2469900,95.424085
2016-05-17,95.980003,96.290001,95.260002,95.599998,3463300,95.394151
2016-05-16,95.599998,96.519997,95.449997,96.150002,2273600,95.94297
2016-05-13,95.589996,96.279999,95.139999,95.360001,3371600,95.15467
2016-05-12,96.739998,96.82,95.239998,95.849998,4216800,95.643613
2016-05-11,97.639999,97.839996,96.360001,96.410004,2540600,96.202412
2016-05-10,96.779999,97.699997,96.690002,97.639999,1903500,97.429759
2016-05-09,96.809998,97.25,96.50,96.720001,1972600,96.511742
2016-05-06,95.800003,96.760002,95.650002,96.68,2042700,96.471827
2016-05-05,96.339996,96.830002,95.959999,96.190002,2848600,95.982884
2016-05-04,95.720001,96.389999,95.230003,96.25,3173300,96.042753
2016-05-03,97.010002,97.540001,95.919998,96.449997,3362100,96.242319
2016-05-02,97.150002,97.940002,96.489998,97.769997,3813100,97.559477
2016-04-29,96.830002,97.660004,96.080002,96.989998,5338500,96.781157
2016-04-28,97.940002,100.00,96.730003,97.18,6261400,96.970751
2016-04-27,97.239998,98.610001,96.550003,98.379997,5211900,98.168164
2016-04-26,97.160004,97.610001,96.730003,97.269997,2929200,97.060553
2016-04-25,96.790001,97.32,96.540001,96.980003,3276100,96.771184
2016-04-22,96.389999,98.489998,96.389999,97.449997,7176300,97.240166
2016-04-21,97.949997,98.089996,97.349998,97.540001,2913600,97.329976
2016-04-20,97.660004,98.400002,97.050003,97.900002,3627300,97.689202
2016-04-19,98.00,98.160004,96.349998,97.239998,3635900,97.030619
2016-04-18,96.639999,97.790001,96.599998,97.669998,3079700,97.459693
2016-04-15,96.25,97.309998,96.139999,96.68,4127600,96.471827
2016-04-14,95.720001,96.769997,95.410004,96.169998,3292200,95.962923
2016-04-13,94.50,95.75,94.389999,95.75,3698600,95.543829
2016-04-12,93.760002,93.989998,93.139999,93.860001,2673700,93.6579
2016-04-11,93.919998,94.68,93.389999,93.470001,3858200,93.26874
2016-04-08,94.089996,94.660004,93.419998,93.790001,2564000,93.588051
2016-04-07,94.169998,94.260002,93.040001,93.510002,3046500,93.308655
2016-04-06,94.199997,94.839996,93.839996,94.75,3334200,94.545983
2016-04-05,94.099998,95.410004,93.889999,94.349998,5378300,93.957251
2016-04-04,96.010002,96.099998,94.459999,95.050003,4449900,94.654341
2016-04-01,93.650002,96.110001,93.50,95.870003,5276900,95.470928
2016-03-31,93.68,94.940002,93.519997,94.50,5647100,94.106628
