Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,41.27,41.32,41.09,41.220001,9694700,41.220001
2016-08-30,41.389999,41.400002,41.150002,41.310001,6840300,41.310001
2016-08-29,41.48,41.529999,41.259998,41.310001,9168500,41.310001
2016-08-26,41.110001,41.580002,41.07,41.259998,9228200,41.259998
2016-08-25,41.119999,41.200001,41.00,41.099998,7567200,41.099998
2016-08-24,41.349998,41.470001,40.98,41.07,9830300,41.07
2016-08-23,41.369999,41.639999,41.360001,41.50,10631800,41.50
2016-08-22,41.110001,41.389999,41.110001,41.220001,9834700,41.220001
2016-08-19,41.040001,41.34,41.009998,41.32,9109900,41.32
2016-08-18,40.950001,41.330002,40.950001,41.139999,8544600,41.139999
2016-08-17,41.380001,41.380001,41.07,41.209999,9876400,41.209999
2016-08-16,41.299999,41.450001,41.240002,41.32,8109100,41.32
2016-08-15,41.00,41.639999,41.00,41.389999,12774900,41.389999
2016-08-12,41.130001,41.200001,41.00,41.09,6301200,41.09
2016-08-11,41.130001,41.41,41.130001,41.279999,9473700,41.279999
2016-08-10,41.130001,41.25,40.860001,41.09,11077400,41.09
2016-08-09,41.09,41.27,41.049999,41.099998,9533700,41.099998
2016-08-08,41.18,41.400002,41.119999,41.16,11427800,41.16
2016-08-05,41.07,41.220001,40.959999,41.130001,9615300,41.130001
2016-08-04,40.610001,40.950001,40.610001,40.900002,9142100,40.900002
2016-08-03,40.619999,40.849998,40.599998,40.709999,12350500,40.709999
2016-08-02,41.119999,41.119999,40.580002,40.709999,10268200,40.709999
2016-08-01,40.91,41.27,40.91,41.150002,12435400,41.150002
2016-07-29,41.32,41.380001,40.919998,41.040001,13230800,41.040001
2016-07-28,41.349998,41.400002,40.720001,41.189999,17048600,41.189999
2016-07-27,41.029999,41.110001,40.75,40.93,9566900,40.93
2016-07-26,41.060001,41.240002,40.810001,40.939999,11031900,40.939999
2016-07-25,40.91,41.16,40.889999,41.16,8974400,41.16
