Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,61.869999,62.049999,61.48,61.939999,3373000,61.939999
2016-08-30,62.360001,62.73,61.860001,61.869999,2451700,61.869999
2016-08-29,62.139999,62.709999,62.139999,62.360001,3541200,62.360001
2016-08-26,63.470001,63.810001,61.970001,62.099998,2928300,62.099998
2016-08-25,63.720001,63.889999,63.369999,63.439999,1841400,63.439999
2016-08-24,63.700001,63.830002,63.200001,63.689999,1716400,63.689999
2016-08-23,64.690002,65.199997,63.810001,63.849998,2448300,63.849998
2016-08-22,64.949997,65.290001,64.650002,64.690002,4793300,64.690002
2016-08-19,64.900002,65.019997,64.220001,64.790001,3467200,64.790001
2016-08-18,63.619999,65.18,63.50,65.169998,3713100,65.169998
2016-08-17,62.490002,63.779999,62.00,63.68,4953100,63.68
2016-08-16,62.66,63.040001,62.290001,62.639999,5784800,62.639999
2016-08-15,64.150002,64.339996,63.439999,63.450001,1769100,63.450001
2016-08-12,64.349998,64.50,64.07,64.120003,1734300,64.120003
2016-08-11,63.599998,64.099998,63.450001,64.080002,1956700,64.080002
2016-08-10,63.66,63.77,63.400002,63.610001,1835700,63.610001
2016-08-09,63.529999,63.900002,63.400002,63.459999,2583700,63.459999
2016-08-08,63.970001,64.220001,63.490002,63.509998,1960700,63.509998
2016-08-05,64.400002,64.489998,63.709999,63.900002,2954000,63.900002
2016-08-04,64.919998,65.389999,64.309998,64.510002,2958800,64.510002
2016-08-03,64.339996,64.779999,64.019997,64.550003,3648800,64.550003
2016-08-02,64.050003,64.360001,63.639999,64.330002,3328700,64.330002
2016-08-01,63.779999,64.239998,63.68,64.150002,1922000,64.150002
2016-07-29,63.73,64.190002,63.549999,63.939999,2725500,63.939999
2016-07-28,64.089996,64.089996,62.900002,63.75,2511900,63.75
2016-07-27,64.00,64.300003,63.279999,63.950001,1944700,63.950001
2016-07-26,64.910004,65.010002,64.059998,64.160004,2496500,64.160004
2016-07-25,64.959999,64.959999,64.32,64.93,1762400,64.93
2016-07-22,64.190002,65.019997,63.84,65.019997,2921800,65.019997
2016-07-21,64.089996,64.25,63.75,64.160004,3160100,64.160004
2016-07-20,64.400002,64.550003,64.029999,64.260002,2017100,64.260002
2016-07-19,64.599998,64.669998,64.120003,64.410004,1868900,64.410004
2016-07-18,64.709999,65.029999,64.510002,64.519997,2889300,64.519997
2016-07-15,64.529999,64.75,64.18,64.620003,3028500,64.620003
2016-07-14,64.220001,64.529999,63.93,64.199997,2936200,64.199997
2016-07-13,64.18,64.589996,63.889999,64.559998,2536800,64.559998
2016-07-12,64.459999,64.50,63.639999,63.700001,2675500,63.700001
2016-07-11,64.440002,64.75,63.849998,64.730003,2070900,64.730003
2016-07-08,64.139999,64.849998,63.470001,64.830002,2813900,64.830002
2016-07-07,65.099998,65.330002,64.160004,64.400002,4517300,64.400002
2016-07-06,64.860001,65.43,64.50,65.389999,5048900,65.389999
2016-07-05,63.970001,65.029999,63.970001,64.889999,2873700,64.889999
2016-07-01,64.239998,64.330002,63.279999,64.029999,2331200,64.029999
2016-06-30,62.880001,63.950001,62.669998,63.919998,3851400,63.919998
2016-06-29,62.700001,62.93,62.369999,62.580002,4018700,62.580002
2016-06-28,62.720001,62.720001,62.00,62.400002,4076700,62.400002
2016-06-27,62.389999,63.360001,62.16,63.169998,3444700,62.679999
