Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,19.32,19.530001,18.84,19.10,4644800,19.10
2016-08-30,19.67,20.16,19.33,19.450001,4110700,19.450001
2016-08-29,19.50,19.74,19.360001,19.440001,4077900,19.440001
2016-08-26,19.790001,20.01,19.379999,19.59,4583100,19.59
2016-08-25,19.799999,20.110001,19.51,19.709999,2847600,19.709999
2016-08-24,20.139999,20.360001,19.790001,19.83,3585800,19.83
2016-08-23,20.15,20.51,20.040001,20.35,2287300,20.35
2016-08-22,20.049999,20.469999,19.780001,20.24,2602300,20.24
2016-08-19,20.209999,20.48,20.110001,20.41,3033700,20.41
2016-08-18,19.860001,20.450001,19.860001,20.40,3786900,20.40
2016-08-17,19.92,20.09,19.51,19.82,4591000,19.82
2016-08-16,19.790001,20.200001,19.50,20.040001,4848700,20.040001
2016-08-15,19.35,20.16,19.280001,19.90,3435300,19.90
2016-08-12,19.299999,19.49,18.969999,19.15,2462200,19.15
2016-08-11,18.99,19.43,18.92,19.190001,3775700,19.190001
2016-08-10,19.200001,19.379999,18.719999,18.75,2853300,18.75
2016-08-09,19.26,19.299999,18.84,19.049999,3957400,19.049999
2016-08-08,18.959999,19.549999,18.950001,19.139999,3221000,19.139999
2016-08-05,18.57,18.950001,18.32,18.75,4259100,18.75
2016-08-04,18.18,18.75,17.98,18.48,4547100,18.48
2016-08-03,18.15,18.32,17.610001,18.290001,4533300,18.290001
2016-08-02,17.530001,17.780001,16.93,17.780001,6340200,17.780001
2016-08-01,17.98,17.98,17.08,17.219999,5126100,17.219999
2016-07-29,17.27,18.23,17.09,18.200001,7931800,18.200001
2016-07-28,16.75,17.68,16.629999,17.42,6887600,17.42
2016-07-27,17.07,17.459999,16.469999,16.75,6059700,16.75
2016-07-26,16.690001,17.27,16.549999,16.99,4225900,16.99
2016-07-25,17.040001,17.110001,16.65,16.77,4702200,16.77
2016-07-22,17.389999,17.469999,16.93,17.190001,4017800,17.190001
2016-07-21,17.809999,18.18,17.219999,17.290001,4095800,17.290001
2016-07-20,17.51,18.01,17.24,17.91,3110500,17.91
2016-07-19,17.98,18.059999,17.610001,17.780001,2064500,17.780001
2016-07-18,17.889999,17.98,17.469999,17.959999,2847300,17.959999
2016-07-15,17.959999,18.389999,17.77,17.92,4226400,17.92
2016-07-14,17.92,18.049999,17.639999,17.82,6340400,17.82
2016-07-13,18.24,18.26,17.01,17.58,7546400,17.58
2016-07-12,18.10,18.540001,18.07,18.25,7138700,18.25
2016-07-11,17.82,18.02,17.620001,17.620001,2925900,17.620001
2016-07-08,17.65,17.889999,17.32,17.65,4928000,17.65
2016-07-07,17.85,18.59,17.219999,17.27,6968600,17.27
2016-07-06,17.10,17.67,16.92,17.559999,8057200,17.559999
2016-07-05,17.809999,17.809999,16.85,17.25,3669300,17.25
2016-07-01,17.77,18.49,17.76,18.290001,4132800,18.290001
2016-06-30,18.209999,18.219999,17.42,17.629999,5213100,17.629999
2016-06-29,18.00,18.299999,17.620001,18.23,6754500,18.23
2016-06-28,17.60,17.780001,17.42,17.719999,4242700,17.719999
2016-06-27,17.16,17.33,16.74,16.90,7811900,16.90
2016-06-24,17.65,18.059999,17.09,17.32,8290500,17.32
2016-06-23,18.360001,18.719999,18.360001,18.690001,9025400,18.690001
2016-06-22,18.23,18.51,17.950001,18.190001,34334500,18.190001
2016-06-21,19.02,19.34,18.67,19.32,3181600,19.32
2016-06-20,19.360001,19.50,18.950001,18.969999,3367300,18.969999
2016-06-17,18.66,18.940001,18.459999,18.799999,5671500,18.799999
2016-06-16,18.67,18.67,17.799999,18.309999,4227200,18.309999
2016-06-15,18.959999,19.360001,18.74,19.040001,4252400,19.040001
2016-06-14,18.690001,19.049999,18.50,18.98,3914400,18.98
2016-06-13,18.58,19.26,18.43,18.74,3150800,18.74
2016-06-10,19.440001,19.68,18.74,18.799999,3488400,18.799999
2016-06-09,19.73,20.09,19.629999,19.82,3353700,19.82
2016-06-08,20.60,20.959999,20.01,20.129999,4765700,20.129999
2016-06-07,20.280001,20.469999,19.93,20.290001,3709600,20.290001
2016-06-06,19.60,20.18,19.32,20.110001,4727700,20.110001
2016-06-03,19.540001,19.690001,18.780001,19.309999,3630300,19.309999
2016-06-02,18.84,19.530001,18.629999,19.52,3845100,19.52
2016-06-01,18.290001,19.32,18.120001,19.190001,3643800,19.190001
2016-05-31,18.58,19.059999,18.49,18.629999,3668700,18.629999
2016-05-27,18.309999,18.469999,18.09,18.459999,3023700,18.459999
2016-05-26,18.790001,19.049999,18.459999,18.48,4543700,18.48
2016-05-25,18.27,18.860001,18.129999,18.52,4522100,18.52
2016-05-24,18.190001,18.27,17.68,18.00,3864200,18.00
2016-05-23,18.00,18.200001,17.549999,18.01,4126900,18.01
2016-05-20,17.40,18.35,17.200001,18.280001,5271900,18.280001
2016-05-19,17.42,17.68,17.049999,17.27,5503400,17.27
2016-05-18,18.450001,18.690001,17.35,17.700001,4784300,17.700001
2016-05-17,18.09,18.709999,18.07,18.549999,3489300,18.549999
2016-05-16,17.870001,18.379999,17.870001,18.120001,3201800,18.120001
