Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,8.64,8.70,8.47,8.56,6996400,8.56
2016-08-30,8.67,8.71,8.57,8.62,4581200,8.62
2016-08-29,8.53,8.68,8.50,8.68,4728700,8.68
2016-08-26,8.60,8.65,8.45,8.49,4425200,8.49
2016-08-25,8.44,8.61,8.42,8.56,4486100,8.56
2016-08-24,8.67,8.68,8.48,8.50,4120800,8.50
2016-08-23,8.54,8.71,8.50,8.68,5651100,8.68
2016-08-22,8.45,8.46,8.39,8.46,5910200,8.46
2016-08-19,8.41,8.46,8.35,8.42,5885900,8.42
2016-08-18,8.61,8.67,8.27,8.48,14816300,8.48
2016-08-17,9.15,9.22,8.51,8.67,26711500,8.67
2016-08-16,9.25,9.36,9.21,9.33,6639400,9.33
2016-08-15,9.25,9.35,9.23,9.27,5750700,9.27
2016-08-12,9.29,9.33,9.10,9.19,4520600,9.19
2016-08-11,9.19,9.34,9.17,9.29,3912200,9.29
2016-08-10,9.10,9.20,9.06,9.10,3243800,9.10
2016-08-09,9.19,9.20,9.08,9.10,4676100,9.10
2016-08-08,9.19,9.29,9.14,9.19,3169200,9.19
2016-08-05,9.11,9.23,9.10,9.18,4771000,9.18
2016-08-04,8.99,9.16,8.98,9.05,5995800,9.05
2016-08-03,8.72,9.00,8.59,8.99,5654400,8.99
2016-08-02,9.32,9.32,8.71,8.76,7698000,8.76
2016-08-01,9.31,9.38,9.23,9.36,4384600,9.36
2016-07-29,9.24,9.32,9.19,9.29,4699800,9.29
2016-07-28,9.23,9.26,9.16,9.23,4837500,9.23
2016-07-27,9.25,9.32,9.14,9.25,3692000,9.25
2016-07-26,9.13,9.29,9.07,9.20,3251900,9.20
2016-07-25,9.04,9.13,9.01,9.11,2471700,9.11
2016-07-22,9.00,9.09,8.95,9.07,2855500,9.07
2016-07-21,9.07,9.20,9.00,9.00,3328700,9.00
2016-07-20,9.04,9.17,9.02,9.07,5917000,9.07
2016-07-19,9.02,9.09,8.94,9.04,3842800,9.04
2016-07-18,9.02,9.13,8.99,9.07,4914500,9.07
2016-07-15,9.17,9.17,9.00,9.00,5254500,9.00
2016-07-14,9.17,9.28,9.07,9.12,4914800,9.12
2016-07-13,9.11,9.16,9.01,9.06,6052600,9.06
2016-07-12,9.02,9.24,9.00,9.15,9076100,9.15
2016-07-11,8.86,9.08,8.84,8.92,6480200,8.92
2016-07-08,8.65,8.88,8.61,8.85,6386200,8.85
2016-07-07,8.59,8.80,8.50,8.57,6812600,8.57
2016-07-06,8.33,8.74,8.33,8.70,9357000,8.70
2016-07-05,8.83,8.88,8.46,8.55,6886800,8.55
2016-07-01,8.64,8.89,8.59,8.84,6052000,8.84
2016-06-30,8.60,8.62,8.43,8.62,7344200,8.62
2016-06-29,8.54,8.64,8.47,8.57,6431600,8.57
2016-06-28,8.15,8.47,8.15,8.45,11560700,8.45
2016-06-27,8.61,8.63,8.06,8.07,12911100,8.07
2016-06-24,8.61,8.78,8.57,8.71,16252700,8.71
2016-06-23,8.78,8.95,8.75,8.95,4748700,8.95
2016-06-22,8.73,8.85,8.68,8.69,7261400,8.69
2016-06-21,9.03,9.03,8.76,8.86,6804100,8.74
2016-06-20,8.86,9.05,8.84,8.96,8894200,8.838646
2016-06-17,8.63,8.90,8.61,8.77,10944900,8.651219
2016-06-16,8.66,8.74,8.57,8.70,7874000,8.582167
2016-06-15,8.58,8.83,8.55,8.71,7518700,8.592032
2016-06-14,8.59,8.66,8.43,8.55,9672600,8.434199
2016-06-13,8.71,8.77,8.63,8.63,7316000,8.513115
2016-06-10,8.66,8.78,8.51,8.71,6062200,8.592032
2016-06-09,8.88,8.90,8.68,8.75,5806500,8.63149
2016-06-08,8.88,8.97,8.86,8.90,4434000,8.779458
2016-06-07,8.97,8.98,8.87,8.87,5102000,8.749864
