Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,115.910004,116.379997,115.139999,115.660004,814900,115.660004
2016-08-30,116.110001,116.690002,115.440002,115.940002,874300,115.940002
2016-08-29,114.440002,116.389999,114.43,116.279999,1668600,116.279999
2016-08-26,113.669998,115.080002,113.239998,114.440002,1141900,114.440002
2016-08-25,112.32,113.720001,112.019997,113.309998,1203700,113.309998
2016-08-24,113.709999,113.849998,112.389999,112.620003,1051300,112.620003
2016-08-23,114.18,114.610001,113.480003,113.610001,893700,113.610001
2016-08-22,113.849998,114.400002,113.620003,114.139999,726900,114.139999
2016-08-19,113.32,113.800003,112.699997,113.769997,881300,113.769997
2016-08-18,113.019997,113.879997,112.550003,113.75,919400,113.75
2016-08-17,113.50,113.639999,112.660004,113.150002,1101700,113.150002
2016-08-16,114.879997,114.910004,113.480003,113.480003,1052100,113.480003
2016-08-15,115.50,115.800003,115.230003,115.230003,568600,115.230003
2016-08-12,115.360001,115.57,114.800003,115.57,622000,115.57
2016-08-11,115.519997,116.050003,115.07,115.529999,782300,115.529999
2016-08-10,115.489998,115.589996,114.849998,115.529999,615700,115.529999
2016-08-09,115.080002,115.910004,114.839996,115.449997,834500,115.449997
2016-08-08,114.989998,115.07,114.07,114.82,1013400,114.82
2016-08-05,115.040001,115.330002,114.309998,114.900002,988000,114.900002
2016-08-04,115.120003,115.330002,114.440002,114.849998,942400,114.849998
2016-08-03,115.879997,115.970001,114.540001,114.82,1080200,114.82
2016-08-02,116.75,116.870003,115.279999,115.699997,1009600,115.699997
2016-08-01,116.290001,117.650002,116.220001,117.019997,1019400,117.019997
2016-07-29,114.970001,116.620003,114.970001,116.279999,1453700,116.279999
2016-07-28,114.849998,116.160004,114.389999,114.959999,1215900,114.959999
2016-07-27,116.18,116.360001,114.449997,114.830002,1644200,114.830002
2016-07-26,115.800003,116.68,115.300003,116.440002,1596200,116.440002
2016-07-25,116.82,117.449997,114.959999,115.93,2027500,115.93
2016-07-22,118.25,118.940002,115.779999,117.029999,4691900,117.029999
2016-07-21,122.209999,122.639999,121.669998,122.559998,1359700,122.559998
2016-07-20,122.300003,122.650002,121.769997,122.360001,1297400,122.360001
2016-07-19,121.470001,122.43,121.419998,121.760002,1271600,121.760002
2016-07-18,122.260002,123.00,120.949997,121.620003,1727400,121.620003
2016-07-15,122.970001,123.550003,121.290001,122.080002,2063500,122.080002
2016-07-14,123.279999,123.410004,122.190002,122.300003,1277700,122.300003
2016-07-13,123.199997,123.370003,122.160004,122.510002,1238600,122.510002
2016-07-12,122.93,123.209999,122.18,122.82,1228700,122.82
2016-07-11,122.519997,123.099998,122.300003,122.650002,885700,122.650002
2016-07-08,121.739998,122.400002,121.07,122.290001,1283100,122.290001
2016-07-07,121.07,121.599998,120.790001,121.029999,1216700,121.029999
2016-07-06,120.580002,121.419998,120.32,121.089996,1499500,121.089996
2016-07-05,119.940002,121.599998,119.730003,121.209999,1123400,121.209999
2016-07-01,120.010002,120.510002,119.57,120.410004,874700,120.410004
2016-06-30,118.849998,119.830002,118.410004,119.830002,1814600,119.830002
2016-06-29,117.019997,118.870003,116.889999,118.809998,1545300,118.809998
2016-06-28,115.25,116.169998,114.790001,115.959999,1637400,115.959999
2016-06-27,115.860001,116.489998,114.300003,114.779999,1343300,114.399999
2016-06-24,114.870003,117.919998,114.410004,116.589996,4519300,116.204004
2016-06-23,117.370003,118.650002,117.120003,118.379997,1967300,117.988079
2016-06-22,116.739998,117.269997,116.459999,116.620003,1260700,116.233911
2016-06-21,116.510002,116.919998,115.870003,116.459999,1043800,116.074437
2016-06-20,115.550003,116.989998,115.50,116.089996,1604100,115.705659
2016-06-17,114.699997,115.160004,113.300003,114.379997,1345400,114.001322
2016-06-16,114.029999,114.839996,113.220001,114.620003,864500,114.240533
2016-06-15,115.419998,115.779999,113.900002,114.339996,1034300,113.961453
2016-06-14,114.129997,115.419998,113.860001,115.419998,1453400,115.037879
2016-06-13,114.559998,115.540001,114.360001,114.440002,1200200,114.061128
2016-06-10,114.849998,115.019997,113.889999,114.559998,891800,114.180726
2016-06-09,114.379997,115.900002,113.860001,115.330002,1474300,114.948181
2016-06-08,112.50,114.309998,112.389999,114.290001,1237500,113.911623
2016-06-07,113.529999,113.599998,112.57,112.589996,1407400,112.217247
2016-06-06,113.419998,114.110001,113.339996,113.529999,1490600,113.154137
2016-06-03,112.370003,113.620003,111.849998,113.559998,1618500,113.184037
2016-06-02,111.800003,112.669998,111.290001,112.660004,1145800,112.287022
2016-06-01,111.290001,111.830002,110.459999,111.660004,1002800,111.290333
2016-05-31,111.349998,111.949997,110.580002,111.160004,2785500,110.791988
2016-05-27,111.589996,112.099998,111.260002,111.769997,696300,111.399962
2016-05-26,111.779999,112.389999,111.470001,111.580002,764000,111.210596
2016-05-25,111.849998,112.440002,111.68,111.870003,1086400,111.499637
2016-05-24,110.599998,111.870003,110.400002,111.669998,979900,111.300294
2016-05-23,110.169998,110.599998,109.82,110.269997,650600,109.904928
2016-05-20,110.169998,110.75,109.800003,110.25,1325800,109.884997
2016-05-19,109.230003,109.610001,108.620003,109.489998,803800,109.127511
2016-05-18,109.849998,110.669998,109.139999,109.860001,998600,109.496289
2016-05-17,112.050003,112.419998,109.760002,110.139999,1168600,109.775361
2016-05-16,110.860001,112.690002,110.830002,112.349998,1032100,111.978044
2016-05-13,111.910004,112.010002,110.410004,110.910004,1050700,110.542816
2016-05-12,111.519997,112.309998,110.849998,111.82,1048200,111.449799
2016-05-11,111.809998,112.370003,111.370003,111.480003,1439900,111.110929
2016-05-10,111.379997,111.910004,111.110001,111.75,1669900,111.380031
2016-05-09,111.129997,112.230003,111.120003,111.32,960600,110.951455
2016-05-06,109.82,111.209999,109.519997,111.209999,1749300,110.841818
2016-05-05,108.510002,110.150002,108.279999,110.120003,1707300,109.755431
2016-05-04,108.610001,109.139999,108.010002,108.589996,936700,108.23049
2016-05-03,109.470001,109.769997,108.790001,109.169998,851300,108.808571
2016-05-02,109.330002,110.220001,109.019997,109.940002,917300,109.576026
2016-04-29,106.709999,109.459999,106.709999,109.010002,1486900,108.649105
2016-04-28,109.550003,110.489998,109.25,109.559998,1526100,109.197279
2016-04-27,110.32,111.00,109.129997,110.040001,1213600,109.675694
2016-04-26,109.540001,110.110001,108.959999,109.510002,1137300,109.14745
2016-04-25,109.330002,109.620003,108.849998,109.489998,998400,109.127511
2016-04-22,109.440002,110.059998,108.110001,109.400002,1837800,109.037813
2016-04-21,112.50,113.849998,108.419998,109.309998,3236900,108.948107
2016-04-20,109.559998,111.25,109.330002,110.730003,1969300,110.363412
2016-04-19,110.440002,110.980003,109.010002,109.730003,1388400,109.366722
2016-04-18,109.760002,110.519997,109.199997,110.389999,1039400,110.024533
2016-04-15,109.910004,110.089996,108.940002,109.800003,1588400,109.43649
2016-04-14,109.879997,110.410004,109.559998,110.099998,1047000,109.735493
2016-04-13,109.260002,109.93,109.00,109.620003,1469600,109.257086
2016-04-12,108.139999,109.459999,108.139999,109.449997,1283300,109.087643
2016-04-11,108.489998,108.940002,108.169998,108.25,1912600,107.891619
2016-04-08,108.349998,108.919998,108.00,108.540001,1227600,108.18066
2016-04-07,107.809998,108.349998,107.309998,107.949997,1340100,107.592609
2016-04-06,107.050003,108.860001,107.050003,108.230003,2075100,107.871688
2016-04-05,108.870003,109.290001,106.650002,107.040001,2635000,106.685626
2016-04-04,109.00,109.790001,108.529999,109.330002,1235500,108.968045
2016-04-01,106.720001,109.010002,106.260002,108.519997,1753100,108.160722
2016-03-31,106.790001,107.949997,106.099998,107.290001,1478400,106.934798
2016-03-30,107.339996,107.839996,106.900002,107.050003,1010900,106.695595
2016-03-29,104.800003,106.919998,104.610001,106.870003,1015000,106.51619
2016-03-28,105.269997,105.68,104.809998,105.059998,967100,104.333435
2016-03-24,105.669998,105.900002,104.339996,105.220001,1176700,104.492332
2016-03-23,104.889999,105.949997,104.699997,105.589996,1610600,104.859769
2016-03-22,104.779999,105.370003,104.370003,104.940002,1366700,104.21427
2016-03-21,104.690002,105.129997,103.949997,104.860001,1094300,104.134822
2016-03-18,103.849998,105.120003,102.870003,104.949997,2047500,104.224195
2016-03-17,105.199997,105.260002,103.169998,103.300003,1822000,102.585612
2016-03-16,104.010002,105.589996,104.010002,105.199997,1193400,104.472467
2016-03-15,104.260002,104.989998,104.129997,104.849998,1244700,104.124889
2016-03-14,104.860001,105.510002,104.18,105.190002,1090800,104.462541
2016-03-11,104.540001,105.019997,103.980003,105.00,1797500,104.273853
2016-03-10,103.489998,104.099998,102.309998,103.75,1785500,103.032497
2016-03-09,102.879997,103.550003,102.709999,103.120003,1592700,102.406857
2016-03-08,101.68,103.169998,98.00,102.779999,2109400,102.069204
2016-03-07,102.68,103.00,102.330002,102.839996,1443100,102.128787
2016-03-04,102.540001,104.00,102.540001,103.449997,1946800,102.734569
2016-03-03,102.00,103.00,101.139999,102.900002,1622300,102.188377
2016-03-02,100.989998,101.650002,100.410004,101.519997,1175300,100.817916
2016-03-01,100.400002,101.18,99.419998,100.919998,1069800,100.222067
2016-02-29,101.040001,101.279999,99.830002,99.879997,1161400,99.189258
2016-02-26,102.080002,102.690002,101.089996,101.360001,1552800,100.659026
2016-02-25,99.50,101.949997,99.489998,101.800003,1724700,101.095986
2016-02-24,98.339996,99.699997,97.779999,99.57,826100,98.881405
2016-02-23,98.510002,99.610001,98.339996,98.870003,1327800,98.186249
2016-02-22,98.50,99.120003,98.110001,99.040001,1437200,98.355071
2016-02-19,96.800003,97.93,96.220001,97.720001,1580900,97.0442
2016-02-18,96.040001,97.489998,95.790001,96.940002,1645200,96.269596
2016-02-17,98.089996,98.230003,96.199997,96.290001,2900000,95.624089
2016-02-16,98.449997,98.449997,96.989998,97.400002,1932300,96.726413
2016-02-12,96.940002,97.449997,95.760002,97.330002,1286400,96.656898
2016-02-11,96.480003,97.379997,95.669998,96.160004,1921100,95.494991
2016-02-10,97.489998,99.120003,97.489998,98.099998,1537900,97.421569
2016-02-09,94.93,97.32,94.93,96.639999,1877200,95.971667
2016-02-08,96.089996,96.459999,94.309998,96.059998,2147900,95.395677
2016-02-05,99.040001,99.419998,96.489998,96.910004,2017800,96.239804
2016-02-04,99.00,100.040001,98.580002,99.540001,1594400,98.851613
