Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,44.099998,44.23,43.75,44.150002,6994700,44.150002
2016-08-30,43.82,44.099998,43.779999,44.080002,5560600,44.080002
2016-08-29,43.509998,44.110001,43.509998,43.84,7241300,43.84
2016-08-26,43.450001,43.630001,43.189999,43.400002,6590700,43.400002
2016-08-25,43.279999,43.549999,43.25,43.400002,5771900,43.400002
2016-08-24,43.50,43.66,43.169998,43.240002,8589800,43.240002
2016-08-23,43.450001,43.66,43.43,43.439999,4160100,43.439999
2016-08-22,43.200001,43.400002,43.169998,43.369999,3386600,43.369999
2016-08-19,43.16,43.41,43.009998,43.349998,3977100,43.349998
2016-08-18,43.110001,43.290001,43.040001,43.220001,4651800,43.220001
2016-08-17,43.080002,43.380001,43.02,43.220001,6347800,43.220001
2016-08-16,42.740002,43.130001,42.720001,43.02,4833000,43.02
2016-08-15,42.77,43.040001,42.77,42.98,5279100,42.98
2016-08-12,42.48,42.77,42.389999,42.73,4349200,42.73
2016-08-11,42.66,42.919998,42.419998,42.82,6211600,42.82
2016-08-10,42.939999,42.990002,42.439999,42.50,3746800,42.50
2016-08-09,42.939999,43.049999,42.73,42.830002,3698200,42.830002
2016-08-08,42.990002,43.150002,42.860001,42.939999,4461200,42.939999
2016-08-05,42.630001,42.970001,42.369999,42.970001,7568900,42.970001
2016-08-04,42.029999,42.259998,41.959999,42.029999,4167700,42.029999
2016-08-03,41.549999,42.25,41.470001,42.130001,6723200,42.130001
2016-08-02,41.509998,41.68,41.130001,41.43,5858300,41.43
2016-08-01,42.150002,42.220001,41.610001,41.68,5488900,41.68
2016-07-29,41.919998,42.34,41.919998,42.169998,5802700,42.169998
2016-07-28,41.880001,42.209999,41.709999,42.080002,3934900,42.080002
2016-07-27,41.959999,42.200001,41.869999,42.009998,5483500,42.009998
2016-07-26,41.82,42.150002,41.77,41.970001,4879500,41.970001
2016-07-25,42.099998,42.18,41.790001,41.970001,4752800,41.970001
2016-07-22,41.98,42.25,41.830002,42.189999,5021500,42.189999
2016-07-21,41.970001,42.18,41.830002,41.880001,5118000,41.880001
2016-07-20,42.099998,42.16,41.900002,41.970001,4924300,41.970001
2016-07-19,41.709999,42.040001,41.599998,41.970001,6774600,41.970001
2016-07-18,41.73,42.09,41.73,41.880001,8616200,41.880001
2016-07-15,42.400002,42.50,41.439999,41.889999,9964700,41.889999
2016-07-14,41.380001,41.509998,41.169998,41.25,12183400,41.25
2016-07-13,40.75,40.900002,40.470001,40.630001,6239600,40.630001
2016-07-12,40.560001,40.860001,40.529999,40.669998,6378100,40.669998
2016-07-11,40.400002,40.529999,40.240002,40.299999,4417200,40.299999
2016-07-08,39.84,40.259998,39.84,40.09,6015200,40.09
2016-07-07,39.16,39.619999,39.02,39.23,5510600,39.23
2016-07-06,38.73,39.32,38.630001,39.200001,6255700,39.200001
2016-07-05,39.669998,39.779999,38.900002,39.060001,5955900,39.060001
2016-07-01,40.150002,40.259998,39.91,40.060001,4684400,40.060001
2016-06-30,39.970001,40.34,39.59,40.330002,8765100,40.330002
2016-06-29,39.59,39.75,39.139999,39.68,6242200,39.68
2016-06-28,39.09,39.220001,38.48,39.080002,10100600,39.080002
2016-06-27,39.23,39.259998,38.490002,38.689999,12952100,38.434999
2016-06-24,40.220001,41.119999,39.830002,39.860001,13335700,39.59729
2016-06-23,41.919998,42.240002,41.880001,42.23,7393700,41.951668
2016-06-22,41.349998,41.869999,41.32,41.349998,4486900,41.077467
2016-06-21,41.48,41.509998,41.09,41.369999,4447800,41.097336
2016-06-20,41.75,42.00,41.16,41.220001,5766200,40.948327
2016-06-17,41.060001,41.32,40.790001,41.110001,8413000,40.839051
2016-06-16,40.650002,41.080002,40.34,41.060001,6458800,40.789381
2016-06-15,41.25,41.619999,40.98,41.02,7863900,40.749644
