Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,30.879999,30.879999,30.27,30.379999,4108500,30.379999
2016-08-30,30.65,31.00,30.559999,30.84,3390100,30.84
2016-08-29,30.639999,30.860001,30.540001,30.690001,2679200,30.690001
2016-08-26,31.16,31.190001,30.540001,30.73,3729700,30.73
2016-08-25,31.15,31.18,30.950001,31.00,2899600,31.00
2016-08-24,30.629999,31.370001,30.610001,31.110001,5410800,31.110001
2016-08-23,31.190001,31.35,30.52,30.559999,5538000,30.559999
2016-08-22,30.309999,31.209999,30.309999,31.01,11333400,31.01
2016-08-19,30.200001,30.50,30.17,30.280001,6870900,30.280001
2016-08-18,30.24,30.469999,30.07,30.209999,5407800,30.209999
2016-08-17,30.700001,30.75,29.92,30.219999,7178600,30.219999
2016-08-16,31.08,31.209999,30.59,30.629999,4777500,30.629999
2016-08-15,30.90,31.219999,30.709999,31.129999,4300600,31.129999
2016-08-12,30.450001,30.959999,30.379999,30.90,3660600,30.90
2016-08-11,30.49,30.82,30.309999,30.42,3251700,30.42
2016-08-10,30.51,30.65,30.190001,30.41,3687300,30.41
2016-08-09,30.74,30.959999,30.40,30.52,2983900,30.52
2016-08-08,30.25,30.709999,30.25,30.639999,5337100,30.639999
2016-08-05,30.450001,30.60,30.219999,30.299999,4224400,30.299999
2016-08-04,30.780001,30.93,30.120001,30.389999,5300400,30.389999
2016-08-03,30.07,30.459999,30.02,30.40,4596300,30.40
2016-08-02,30.35,30.540001,30.02,30.16,7339200,30.16
2016-08-01,30.33,30.870001,30.299999,30.41,6370500,30.41
2016-07-29,30.700001,30.93,30.25,30.48,9735200,30.48
2016-07-28,31.879999,31.92,30.26,30.610001,24155700,30.610001
2016-07-27,33.939999,34.470001,33.52,33.639999,8399800,33.639999
2016-07-26,33.919998,34.549999,33.919998,34.110001,6536700,34.110001
2016-07-25,34.220001,34.669998,34.009998,34.57,11305400,34.57
2016-07-22,33.16,33.790001,33.110001,33.720001,5022900,33.720001
2016-07-21,32.970001,33.349998,32.93,33.169998,2849100,33.169998
2016-07-20,32.810001,33.09,32.540001,33.040001,2937500,33.040001
2016-07-19,33.189999,33.240002,32.610001,32.779999,4777300,32.779999
2016-07-18,33.16,33.630001,33.02,33.380001,4025800,33.380001
2016-07-15,33.73,33.740002,33.130001,33.16,4916700,33.16
2016-07-14,33.880001,34.00,33.549999,33.580002,3577700,33.580002
2016-07-13,33.580002,33.919998,33.23,33.759998,3991900,33.759998
2016-07-12,33.689999,33.82,33.25,33.380001,5037300,33.380001
2016-07-11,33.700001,33.990002,33.470001,33.610001,3906100,33.610001
2016-07-08,33.490002,33.860001,33.419998,33.580002,4415500,33.580002
2016-07-07,33.279999,33.630001,33.07,33.279999,3606800,33.279999
2016-07-06,32.349998,33.25,32.310001,33.16,7205800,33.16
2016-07-05,32.66,32.66,32.119999,32.310001,4752200,32.310001
2016-07-01,32.02,33.189999,32.00,32.68,7707100,32.68
2016-06-30,31.57,32.080002,31.43,32.02,4829400,32.02
2016-06-29,31.360001,31.559999,31.07,31.43,5505500,31.43
2016-06-28,31.35,31.780001,31.08,31.33,5861200,31.194999
2016-06-27,30.540001,31.33,30.51,31.25,7054400,31.115344
2016-06-24,29.950001,30.90,29.879999,30.76,12432100,30.627455
2016-06-23,30.620001,30.889999,30.530001,30.67,6410500,30.537843
2016-06-22,30.370001,30.639999,30.10,30.360001,6480100,30.229179
2016-06-21,30.299999,30.82,30.299999,30.370001,5155200,30.239137
2016-06-20,30.85,31.120001,30.42,30.42,4333500,30.28892
2016-06-17,30.85,30.860001,30.450001,30.57,6707900,30.438274
2016-06-16,30.719999,31.09,30.59,30.82,7552500,30.687196
2016-06-15,31.67,31.940001,30.84,30.92,16608600,30.786766
2016-06-14,33.09,33.580002,32.43,32.52,8401300,32.379872
2016-06-13,34.23,34.299999,33.450001,33.490002,6321500,33.345693
