Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,116.099998,117.239998,116.099998,117.120003,1295100,117.120003
2016-08-30,117.019997,117.440002,116.589996,116.870003,1484600,116.870003
2016-08-29,117.559998,117.660004,116.730003,117.019997,1007600,117.019997
2016-08-26,117.540001,118.550003,116.629997,117.230003,1483600,117.230003
2016-08-25,118.290001,119.050003,117.489998,117.519997,1457700,117.519997
2016-08-24,119.620003,120.330002,118.599998,118.709999,1409800,118.709999
2016-08-23,120.309998,120.769997,119.580002,119.769997,865300,119.769997
2016-08-22,120.540001,121.239998,119.93,120.150002,1192500,120.150002
2016-08-19,120.440002,120.93,119.68,120.080002,1690400,120.080002
2016-08-18,120.040001,121.599998,119.919998,121.040001,2086300,121.040001
2016-08-17,118.980003,120.709999,118.580002,120.550003,2462700,120.550003
2016-08-16,119.300003,119.540001,118.43,118.93,1027000,118.93
2016-08-15,119.580002,119.839996,118.779999,119.169998,864100,119.169998
2016-08-12,118.589996,120.110001,118.040001,119.580002,1739300,119.580002
2016-08-11,119.790001,119.82,118.779999,119.190002,1100700,119.190002
2016-08-10,119.330002,120.93,118.510002,119.540001,1704800,119.540001
2016-08-09,118.190002,119.75,118.190002,119.540001,1920900,119.540001
2016-08-08,119.300003,119.300003,117.93,118.32,2096400,118.32
2016-08-05,117.040001,119.879997,116.379997,119.290001,3416800,119.290001
2016-08-04,116.669998,117.690002,115.830002,116.610001,2483300,116.610001
2016-08-03,115.68,117.360001,114.029999,116.860001,2788100,116.860001
2016-08-02,116.57,117.709999,115.269997,115.709999,2768000,115.709999
2016-08-01,115.68,115.919998,113.989998,114.449997,2327500,114.449997
2016-07-29,114.089996,116.550003,114.089996,115.209999,2520700,115.209999
2016-07-28,115.830002,116.639999,115.190002,115.790001,1434200,115.790001
2016-07-27,116.709999,117.129997,114.239998,115.910004,2619800,115.910004
2016-07-26,117.540001,117.75,116.099998,117.25,2699700,117.25
2016-07-25,120.230003,120.440002,117.68,117.839996,2726500,117.839996
2016-07-22,119.010002,121.269997,117.699997,120.459999,4279200,120.459999
2016-07-21,115.57,120.68,115.330002,118.300003,9347100,118.300003
2016-07-20,115.970001,117.110001,115.18,116.489998,2992600,116.489998
2016-07-19,117.970001,117.970001,112.529999,115.150002,8748300,115.150002
2016-07-18,118.940002,119.860001,117.480003,118.360001,2299300,118.360001
2016-07-15,118.879997,120.669998,118.139999,118.629997,3435000,118.629997
2016-07-14,120.110001,120.980003,119.059998,119.150002,3466900,119.150002
2016-07-13,116.389999,119.550003,116.389999,119.18,3089100,119.18
