Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,49.459999,49.490002,48.650002,48.75,1457900,48.75
2016-08-30,49.82,49.990002,49.32,49.610001,846900,49.610001
2016-08-29,49.66,49.91,49.490002,49.82,899600,49.82
2016-08-26,49.849998,50.27,49.52,49.66,1045600,49.66
2016-08-25,49.59,49.990002,49.41,49.790001,1302100,49.790001
2016-08-24,49.310001,49.75,49.310001,49.619999,1382100,49.619999
2016-08-23,49.450001,49.73,49.18,49.279999,1528300,49.279999
2016-08-22,49.060001,49.450001,48.880001,49.209999,1232600,49.209999
2016-08-19,48.619999,49.41,48.580002,49.279999,1835000,49.279999
2016-08-18,48.279999,48.93,48.279999,48.93,1327100,48.93
2016-08-17,48.41,48.509998,48.130001,48.380001,1383400,48.380001
2016-08-16,48.259998,48.580002,48.189999,48.380001,1260300,48.380001
2016-08-15,47.810001,48.34,47.779999,48.310001,1464600,48.310001
2016-08-12,47.52,47.639999,47.200001,47.599998,1268500,47.599998
2016-08-11,47.459999,47.77,47.389999,47.490002,1459900,47.490002
2016-08-10,47.43,47.59,47.18,47.290001,2047700,47.290001
2016-08-09,47.110001,47.740002,47.029999,47.369999,2268000,47.369999
2016-08-08,46.34,47.310001,46.150002,47.080002,4760000,47.080002
2016-08-05,46.110001,46.450001,45.869999,46.189999,4202700,46.189999
2016-08-04,43.50,46.720001,43.299999,45.91,4362300,45.91
2016-08-03,46.330002,46.860001,46.099998,46.849998,1549200,46.849998
2016-08-02,47.110001,47.110001,46.34,46.450001,880800,46.450001
2016-08-01,46.950001,47.16,46.68,47.080002,788400,47.080002
2016-07-29,47.360001,47.360001,46.82,47.029999,1280800,47.029999
2016-07-28,47.189999,47.470001,46.849998,47.389999,900800,47.389999
2016-07-27,47.43,47.57,47.110001,47.209999,632700,47.209999
2016-07-26,46.880001,47.43,46.880001,47.41,760100,47.41
2016-07-25,47.200001,47.32,46.709999,46.860001,1562300,46.860001
2016-07-22,47.310001,47.369999,47.049999,47.34,1244000,47.34
2016-07-21,47.740002,47.959999,47.189999,47.360001,1587700,47.360001
2016-07-20,48.150002,48.23,47.779999,47.790001,1204100,47.790001
2016-07-19,47.470001,48.009998,47.349998,48.00,1848200,48.00
2016-07-18,47.57,47.73,47.41,47.52,1053200,47.52
2016-07-15,47.299999,47.66,47.299999,47.619999,1490500,47.619999
2016-07-14,46.889999,47.389999,46.669998,47.110001,1743100,47.110001
2016-07-13,46.759998,46.919998,46.400002,46.450001,967700,46.450001
2016-07-12,46.619999,46.869999,46.220001,46.700001,1158700,46.700001
2016-07-11,46.119999,46.310001,45.889999,46.240002,1298200,46.240002
2016-07-08,45.860001,46.00,45.669998,45.84,1439700,45.84
2016-07-07,45.169998,45.52,44.970001,45.360001,1698900,45.360001
2016-07-06,45.060001,45.099998,44.490002,44.939999,2228800,44.939999
2016-07-05,46.25,46.360001,45.00,45.169998,1731100,45.169998
2016-07-01,46.259998,46.650002,46.209999,46.400002,1123900,46.400002
2016-06-30,45.540001,46.23,45.540001,46.23,2628700,46.23
2016-06-29,45.220001,45.799999,45.060001,45.48,2395700,45.48
2016-06-28,44.400002,44.759998,44.25,44.709999,1605300,44.709999
2016-06-27,44.220001,44.240002,43.279999,43.880001,2393700,43.880001
2016-06-24,45.57,46.02,44.700001,44.700001,4968600,44.700001
2016-06-23,46.950001,47.470001,46.91,47.470001,1062200,47.470001
2016-06-22,46.50,46.709999,46.240002,46.419998,943900,46.419998
2016-06-21,46.970001,47.060001,46.360001,46.400002,1336600,46.400002
2016-06-20,47.18,47.509998,46.790001,46.84,1281200,46.84
2016-06-17,46.720001,46.830002,46.360001,46.529999,1466000,46.529999
2016-06-16,46.279999,46.77,45.73,46.669998,967700,46.669998
2016-06-15,47.00,47.18,46.57,46.599998,1025200,46.599998
2016-06-14,46.98,47.189999,46.580002,46.82,1113700,46.82
2016-06-13,48.09,48.27,47.209999,47.259998,1584800,47.169998
2016-06-10,48.310001,48.619999,48.119999,48.32,1078900,48.227981
2016-06-09,48.849998,48.849998,48.43,48.790001,847800,48.697087
2016-06-08,48.860001,49.360001,48.849998,49.23,941500,49.136247
2016-06-07,48.360001,48.93,48.360001,48.75,1051600,48.657162
2016-06-06,47.610001,48.279999,47.509998,48.23,974400,48.138152
2016-06-03,47.59,47.84,47.220001,47.48,1104100,47.38958
2016-06-02,47.799999,47.91,47.59,47.84,989800,47.748895
2016-06-01,47.68,48.07,47.259998,47.900002,1365400,47.808782
2016-05-31,47.91,48.18,47.560001,47.82,1351700,47.728933
2016-05-27,47.91,47.970001,47.599998,47.830002,645300,47.738916
2016-05-26,47.860001,48.139999,47.68,47.799999,726100,47.70897
2016-05-25,47.990002,48.139999,47.720001,47.93,1111700,47.838724
2016-05-24,47.77,48.00,47.599998,47.73,2711800,47.639104
2016-05-23,47.529999,47.799999,47.18,47.529999,1007400,47.439484
2016-05-20,47.369999,47.709999,47.119999,47.529999,1120900,47.439484
2016-05-19,47.150002,47.279999,46.619999,47.029999,1624900,46.940436
2016-05-18,47.040001,47.689999,46.75,47.509998,1936100,47.419522
2016-05-17,46.830002,47.439999,46.689999,47.080002,1955800,46.990344
2016-05-16,46.240002,47.119999,46.189999,46.970001,1900000,46.880553
2016-05-13,46.790001,47.07,46.029999,46.32,1490000,46.231789
2016-05-12,47.009998,47.310001,46.549999,46.990002,1191400,46.900515
2016-05-11,46.950001,47.25,46.75,46.91,2414000,46.820666
2016-05-10,46.459999,47.130001,46.25,47.02,1702000,46.930457
2016-05-09,46.740002,46.799999,46.049999,46.310001,1370900,46.22181
2016-05-06,46.57,46.82,46.00,46.740002,1232900,46.650991
2016-05-05,46.970001,47.330002,46.59,46.639999,1380300,46.55118
2016-05-04,47.389999,47.529999,46.790001,46.959999,1941300,46.87057
2016-05-03,48.189999,48.380001,47.560001,47.73,1458400,47.639104
2016-05-02,48.110001,48.720001,48.110001,48.459999,1504000,48.367713
2016-04-29,47.84,48.77,47.720001,48.09,3258200,47.998419
2016-04-28,48.700001,48.98,47.209999,48.099998,8458800,48.008398
2016-04-27,51.599998,52.610001,51.57,52.34,1668400,52.240326
2016-04-26,51.169998,51.650002,50.889999,51.599998,1238000,51.501733
2016-04-25,50.990002,51.16,50.740002,51.040001,951700,50.942802
2016-04-22,50.849998,51.23,50.75,51.139999,1014700,51.04261
2016-04-21,50.849998,51.040001,50.700001,50.959999,970000,50.862952
2016-04-20,50.720001,51.189999,50.619999,50.950001,1261000,50.852973
2016-04-19,50.709999,51.110001,50.52,50.990002,1367300,50.892898
2016-04-18,50.25,50.580002,50.189999,50.48,807600,50.383867
2016-04-15,50.689999,50.82,50.450001,50.529999,918700,50.433771
2016-04-14,51.00,51.080002,50.599998,50.68,1125400,50.583487
2016-04-13,50.389999,50.919998,50.09,50.880001,1121100,50.783107
2016-04-12,49.490002,50.18,49.299999,50.02,878400,49.924744
2016-04-11,49.68,49.950001,49.189999,49.490002,1225600,49.395754
2016-04-08,49.470001,49.73,49.27,49.529999,1124300,49.435675
2016-04-07,48.560001,49.290001,48.509998,49.029999,1606300,48.936628
2016-04-06,48.849998,48.98,48.380001,48.950001,760100,48.856782
2016-04-05,49.00,49.32,48.709999,48.84,785700,48.746991
2016-04-04,50.169998,50.169998,49.18,49.32,1294900,49.226076
2016-04-01,49.82,50.16,49.200001,50.110001,838200,50.014573
2016-03-31,50.16,50.290001,49.599998,49.98,1240400,49.884819
2016-03-30,50.139999,50.650002,50.060001,50.32,1870700,50.224172
2016-03-29,49.040001,49.77,48.700001,49.73,1189700,49.635295
2016-03-28,49.040001,49.34,48.810001,49.259998,904800,49.166189
2016-03-24,49.09,49.119999,48.689999,49.07,858800,48.976552
2016-03-23,49.77,49.869999,49.200001,49.349998,714300,49.256018
2016-03-22,49.93,50.040001,49.549999,49.77,918100,49.67522
2016-03-21,50.150002,50.290001,49.57,49.900002,799400,49.804974
2016-03-18,49.880001,50.279999,49.740002,50.16,2341600,50.064477
2016-03-17,48.84,50.080002,48.82,49.91,2123900,49.814953
2016-03-16,48.209999,48.98,48.060001,48.779999,1630500,48.687104
2016-03-15,48.060001,48.52,47.790001,48.50,1488400,48.407638
2016-03-14,48.009998,48.689999,46.810001,48.52,1892200,48.337772
2016-03-11,47.889999,48.110001,47.540001,48.07,1345700,47.889461
2016-03-10,47.66,47.790001,46.82,47.400002,1456500,47.221979
2016-03-09,47.849998,47.990002,47.540001,47.650002,933300,47.47104
2016-03-08,47.810001,48.130001,47.599998,47.73,1577300,47.550738
2016-03-07,47.939999,48.34,47.900002,48.16,834700,47.979123
2016-03-04,48.150002,48.560001,47.900002,48.130001,1004800,47.949237
2016-03-03,47.98,48.25,47.50,48.220001,927200,48.038899
2016-03-02,47.84,47.970001,47.490002,47.860001,1155000,47.68025
2016-03-01,46.689999,48.080002,46.549999,47.91,1713000,47.730062
2016-02-29,46.860001,47.060001,46.400002,46.41,1362900,46.235696
2016-02-26,46.610001,47.00,46.169998,46.669998,1070500,46.494717
2016-02-25,45.59,46.41,45.23,46.389999,1177900,46.21577
2016-02-24,44.939999,45.509998,44.639999,45.380001,2032100,45.209565
2016-02-23,46.09,46.25,45.240002,45.540001,2424700,45.368964
2016-02-22,46.41,46.919998,46.049999,46.130001,1358900,45.956748
2016-02-19,45.810001,46.169998,45.34,46.130001,1588900,45.956748
2016-02-18,46.02,46.060001,45.549999,45.860001,1300800,45.687762
2016-02-17,46.16,46.34,45.860001,46.009998,1908500,45.837196
2016-02-16,46.32,46.330002,45.25,45.98,2381000,45.80731
2016-02-12,45.709999,46.18,45.389999,45.630001,1722300,45.458626
2016-02-11,44.639999,45.450001,44.279999,45.029999,1994000,44.860877
2016-02-10,45.610001,46.169998,45.23,45.619999,2293800,45.448662
2016-02-09,44.369999,46.09,44.040001,45.75,1952300,45.578175
2016-02-08,44.330002,44.93,44.040001,44.75,2958400,44.58193
2016-02-05,43.939999,45.950001,42.82,45.330002,3453900,45.159754
2016-02-04,45.849998,47.16,44.919998,46.639999,1878800,46.464831
