Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,156.070007,156.740005,155.339996,155.619995,1035900,155.619995
2016-08-30,155.740005,157.240005,155.309998,156.649994,1137400,156.649994
2016-08-29,154.570007,157.509995,154.570007,155.889999,866000,155.889999
2016-08-26,155.809998,156.00,153.570007,154.25,1096200,154.25
2016-08-25,155.089996,156.160004,155.089996,155.729996,801200,155.729996
2016-08-24,155.190002,155.789993,154.729996,155.210007,878700,155.210007
2016-08-23,156.00,156.850006,155.380005,155.429993,805400,155.429993
2016-08-22,155.139999,155.910004,154.699997,155.479996,574700,155.479996
2016-08-19,154.149994,155.940002,153.690002,155.679993,981900,155.679993
2016-08-18,153.699997,155.00,153.389999,154.970001,996700,154.970001
2016-08-17,152.850006,154.050003,151.610001,153.720001,1073300,153.720001
2016-08-16,152.660004,154.910004,152.509995,152.770004,1885700,152.770004
2016-08-15,150.169998,151.729996,150.009995,151.520004,735400,151.520004
2016-08-12,150.00,152.080002,149.399994,149.839996,1301500,149.839996
2016-08-11,149.589996,149.869995,148.649994,149.050003,616400,149.050003
2016-08-10,149.25,149.25,148.550003,149.029999,528700,149.029999
2016-08-09,148.839996,149.279999,148.490005,149.100006,699800,149.100006
2016-08-08,149.699997,149.699997,148.350006,148.759995,628400,148.759995
2016-08-05,149.490005,150.00,148.720001,149.210007,934200,149.210007
2016-08-04,148.169998,149.529999,147.570007,149.00,822700,149.00
2016-08-03,148.75,148.75,147.789993,148.210007,858500,148.210007
2016-08-02,149.020004,149.149994,147.539993,148.229996,622400,148.229996
2016-08-01,147.75,149.360001,147.119995,149.149994,964000,149.149994
2016-07-29,148.809998,150.75,148.270004,149.419998,1499600,149.419998
2016-07-28,151.490005,152.690002,148.479996,148.990005,1513200,148.990005
2016-07-27,149.949997,150.080002,148.639999,149.009995,1128200,149.009995
2016-07-26,149.00,150.550003,148.199997,149.850006,1264500,149.850006
2016-07-25,148.440002,148.800003,147.779999,148.520004,621000,148.520004
2016-07-22,148.490005,148.880005,147.809998,148.630005,361000,148.630005
2016-07-21,149.50,149.50,147.820007,148.300003,462100,148.300003
2016-07-20,149.229996,150.00,149.00,149.350006,613200,149.350006
2016-07-19,148.610001,149.419998,148.259995,149.380005,812500,149.380005
2016-07-18,149.360001,149.679993,148.649994,149.190002,953800,149.190002
2016-07-15,149.399994,149.690002,148.440002,149.350006,812000,149.350006
2016-07-14,148.429993,149.649994,148.039993,148.899994,1066000,148.899994
2016-07-13,147.960007,148.00,146.720001,147.919998,790800,147.919998
2016-07-12,145.529999,147.880005,145.330002,147.699997,2176000,147.699997
2016-07-11,145.470001,145.559998,143.509995,144.860001,1035300,144.860001
2016-07-08,140.970001,144.720001,140.399994,144.350006,1462100,144.350006
2016-07-07,139.860001,140.440002,138.960007,139.669998,667900,139.669998
2016-07-06,138.380005,139.490005,137.309998,139.360001,845400,139.360001
2016-07-05,140.020004,140.639999,137.880005,138.490005,899300,138.490005
2016-07-01,141.610001,142.690002,140.570007,140.940002,1095400,140.940002
2016-06-30,139.580002,142.089996,138.830002,142.039993,1512700,142.039993
2016-06-29,136.789993,139.589996,136.179993,139.259995,1421600,139.259995
2016-06-28,136.089996,136.800003,134.339996,136.720001,1475300,135.859997
2016-06-27,138.949997,139.139999,134.149994,134.820007,1489900,133.971955
2016-06-24,141.020004,142.729996,139.270004,140.119995,1907300,139.238604
2016-06-23,145.080002,146.220001,145.009995,146.020004,1236900,145.101501
2016-06-22,143.610001,143.779999,142.850006,143.50,960600,142.597348
2016-06-21,144.259995,144.460007,142.539993,143.149994,1111700,142.249544
2016-06-20,144.800003,146.070007,143.869995,144.039993,1245700,143.133945
2016-06-17,144.520004,144.520004,142.699997,143.309998,1093400,142.408541
2016-06-16,143.149994,144.520004,141.369995,144.360001,692000,143.451939
2016-06-15,144.759995,145.759995,143.529999,143.649994,775700,142.746399
2016-06-14,143.960007,144.419998,142.850006,143.899994,884400,142.994826
2016-06-13,145.929993,146.360001,143.899994,144.029999,828400,143.124013
2016-06-10,145.800003,146.589996,145.059998,146.389999,714800,145.469169
2016-06-09,145.869995,146.850006,145.100006,146.600006,585500,145.677854
2016-06-08,145.75,147.199997,145.009995,146.889999,800200,145.966024
2016-06-07,145.399994,145.940002,145.020004,145.25,890100,144.33634
2016-06-06,143.869995,145.880005,143.869995,145.559998,722800,144.644388
2016-06-03,143.389999,143.50,142.270004,143.25,508100,142.348921
2016-06-02,143.440002,143.50,142.279999,143.50,672100,142.597348
2016-06-01,142.160004,144.160004,141.25,144.00,821100,143.094203
2016-05-31,143.679993,143.679993,142.270004,142.639999,684900,141.742757
2016-05-27,143.110001,143.529999,142.850006,143.059998,439200,142.160113
2016-05-26,144.00,144.240005,143.009995,143.070007,439900,142.17006
2016-05-25,143.839996,144.779999,143.490005,143.679993,670700,142.776209
2016-05-24,141.919998,143.580002,141.570007,143.300003,603500,142.398609
2016-05-23,141.740005,142.440002,141.559998,141.669998,831700,140.778857
2016-05-20,142.539993,142.860001,141.089996,141.440002,630700,140.550308
2016-05-19,141.740005,142.630005,140.490005,141.699997,664100,140.808668
2016-05-18,142.00,143.589996,141.119995,141.699997,677700,140.808668
2016-05-17,143.50,144.279999,142.220001,142.880005,1629500,141.981253
2016-05-16,141.990005,143.929993,141.880005,143.550003,835800,142.647037
2016-05-13,143.00,143.649994,141.210007,141.830002,675700,140.937855
2016-05-12,144.199997,144.449997,142.649994,143.339996,1015500,142.438351
2016-05-11,144.270004,144.710007,142.339996,142.419998,706200,141.52414
2016-05-10,143.160004,144.380005,142.330002,144.320007,915900,143.412197
2016-05-09,144.059998,144.990005,142.309998,142.610001,868100,141.712947
2016-05-06,143.669998,145.639999,143.00,144.570007,1527900,143.660625
2016-05-05,143.539993,144.380005,142.720001,143.25,1289900,142.348921
