Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,94.010002,95.00,93.959999,94.769997,2347400,94.769997
2016-08-30,93.849998,94.32,93.260002,94.190002,1542600,94.190002
2016-08-29,93.559998,94.00,93.519997,93.730003,1510500,93.730003
2016-08-26,94.610001,94.93,92.970001,93.260002,2113700,93.260002
2016-08-25,94.879997,95.389999,94.32,94.489998,1855400,94.489998
2016-08-24,93.830002,95.029999,93.830002,94.769997,2261900,94.769997
2016-08-23,93.879997,94.290001,93.650002,93.709999,1214700,93.709999
2016-08-22,93.50,93.919998,92.980003,93.709999,1651900,93.709999
2016-08-19,94.150002,94.150002,92.699997,93.370003,1967900,93.370003
2016-08-18,94.559998,94.849998,93.910004,94.300003,1307900,94.300003
2016-08-17,95.029999,95.080002,94.139999,94.580002,1707700,94.580002
2016-08-16,95.839996,95.940002,94.459999,94.800003,1583500,94.800003
2016-08-15,96.599998,97.00,96.190002,96.209999,1261600,96.209999
2016-08-12,96.330002,96.989998,96.18,96.519997,1118200,96.519997
2016-08-11,96.260002,96.550003,95.779999,96.269997,1050300,96.269997
2016-08-10,95.800003,96.360001,95.800003,96.169998,1292900,96.169998
2016-08-09,96.010002,96.230003,95.519997,95.82,1739700,95.82
2016-08-08,96.230003,96.599998,95.75,95.900002,912300,95.900002
2016-08-05,97.129997,97.160004,95.980003,96.220001,1396600,96.220001
2016-08-04,96.18,97.010002,96.00,96.870003,1365100,96.870003
2016-08-03,96.75,96.959999,95.839996,96.110001,1665000,96.110001
2016-08-02,97.470001,97.709999,96.720001,96.860001,1509400,96.860001
2016-08-01,96.910004,97.75,96.830002,97.739998,1802800,97.739998
2016-07-29,96.650002,97.50,96.599998,97.029999,1920800,97.029999
2016-07-28,96.160004,96.760002,95.849998,96.57,2109500,96.57
2016-07-27,96.629997,96.709999,95.860001,96.07,1759100,96.07
2016-07-26,97.339996,97.580002,96.230003,96.739998,1907200,96.739998
2016-07-25,98.849998,98.870003,96.860001,97.32,2227900,97.32
2016-07-22,98.190002,99.550003,98.00,98.870003,2461000,98.870003
2016-07-21,97.650002,98.559998,97.510002,98.269997,2490100,98.269997
2016-07-20,99.68,99.779999,98.400002,98.489998,1971800,98.489998
2016-07-19,98.57,99.660004,97.25,99.660004,1797500,99.660004
2016-07-18,99.940002,100.330002,99.339996,99.389999,1289300,99.389999
2016-07-15,99.730003,100.400002,99.510002,100.110001,1654900,100.110001
2016-07-14,100.199997,100.199997,99.00,99.470001,1552200,99.470001
2016-07-13,100.269997,100.709999,99.190002,99.800003,2437600,99.800003
2016-07-12,100.269997,100.540001,99.029999,100.150002,4041900,100.150002
2016-07-11,101.690002,101.809998,99.849998,100.540001,3075800,100.540001
2016-07-08,102.220001,102.389999,101.150002,102.199997,2450700,102.199997
2016-07-07,101.800003,102.120003,101.150002,101.510002,1910000,101.510002
2016-07-06,102.379997,102.82,101.230003,101.919998,2439600,101.919998
2016-07-05,101.129997,102.639999,101.00,102.559998,2131600,102.559998
2016-07-01,101.550003,102.18,100.43,101.18,2727400,101.18
2016-06-30,100.269997,101.440002,99.900002,101.43,2818300,101.43
2016-06-29,99.410004,100.559998,99.129997,100.330002,3860100,100.330002
2016-06-28,97.870003,99.00,97.099998,99.00,3221700,99.00
2016-06-27,96.169998,97.190002,95.800003,97.18,4207100,97.18
2016-06-24,94.25,97.339996,93.949997,96.440002,9755600,96.440002
2016-06-23,95.860001,96.410004,95.529999,96.080002,2080400,96.080002
2016-06-22,95.470001,95.639999,95.010002,95.239998,2052600,95.239998
2016-06-21,94.599998,95.519997,94.599998,95.370003,1682300,95.370003
2016-06-20,95.010002,95.419998,94.290001,94.410004,1470700,94.410004
2016-06-17,94.360001,94.589996,93.82,94.410004,2495300,94.410004
2016-06-16,93.709999,94.699997,93.599998,94.650002,2084900,94.650002
2016-06-15,92.900002,94.150002,92.68,93.959999,2273400,93.959999
2016-06-14,94.290001,94.639999,93.480003,93.660004,2866600,92.775004
2016-06-13,94.110001,94.730003,94.040001,94.50,2153500,93.607063
2016-06-10,94.110001,94.449997,93.629997,94.129997,1847000,93.240557
2016-06-09,93.910004,94.599998,93.519997,94.419998,1695200,93.527817
2016-06-08,94.089996,94.75,93.730003,93.989998,1431200,93.10188
2016-06-07,93.059998,94.50,93.010002,94.019997,2047900,93.131596
2016-06-06,92.800003,93.410004,92.639999,93.040001,1990900,92.16086
2016-06-03,91.440002,92.889999,91.440002,92.760002,2055300,91.883507
2016-06-02,90.660004,91.800003,90.519997,91.800003,1212700,90.932579
2016-06-01,90.449997,91.169998,90.330002,90.800003,1977300,89.942028
2016-05-31,90.830002,90.980003,90.089996,90.809998,2031900,89.951928
2016-05-27,90.910004,91.25,90.730003,90.800003,1220600,89.942028
2016-05-26,91.410004,91.410004,90.57,90.809998,1069100,89.951928
2016-05-25,91.489998,91.970001,90.870003,91.080002,1535900,90.219381
2016-05-24,90.629997,91.330002,90.529999,91.290001,1721400,90.427396
2016-05-23,90.139999,90.660004,89.690002,90.360001,2092200,89.506183
2016-05-20,89.839996,90.07,89.32,89.919998,1611700,89.070338
2016-05-19,89.620003,89.93,89.129997,89.529999,1883200,88.684024
