Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,7.67,7.74,7.45,7.59,5578300,7.59
2016-08-30,8.05,8.16,7.72,7.73,5501800,7.72
2016-08-29,7.75,8.05,7.75,7.98,4564400,7.969677
2016-08-26,7.91,8.10,7.76,7.80,7467100,7.78991
2016-08-25,7.95,8.20,7.82,7.91,6821100,7.899767
2016-08-24,8.26,8.50,7.90,7.95,7148200,7.939715
2016-08-23,8.20,8.42,8.14,8.30,5528100,8.289263
2016-08-22,8.53,8.53,8.16,8.22,8385600,8.209366
2016-08-19,8.88,8.95,8.40,8.71,8882000,8.698732
2016-08-18,8.63,9.12,8.59,8.99,5836200,8.97837
2016-08-17,8.89,8.99,8.41,8.54,8350900,8.528952
2016-08-16,9.02,9.08,8.85,8.93,5667700,8.918448
2016-08-15,8.51,9.00,8.51,8.96,5929700,8.948409
2016-08-12,8.81,8.92,8.30,8.42,5351300,8.409107
2016-08-11,8.49,8.91,8.33,8.76,6503000,8.748668
2016-08-10,8.96,9.02,8.38,8.45,7897900,8.439068
2016-08-09,9.31,9.31,8.88,8.98,5213000,8.968382
2016-08-08,8.83,9.30,8.79,9.24,9088000,9.228046
2016-08-05,8.51,8.68,8.38,8.67,8339200,8.658784
2016-08-04,8.55,8.75,8.39,8.52,8141000,8.508978
2016-08-03,8.25,8.59,8.18,8.55,8981600,8.538939
2016-08-02,8.55,8.65,8.05,8.28,6080200,8.269288
2016-08-01,9.03,9.06,8.24,8.47,10156000,8.459043
2016-07-29,8.72,9.24,8.66,9.17,8272000,9.158137
2016-07-28,9.00,9.26,8.65,8.79,11790200,8.778629
2016-07-27,9.22,9.54,8.74,8.78,7721300,8.768641
2016-07-26,9.05,9.25,8.98,9.22,4860100,9.208073
2016-07-25,9.03,9.21,8.91,9.12,9228500,9.108202
2016-07-22,9.60,9.60,9.05,9.10,7779200,9.088228
2016-07-21,9.72,9.95,9.45,9.51,6997400,9.497698
2016-07-20,9.63,9.88,9.46,9.72,5836400,9.707426
2016-07-19,10.03,10.15,9.75,9.82,7056400,9.807296
2016-07-18,10.21,10.37,9.97,10.34,4724100,10.326624
2016-07-15,10.54,10.54,10.25,10.28,3806200,10.266701
2016-07-14,10.42,10.68,10.29,10.43,5802500,10.416507
2016-07-13,10.73,10.89,10.11,10.33,8041800,10.316636
2016-07-12,10.16,10.89,10.15,10.80,9219700,10.786029
2016-07-11,10.25,10.49,9.82,9.88,6800700,9.867219
2016-07-08,10.03,10.65,10.03,10.18,10487100,10.166831
2016-07-07,10.00,10.75,9.77,9.89,8338100,9.877206
2016-07-06,9.66,9.88,9.41,9.86,8346500,9.847244
2016-07-05,10.33,10.43,9.48,9.81,7116800,9.79731
2016-07-01,9.63,10.74,9.56,10.67,7729300,10.656197
2016-06-30,9.84,9.89,9.32,9.71,12436100,9.697439
2016-06-29,9.84,10.12,9.62,9.92,10797300,9.907167
2016-06-28,9.43,9.90,9.43,9.63,8081600,9.617542
2016-06-27,9.75,9.76,9.00,9.07,9394900,9.058266
2016-06-24,10.06,10.49,9.87,9.94,8024900,9.927141
2016-06-23,10.64,10.89,10.49,10.78,7841200,10.766054
2016-06-22,10.74,10.98,10.34,10.37,5844200,10.356585
2016-06-21,10.37,10.71,10.06,10.57,6912000,10.556326
