Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,20.18,20.219999,19.90,20.16,5652700,20.16
2016-08-30,19.860001,20.18,19.77,20.16,6274000,20.16
2016-08-29,19.74,19.93,19.700001,19.809999,4416800,19.809999
2016-08-26,19.67,19.870001,19.549999,19.690001,4751000,19.690001
2016-08-25,19.42,19.639999,19.34,19.59,5076400,19.59
2016-08-24,19.549999,19.65,19.41,19.450001,4853200,19.450001
2016-08-23,19.67,19.719999,19.52,19.52,4762300,19.52
2016-08-22,19.57,19.65,19.48,19.620001,3499000,19.620001
2016-08-19,19.59,19.639999,19.450001,19.59,4108900,19.59
2016-08-18,19.50,19.620001,19.469999,19.58,5185400,19.58
2016-08-17,19.389999,19.549999,19.33,19.52,5852000,19.52
2016-08-16,19.32,19.540001,19.32,19.41,3959400,19.41
2016-08-15,19.18,19.469999,18.950001,19.450001,3116200,19.450001
2016-08-12,19.120001,19.209999,18.940001,19.110001,3081700,19.110001
2016-08-11,19.129999,19.27,19.059999,19.24,4856100,19.24
2016-08-10,19.40,19.48,19.07,19.09,4050200,19.09
2016-08-09,19.370001,19.530001,19.35,19.40,3145800,19.40
2016-08-08,19.620001,19.719999,19.379999,19.40,6385300,19.40
2016-08-05,19.10,19.57,18.93,19.57,8247400,19.57
2016-08-04,19.00,19.110001,18.809999,18.870001,5511900,18.870001
2016-08-03,18.610001,19.01,18.610001,18.959999,6622900,18.959999
2016-08-02,18.690001,18.83,18.459999,18.58,5365500,18.58
2016-08-01,19.049999,19.059999,18.719999,18.780001,6510600,18.780001
2016-07-29,18.93,19.10,18.77,18.98,5967300,18.98
2016-07-28,18.65,19.01,18.48,18.92,9016000,18.92
2016-07-27,18.639999,18.85,18.540001,18.65,7773200,18.65
2016-07-26,18.370001,18.67,18.25,18.66,5571300,18.66
2016-07-25,18.379999,18.51,18.35,18.42,3740500,18.42
2016-07-22,18.32,18.450001,18.16,18.43,3717400,18.43
2016-07-21,18.34,18.50,18.209999,18.26,6772200,18.26
2016-07-20,18.459999,18.48,18.27,18.389999,3984900,18.389999
2016-07-19,18.379999,18.559999,18.26,18.41,4172300,18.41
2016-07-18,18.450001,18.549999,18.360001,18.43,3737800,18.43
2016-07-15,18.59,18.610001,18.379999,18.540001,7696500,18.540001
2016-07-14,18.34,18.51,18.24,18.440001,6064100,18.440001
2016-07-13,17.91,17.98,17.690001,17.940001,6763800,17.940001
