Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,47.150002,47.150002,46.32,46.939999,908300,46.939999
2016-08-30,47.240002,48.200001,47.200001,47.400002,849500,47.400002
2016-08-29,46.509998,47.439999,46.509998,47.23,1198800,47.23
2016-08-26,47.52,47.669998,46.380001,46.560001,958200,46.560001
2016-08-25,47.009998,47.52,47.00,47.169998,608100,47.169998
2016-08-24,48.02,48.119999,46.889999,47.009998,601500,47.009998
2016-08-23,48.049999,48.50,48.009998,48.189999,529700,48.189999
2016-08-22,47.59,47.830002,47.290001,47.580002,535500,47.580002
2016-08-19,47.25,47.91,47.080002,47.810001,767300,47.810001
2016-08-18,47.09,47.68,47.02,47.549999,540400,47.549999
2016-08-17,47.52,47.59,46.470001,47.00,991000,47.00
2016-08-16,48.43,48.689999,47.470001,47.529999,816100,47.529999
2016-08-15,47.950001,48.580002,47.700001,48.290001,851400,48.290001
2016-08-12,48.110001,48.43,47.50,47.650002,1095100,47.650002
2016-08-11,48.02,48.48,47.779999,48.349998,754900,48.349998
2016-08-10,48.16,48.32,47.639999,47.880001,495100,47.880001
2016-08-09,48.599998,48.669998,47.810001,47.919998,864100,47.919998
2016-08-08,48.380001,48.759998,48.130001,48.450001,663400,48.450001
2016-08-05,48.790001,48.880001,48.200001,48.25,930600,48.25
2016-08-04,48.150002,48.57,47.900002,48.389999,1205200,48.389999
2016-08-03,46.490002,48.849998,45.639999,48.200001,2193600,48.200001
2016-08-02,47.25,47.330002,46.209999,46.650002,1103100,46.650002
2016-08-01,47.490002,47.540001,46.599998,47.259998,922500,47.259998
2016-07-29,47.790001,47.790001,46.799999,47.540001,1061400,47.540001
2016-07-28,48.040001,48.34,47.459999,48.060001,659500,48.060001
2016-07-27,48.77,49.009998,47.75,48.220001,818400,48.220001
2016-07-26,48.07,48.91,47.950001,48.799999,1187500,48.799999
2016-07-25,48.119999,48.330002,47.68,47.950001,1088100,47.950001
2016-07-22,47.860001,48.52,47.59,48.130001,652800,48.130001
2016-07-21,48.560001,48.759998,47.700001,47.990002,720300,47.990002
2016-07-20,48.450001,48.740002,48.099998,48.68,1517100,48.68
2016-07-19,48.810001,49.00,48.34,48.419998,1176600,48.419998
2016-07-18,48.66,49.02,47.959999,48.98,728300,48.98
2016-07-15,48.740002,49.119999,48.43,48.860001,958400,48.860001
2016-07-14,48.919998,49.189999,48.360001,48.639999,1074300,48.639999
2016-07-13,48.290001,48.450001,47.709999,48.290001,1182700,48.290001
2016-07-12,47.00,48.439999,47.00,48.080002,1248500,48.080002
2016-07-11,46.700001,47.130001,46.400002,46.419998,761900,46.419998
2016-07-08,45.43,46.630001,45.43,46.48,1023300,46.48
2016-07-07,44.450001,45.450001,44.389999,44.799999,768100,44.799999
2016-07-06,44.459999,44.560001,43.259998,44.16,2541400,44.16
2016-07-05,45.740002,45.740002,44.529999,44.700001,1604200,44.700001
2016-07-01,46.209999,47.150002,45.880001,46.060001,1132200,46.060001
2016-06-30,45.509998,46.310001,44.75,46.310001,1327200,46.310001
2016-06-29,44.439999,45.580002,44.27,45.349998,1342300,45.349998
2016-06-28,42.950001,43.84,42.610001,43.759998,1912100,43.759998
2016-06-27,44.689999,44.689999,41.799999,42.209999,2400900,42.044998
2016-06-24,47.52,48.060001,44.98,45.119999,1876600,44.943623
2016-06-23,49.220001,49.610001,48.959999,49.299999,1651600,49.107283
2016-06-22,48.48,49.419998,48.419998,48.73,1502400,48.539511
2016-06-21,48.619999,48.619999,47.759998,48.23,1664200,48.041466
2016-06-20,48.959999,49.950001,48.560001,48.619999,1811600,48.429941
2016-06-17,49.200001,49.459999,48.220001,48.290001,1795100,48.101233
2016-06-16,48.139999,49.029999,47.439999,49.00,889900,48.808456
2016-06-15,48.450001,49.27,48.139999,48.580002,814300,48.3901
2016-06-14,48.150002,48.66,47.619999,48.139999,927400,47.951818
2016-06-13,49.50,50.02,48.369999,48.389999,1269400,48.20084
2016-06-10,49.599998,49.799999,48.549999,49.66,1260000,49.465876
2016-06-09,49.959999,50.50,49.509998,50.349998,1882900,50.153178
2016-06-08,50.040001,50.57,49.75,50.450001,2674600,50.252789
2016-06-07,49.740002,50.220001,49.349998,49.73,1094300,49.535602
2016-06-06,49.049999,50.00,48.860001,49.669998,1379400,49.475836
2016-06-03,48.099998,49.00,47.98,48.849998,1701300,48.659041
2016-06-02,47.490002,48.029999,47.02,48.009998,904200,47.822325
2016-06-01,47.490002,47.709999,46.240002,47.689999,1398500,47.503576
2016-05-31,48.189999,48.290001,47.470001,47.490002,1069300,47.304361
2016-05-27,47.790001,48.240002,47.580002,48.119999,841500,47.931895
2016-05-26,48.580002,48.810001,47.59,47.849998,1314000,47.66295
2016-05-25,47.529999,48.810001,47.369999,48.380001,2346200,48.190881
2016-05-24,47.849998,48.00,47.139999,47.330002,1867600,47.144986
2016-05-23,46.50,48.110001,46.400002,47.439999,2307500,47.254553
2016-05-20,46.110001,47.029999,46.049999,46.50,1626500,46.318229
2016-05-19,45.400002,46.09,44.900002,45.709999,1977000,45.531316
2016-05-18,46.82,47.209999,45.59,45.639999,1893100,45.46159
2016-05-17,46.939999,47.900002,46.860001,47.150002,2359700,46.96569
2016-05-16,46.27,47.220001,46.07,47.00,1960900,46.816275
2016-05-13,46.990002,47.16,46.00,46.00,1275500,45.820184
2016-05-12,48.060001,48.639999,46.860001,46.990002,1970400,46.806315
2016-05-11,47.150002,47.490002,46.919998,47.00,1887000,46.816275
2016-05-10,46.790001,47.400002,46.490002,47.139999,2811200,46.955727
2016-05-09,47.709999,47.860001,46.560001,46.599998,1413500,46.417837
2016-05-06,47.490002,48.189999,47.360001,48.00,1410400,47.812366
2016-05-05,47.919998,48.459999,47.419998,47.540001,1928800,47.354165
2016-05-04,47.099998,47.830002,46.68,47.439999,2115500,47.254553
2016-05-03,43.619999,47.419998,43.619999,47.32,4246400,47.135023
2016-05-02,43.25,43.639999,42.740002,43.619999,1613900,43.449486
2016-04-29,43.290001,43.599998,42.779999,43.259998,1563700,43.090893
2016-04-28,43.52,44.139999,43.279999,43.52,1122000,43.349879
2016-04-27,43.200001,44.34,43.189999,44.099998,1251600,43.927609
2016-04-26,42.759998,43.349998,42.669998,43.27,962700,43.100856
2016-04-25,42.810001,43.380001,42.52,42.669998,994600,42.503199
2016-04-22,43.00,43.610001,42.73,42.950001,941900,42.782107
2016-04-21,42.400002,43.91,42.380001,42.799999,2120600,42.632692
2016-04-20,41.799999,43.18,41.610001,42.799999,1639300,42.632692
2016-04-19,40.299999,41.810001,40.189999,41.810001,1803900,41.646564
2016-04-18,39.849998,40.25,39.529999,40.130001,1333400,39.973131
2016-04-15,39.66,40.18,39.43,39.900002,1621300,39.74403
2016-04-14,39.779999,39.849998,39.02,39.52,2376300,39.365515
2016-04-13,38.509998,39.650002,38.389999,39.619999,1094100,39.465122
2016-04-12,37.529999,38.18,37.400002,38.00,787200,37.851456
2016-04-11,37.73,38.00,37.209999,37.389999,1035600,37.24384
2016-04-08,37.400002,37.919998,37.169998,37.48,1173700,37.333488
2016-04-07,37.709999,37.709999,36.720001,36.900002,1414000,36.755758
2016-04-06,38.040001,38.299999,36.919998,37.869999,1545600,37.721963
2016-04-05,38.82,39.220001,38.099998,38.16,1534300,38.01083
2016-04-04,40.099998,40.220001,38.900002,39.200001,1163900,39.046766
2016-04-01,39.91,40.349998,39.419998,40.290001,969300,40.132505
2016-03-31,41.279999,41.32,40.02,40.369999,1086400,40.212191
2016-03-30,41.560001,42.029999,41.200001,41.279999,1373200,41.118633
2016-03-29,40.439999,41.09,39.740002,41.060001,867400,40.899496
2016-03-28,40.610001,41.810001,40.25,40.849998,1193500,40.525959
2016-03-24,41.009998,41.259998,40.099998,40.549999,1288400,40.228339
2016-03-23,41.439999,41.830002,41.23,41.389999,1043500,41.061676
2016-03-22,40.919998,41.950001,40.869999,41.73,1138600,41.398979
2016-03-21,40.91,41.650002,40.900002,41.32,753800,40.992232
2016-03-18,41.549999,41.93,40.779999,40.889999,1062100,40.565643
2016-03-17,40.279999,41.59,40.259998,41.310001,877100,40.982313
2016-03-16,39.060001,40.259998,39.009998,40.18,660700,39.861275
2016-03-15,39.669998,39.84,38.919998,39.119999,710200,38.809682
2016-03-14,39.939999,40.439999,39.650002,40.07,923100,39.752147
2016-03-11,39.799999,40.639999,39.799999,40.150002,1204700,39.831515
2016-03-10,39.099998,39.799999,38.619999,39.209999,954000,38.898969
2016-03-09,38.98,39.779999,38.919998,38.939999,1433900,38.63111
2016-03-08,40.369999,40.59,38.209999,38.709999,1531600,38.402935
2016-03-07,40.509998,41.799999,40.310001,40.810001,1421000,40.486279
2016-03-04,38.790001,41.849998,38.669998,40.48,2103200,40.158895
2016-03-03,37.779999,38.720001,37.560001,38.610001,1376500,38.30373
2016-03-02,37.790001,38.41,37.580002,38.00,1333000,37.698568
2016-03-01,38.110001,38.509998,37.82,38.380001,943000,38.075555
2016-02-29,37.990002,38.509998,37.639999,37.639999,1344800,37.341423
2016-02-26,37.75,38.439999,37.540001,38.060001,940900,37.758093
2016-02-25,37.040001,37.400002,36.25,37.380001,644000,37.083487
2016-02-24,36.040001,37.139999,35.68,36.990002,684000,36.696581
2016-02-23,37.470001,38.119999,36.41,36.639999,936200,36.349355
2016-02-22,36.310001,37.84,36.240002,37.830002,1290900,37.529918
2016-02-19,36.93,36.93,35.860001,35.950001,686200,35.66483
2016-02-18,38.09,38.16,36.560001,37.09,1224300,36.795787
2016-02-17,37.25,38.59,37.110001,37.860001,1361600,37.559679
2016-02-16,35.110001,36.849998,34.57,36.790001,1995100,36.498167
2016-02-12,33.52,35.110001,32.919998,35.040001,1225100,34.762049
2016-02-11,33.52,34.349998,32.240002,33.529999,2171000,33.264025
2016-02-10,34.830002,35.759998,34.16,34.209999,1297500,33.938631
2016-02-09,34.549999,35.119999,33.84,34.529999,3426600,34.256092
2016-02-08,36.529999,36.599998,34.25,34.950001,1753000,34.672763
2016-02-05,37.470001,38.290001,36.779999,36.950001,1029100,36.656898
2016-02-04,36.27,39.240002,36.240002,37.599998,1918000,37.301739
2016-02-03,35.009998,36.09,33.950001,36.080002,896600,35.7938
2016-02-02,35.209999,35.330002,34.310001,34.529999,1199000,34.256092
2016-02-01,35.25,35.759998,34.34,35.669998,1101500,35.387049
2016-01-29,34.849998,35.77,34.59,35.720001,975200,35.436655
2016-01-28,35.099998,35.259998,34.189999,34.619999,669700,34.345378
2016-01-27,34.57,35.77,34.450001,34.709999,1125400,34.434665
2016-01-26,33.970001,34.970001,33.84,34.830002,1250600,34.553715
2016-01-25,34.91,35.099998,33.630001,33.650002,949500,33.383075
