Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,5.19,5.23,4.55,4.73,20933200,4.73
2016-08-30,5.00,5.15,5.00,5.13,15037900,5.13
2016-08-29,4.65,4.99,4.64,4.93,17631300,4.93
2016-08-26,4.42,4.63,4.37,4.62,14804700,4.62
2016-08-25,4.30,4.41,4.24,4.40,8970500,4.40
2016-08-24,4.09,4.29,4.07,4.24,12678900,4.24
2016-08-23,3.92,4.12,3.91,4.08,5839600,4.08
2016-08-22,3.89,3.93,3.83,3.90,3228500,3.90
2016-08-19,3.83,3.95,3.80,3.92,5137700,3.92
2016-08-18,3.83,3.93,3.81,3.87,3978600,3.87
2016-08-17,3.85,3.89,3.79,3.82,6308900,3.82
2016-08-16,3.69,3.84,3.65,3.82,7263100,3.82
2016-08-15,3.62,3.72,3.59,3.70,4918200,3.70
2016-08-12,3.54,3.63,3.48,3.57,3960700,3.57
2016-08-11,3.54,3.60,3.48,3.54,3547000,3.54
2016-08-10,3.61,3.65,3.51,3.53,4449000,3.53
2016-08-09,3.49,3.64,3.47,3.60,8002600,3.60
2016-08-08,3.50,3.59,3.45,3.48,7733200,3.48
2016-08-05,3.43,3.50,3.37,3.49,8908700,3.49
2016-08-04,3.51,3.61,3.33,3.34,11781400,3.34
2016-08-03,3.43,3.73,3.32,3.51,34225100,3.51
2016-08-02,2.80,2.81,2.67,2.75,8602700,2.75
2016-08-01,2.92,2.94,2.77,2.80,5356100,2.80
2016-07-29,2.82,2.86,2.75,2.86,9327400,2.86
2016-07-28,2.88,2.90,2.80,2.82,4445500,2.82
2016-07-27,2.94,3.00,2.86,2.90,4862500,2.90
2016-07-26,2.86,2.94,2.85,2.91,2946200,2.91
2016-07-25,2.90,2.97,2.84,2.87,3341900,2.87
2016-07-22,2.91,2.91,2.82,2.88,2935600,2.88
2016-07-21,2.88,3.03,2.85,2.86,4890900,2.86
2016-07-20,2.86,2.89,2.80,2.88,3096300,2.88
2016-07-19,2.85,2.90,2.80,2.86,4187900,2.86
2016-07-18,2.75,2.85,2.72,2.84,3461300,2.84
2016-07-15,2.78,2.81,2.71,2.76,3415400,2.76
2016-07-14,2.75,2.87,2.75,2.77,5261300,2.77
2016-07-13,2.79,2.81,2.66,2.75,6111700,2.75
2016-07-12,2.70,2.84,2.70,2.78,9149200,2.78
2016-07-11,2.64,2.69,2.60,2.65,6171500,2.65
2016-07-08,2.52,2.63,2.52,2.57,5897200,2.57
2016-07-07,2.41,2.56,2.39,2.43,9553800,2.43
2016-07-06,2.38,2.38,2.26,2.35,11465800,2.35
2016-07-05,2.52,2.56,2.31,2.38,13469000,2.38
2016-07-01,2.58,2.63,2.55,2.58,6802800,2.58
2016-06-30,2.67,2.70,2.52,2.58,8730900,2.58
2016-06-29,2.68,2.68,2.56,2.65,9234200,2.65
2016-06-28,2.67,2.74,2.55,2.60,10488100,2.60
2016-06-27,3.00,3.10,2.53,2.56,17902800,2.56
2016-06-24,3.08,3.22,2.99,3.05,41173400,3.05
2016-06-23,3.27,3.39,3.26,3.36,5446200,3.36
2016-06-22,3.28,3.35,3.22,3.23,5980500,3.23
2016-06-21,3.21,3.30,3.19,3.30,5098600,3.30
2016-06-20,3.27,3.35,3.20,3.22,6530400,3.22
2016-06-17,3.04,3.17,3.00,3.11,10750100,3.11
2016-06-16,3.10,3.11,2.92,3.01,8641400,3.01
2016-06-15,3.10,3.23,3.10,3.15,5491200,3.15
2016-06-14,3.28,3.37,3.06,3.08,7861800,3.08
