Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,25.40,25.440001,24.639999,24.870001,7374500,24.870001
2016-08-30,26.48,26.48,25.299999,25.34,6841500,25.34
2016-08-29,26.43,26.65,26.299999,26.48,3684100,26.48
2016-08-26,26.50,26.780001,26.290001,26.48,3427300,26.48
2016-08-25,26.629999,26.719999,26.23,26.389999,5549200,26.389999
2016-08-24,26.85,27.030001,26.610001,26.629999,4492000,26.629999
2016-08-23,27.00,27.190001,26.809999,26.99,4902200,26.99
2016-08-22,26.799999,27.190001,26.629999,26.860001,7512700,26.860001
2016-08-19,25.90,26.940001,25.700001,26.889999,17698300,26.889999
2016-08-18,25.65,26.00,25.309999,25.879999,9550700,25.879999
2016-08-17,24.90,25.51,24.889999,25.459999,5137900,25.459999
2016-08-16,25.299999,25.41,25.040001,25.139999,4454400,25.139999
2016-08-15,25.16,25.549999,25.030001,25.389999,4661000,25.389999
2016-08-12,25.030001,25.280001,24.860001,24.99,5659400,24.99
2016-08-11,24.68,25.16,24.620001,24.98,6866600,24.98
2016-08-10,24.129999,24.559999,23.969999,24.030001,6133900,24.030001
2016-08-09,25.15,25.200001,23.790001,24.01,11324000,24.01
2016-08-08,25.68,25.870001,25.559999,25.620001,4165600,25.620001
2016-08-05,25.299999,25.82,25.24,25.639999,4820600,25.639999
2016-08-04,25.049999,25.469999,25.00,25.200001,8973800,25.200001
2016-08-03,23.860001,25.10,22.950001,25.01,8953300,25.01
2016-08-02,25.559999,25.559999,24.17,24.209999,8826400,24.209999
2016-08-01,25.59,25.700001,25.23,25.559999,6969300,25.559999
2016-07-29,25.25,25.799999,25.01,25.790001,6686600,25.790001
2016-07-28,25.60,25.629999,24.84,25.23,7145000,25.23
2016-07-27,25.799999,25.950001,25.219999,25.58,6944800,25.58
2016-07-26,25.23,25.940001,25.23,25.76,7326900,25.76
2016-07-25,24.91,25.299999,24.790001,25.129999,10516600,25.129999
2016-07-22,24.24,24.360001,23.92,24.34,4524900,24.34
2016-07-21,24.27,24.49,24.16,24.23,4495000,24.23
2016-07-20,24.09,24.299999,23.870001,24.219999,3393300,24.219999
2016-07-19,23.780001,24.08,23.780001,23.950001,6217700,23.950001
2016-07-18,23.360001,23.93,23.26,23.879999,5509900,23.879999
2016-07-15,23.32,23.51,23.209999,23.26,4170100,23.26
2016-07-14,23.49,23.540001,23.139999,23.209999,4070600,23.209999
2016-07-13,23.35,23.379999,22.860001,23.280001,6088400,23.280001
2016-07-12,23.190001,23.43,23.01,23.370001,4234600,23.370001
2016-07-11,22.93,23.200001,22.68,22.90,7751300,22.90
2016-07-08,22.76,23.209999,22.610001,22.700001,13624200,22.700001
2016-07-07,21.75,21.889999,21.27,21.629999,11098300,21.629999
2016-07-06,21.219999,21.85,21.00,21.790001,11881200,21.790001
2016-07-05,21.299999,21.42,20.73,21.27,6925400,21.27
2016-07-01,20.969999,21.48,20.950001,21.40,5525600,21.40
2016-06-30,21.09,21.219999,20.59,21.219999,5681700,20.99
2016-06-29,20.84,21.24,20.780001,21.00,5796800,20.772385
2016-06-28,20.209999,20.99,20.16,20.74,6308300,20.515203
2016-06-27,20.25,20.290001,19.33,20.07,7652400,19.852465
2016-06-24,20.120001,20.58,20.10,20.40,9090600,20.178888
2016-06-23,20.879999,21.07,20.780001,20.93,4463800,20.703144
2016-06-22,20.700001,20.98,20.58,20.610001,4132700,20.386613
2016-06-21,20.700001,20.700001,20.24,20.549999,5651900,20.327262
2016-06-20,20.370001,21.040001,20.34,20.719999,14453000,20.495419
2016-06-17,19.389999,20.43,19.379999,20.129999,10633100,19.911814
2016-06-16,19.15,19.389999,18.93,19.34,4648600,19.130378
2016-06-15,19.08,19.790001,19.049999,19.33,5393600,19.120486
2016-06-14,18.82,19.209999,18.690001,19.01,5042400,18.803955
2016-06-13,18.92,19.129999,18.77,18.91,4813200,18.705038
2016-06-10,18.82,19.040001,18.559999,18.92,4416100,18.71493
2016-06-09,19.459999,19.459999,19.00,19.309999,4508600,19.100702
2016-06-08,19.530001,19.59,19.299999,19.530001,4373300,19.318319
2016-06-07,19.15,19.57,19.059999,19.42,5342800,19.20951
2016-06-06,19.02,19.219999,18.83,19.049999,6142800,18.84352
2016-06-03,19.00,19.43,18.700001,19.09,10804800,18.883087
2016-06-02,17.879999,18.48,17.870001,18.33,9341800,18.131325
2016-06-01,17.940001,18.200001,17.73,17.870001,9361000,17.676311
2016-05-31,18.23,18.299999,17.719999,17.99,11231400,17.79501
