Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,29.01,29.450001,29.01,29.35,2252200,29.35
2016-08-30,29.030001,29.450001,28.93,29.059999,2715800,29.059999
2016-08-29,28.91,29.17,28.85,28.93,1968300,28.93
2016-08-26,29.24,29.450001,28.85,29.01,1903400,29.01
2016-08-25,29.34,29.41,29.139999,29.16,1743300,29.16
2016-08-24,29.42,29.559999,29.309999,29.43,1824700,29.43
2016-08-23,29.42,29.559999,29.209999,29.42,2479300,29.42
2016-08-22,29.190001,29.290001,28.950001,29.280001,1823300,29.280001
2016-08-19,28.950001,29.42,28.950001,29.18,2968500,29.18
2016-08-18,28.58,29.35,28.58,29.120001,3441000,29.120001
2016-08-17,28.82,29.16,28.299999,28.629999,2671000,28.629999
2016-08-16,29.309999,29.42,28.85,28.85,1884200,28.85
2016-08-15,29.23,29.549999,29.209999,29.440001,2499400,29.440001
2016-08-12,29.49,29.49,29.01,29.299999,4799800,29.299999
2016-08-11,28.34,29.57,28.309999,29.530001,5976900,29.530001
2016-08-10,28.040001,28.16,27.700001,28.049999,2058000,28.049999
2016-08-09,28.09,28.35,27.950001,27.959999,1921900,27.959999
2016-08-08,28.299999,28.50,28.030001,28.129999,1762700,28.129999
2016-08-05,28.34,28.719999,28.200001,28.23,1820900,28.23
2016-08-04,27.940001,28.50,27.940001,28.15,3155200,28.15
2016-08-03,27.540001,27.969999,27.530001,27.92,3327500,27.92
2016-08-02,28.60,28.709999,27.540001,27.57,4817100,27.57
2016-08-01,28.65,28.84,28.43,28.780001,3670900,28.780001
2016-07-29,28.690001,29.09,28.51,28.67,2848400,28.67
2016-07-28,28.809999,28.83,28.309999,28.74,3953400,28.74
2016-07-27,28.82,29.49,28.60,29.09,8635800,29.020001
2016-07-26,27.110001,28.01,26.860001,27.91,5001200,27.84284
2016-07-25,27.040001,27.43,26.870001,27.01,2317600,26.945006
2016-07-22,26.950001,27.110001,26.700001,27.049999,1617200,26.984909
2016-07-21,26.700001,27.15,26.700001,27.08,2152500,27.014837
2016-07-20,26.59,26.799999,26.49,26.629999,1577100,26.565919
2016-07-19,26.48,26.690001,26.370001,26.530001,2743200,26.466162
2016-07-18,26.52,26.610001,26.26,26.52,2155400,26.456185
2016-07-15,26.73,26.73,26.360001,26.52,2764000,26.456185
2016-07-14,26.91,27.00,26.51,26.639999,3400300,26.575896
2016-07-13,27.139999,27.280001,26.52,26.58,4686700,26.51604
2016-07-12,26.940001,27.610001,26.90,27.110001,4518800,27.044766
2016-07-11,26.709999,27.120001,26.59,26.66,2779700,26.595848
2016-07-08,25.889999,26.74,25.889999,26.530001,4147500,26.466162
2016-07-07,25.290001,25.85,25.290001,25.620001,2425000,25.558351
2016-07-06,24.84,25.27,24.309999,25.25,3430400,25.189241
2016-07-05,25.75,25.790001,24.85,24.93,3491300,24.870011
2016-07-01,25.709999,26.52,25.700001,25.90,3156800,25.837676
2016-06-30,25.559999,25.66,25.17,25.66,4783600,25.598254
2016-06-29,25.219999,25.610001,25.219999,25.43,3629700,25.368808
2016-06-28,24.700001,25.34,24.65,25.26,3937200,25.199217
2016-06-27,25.209999,25.209999,24.40,24.530001,5707900,24.470974
2016-06-24,26.120001,26.51,25.530001,25.57,6281900,25.508471
2016-06-23,27.42,27.719999,27.32,27.41,2848200,27.344043
2016-06-22,27.209999,27.59,27.01,27.200001,2064200,27.134549
2016-06-21,27.540001,27.540001,27.059999,27.23,2270900,27.164476
2016-06-20,27.719999,28.07,27.530001,27.559999,2094900,27.493682
2016-06-17,26.98,27.379999,26.889999,27.35,3719000,27.284188
2016-06-16,26.60,27.129999,26.290001,27.08,2744300,27.014837
2016-06-15,26.620001,27.27,26.51,26.83,2164500,26.765439
2016-06-14,27.00,27.07,26.379999,26.60,2911900,26.535993
2016-06-13,27.379999,27.43,27.00,27.01,2235700,26.945006
2016-06-10,27.440001,27.780001,27.25,27.42,3331600,27.354019
2016-06-09,27.92,27.950001,27.48,27.74,2289600,27.673249
2016-06-08,27.299999,28.01,27.25,27.92,3049500,27.852816
2016-06-07,27.190001,27.60,27.040001,27.34,2500600,27.274212
2016-06-06,27.01,27.17,26.74,27.16,3701400,27.094645
2016-06-03,27.32,27.370001,26.709999,27.120001,2756800,27.054742
2016-06-02,27.379999,27.74,27.32,27.49,1808100,27.423851
2016-06-01,27.780001,27.91,27.190001,27.379999,3326400,27.314115
2016-05-31,27.91,28.049999,27.790001,27.969999,3456000,27.902695
2016-05-27,27.40,27.799999,27.40,27.790001,2308100,27.72313
2016-05-26,27.559999,27.790001,27.370001,27.370001,2896700,27.30414
2016-05-25,27.959999,28.120001,27.530001,27.59,4607800,27.52361
2016-05-24,27.42,27.99,27.190001,27.889999,3783600,27.822888
2016-05-23,27.200001,27.35,26.84,26.93,2448400,26.865199
2016-05-20,27.25,27.629999,27.07,27.17,2888300,27.104621
2016-05-19,27.190001,27.42,26.85,27.059999,3307200,26.994885
2016-05-18,27.440001,27.83,27.190001,27.41,2530600,27.344043
2016-05-17,27.450001,27.969999,27.33,27.49,3523000,27.423851
2016-05-16,27.75,28.00,27.469999,27.559999,3945100,27.493682
2016-05-13,27.85,28.41,27.59,27.65,2288900,27.583465
2016-05-12,28.059999,28.49,27.799999,27.99,2173500,27.922647
2016-05-11,28.389999,28.66,27.940001,27.950001,2303500,27.882745
2016-05-10,28.299999,28.629999,28.24,28.41,2950900,28.341637
2016-05-09,28.290001,28.620001,28.17,28.18,3182500,28.112191
2016-05-06,27.809999,28.209999,27.629999,28.190001,4761800,28.122167
2016-05-05,27.99,28.190001,27.68,27.889999,4408900,27.822888
2016-05-04,28.15,28.290001,27.60,27.73,6426700,27.663273
2016-05-03,28.42,28.59,27.74,28.43,3586200,28.361589
2016-05-02,29.209999,29.209999,28.57,28.77,4475800,28.700771
2016-04-29,29.74,29.940001,28.52,28.969999,6996800,28.900289
2016-04-28,30.02,30.68,29.76,29.889999,4693300,29.818075
2016-04-27,29.67,31.139999,29.469999,30.34,12536400,30.197161
2016-04-26,32.23,32.919998,32.130001,32.779999,2390500,32.625673
2016-04-25,32.380001,32.380001,31.879999,32.220001,1469200,32.068312
2016-04-22,32.279999,32.560001,32.09,32.380001,2115600,32.227558
2016-04-21,32.310001,32.630001,32.09,32.290001,1467400,32.137982
2016-04-20,32.150002,32.549999,32.049999,32.299999,1990100,32.147933
2016-04-19,32.220001,32.599998,31.809999,32.150002,2643700,31.998641
2016-04-18,31.780001,32.279999,31.780001,31.99,1638400,31.839393
2016-04-15,31.99,32.040001,31.530001,32.00,2004000,31.849346
2016-04-14,32.119999,32.279999,31.77,31.940001,1679900,31.789629
2016-04-13,31.49,32.240002,31.32,32.110001,3105900,31.958829
2016-04-12,31.120001,31.51,30.93,31.23,2479500,31.082971
2016-04-11,31.17,31.60,31.02,31.110001,2315400,30.963537
2016-04-08,31.41,31.50,30.74,30.959999,2700300,30.814241
2016-04-07,31.75,31.799999,30.98,31.139999,4379100,30.993394
2016-04-06,31.27,31.33,30.82,31.219999,3691200,31.073018
2016-04-05,31.139999,31.51,30.809999,31.25,4906200,31.102877
2016-04-04,32.369999,32.450001,31.280001,31.389999,2861500,31.242217
2016-04-01,32.669998,32.830002,32.220001,32.490002,2197600,32.337041
2016-03-31,32.720001,33.040001,32.599998,32.98,3066100,32.824732
2016-03-30,32.860001,33.330002,32.57,32.77,2149800,32.615722
2016-03-29,31.799999,32.740002,31.73,32.619999,2215900,32.466426
2016-03-28,32.18,32.27,31.860001,32.00,1513400,31.849346
2016-03-24,32.00,32.349998,31.719999,32.18,1924300,32.028499
2016-03-23,32.669998,32.73,32.200001,32.209999,2421800,32.058357
2016-03-22,32.740002,32.98,32.48,32.759998,2157700,32.605766
2016-03-21,32.25,32.91,32.23,32.790001,2293900,32.635628
2016-03-18,32.50,32.799999,32.32,32.41,7064400,32.257416
2016-03-17,32.82,33.110001,32.549999,32.560001,3717200,32.406711
2016-03-16,32.639999,33.169998,32.560001,33.07,3244000,32.914308
2016-03-15,32.259998,32.779999,31.93,32.73,3031800,32.575909
2016-03-14,32.810001,33.00,32.220001,32.41,3030300,32.257416
2016-03-11,32.220001,33.040001,32.009998,33.029999,2999100,32.874496
2016-03-10,32.50,32.689999,31.719999,31.90,3718200,31.749817
2016-03-09,32.450001,32.790001,32.310001,32.470001,2832200,32.317135
2016-03-08,32.150002,32.490002,31.870001,32.23,4587400,32.078263
2016-03-07,32.25,32.689999,32.220001,32.470001,3000200,32.317135
2016-03-04,31.780001,32.549999,31.559999,32.529999,3522200,32.37685
2016-03-03,31.280001,32.169998,31.110001,32.07,3604100,31.919016
2016-03-02,31.08,31.50,31.02,31.41,2557700,31.262124
2016-03-01,30.67,31.290001,30.60,31.23,3138400,31.082971
2016-02-29,30.17,30.719999,30.07,30.120001,3192700,29.978198
2016-02-26,30.16,30.50,29.83,30.25,3213900,30.107585
2016-02-25,29.610001,29.950001,29.209999,29.950001,2501700,29.808998
2016-02-24,29.27,29.51,28.540001,29.42,3500600,29.281493
2016-02-23,29.799999,30.299999,29.440001,29.57,3745700,29.430786
2016-02-22,29.92,30.290001,29.49,29.90,3647100,29.759232
2016-02-19,29.92,30.00,29.18,29.610001,4085700,29.470599
2016-02-18,30.809999,31.00,30.110001,30.23,2575600,30.087679
2016-02-17,30.57,31.08,30.379999,30.780001,3621200,30.635091
2016-02-16,30.129999,30.40,29.41,30.35,4665500,30.207115
2016-02-12,29.129999,30.120001,28.65,29.690001,5673900,29.550222
2016-02-11,27.98,29.08,27.700001,28.610001,4447400,28.475307
2016-02-10,28.200001,29.370001,28.07,28.58,7167500,28.445447
2016-02-09,27.23,28.68,26.32,27.450001,8545900,27.320768
2016-02-08,26.90,27.059999,26.07,26.34,7774100,26.215993
2016-02-05,27.60,28.33,27.120001,27.190001,4327400,27.061992
2016-02-04,27.950001,28.290001,27.40,27.610001,5494700,27.480015
2016-02-03,28.700001,28.83,26.629999,27.91,5353200,27.778601
2016-02-02,28.66,28.85,28.25,28.459999,3717000,28.326011
2016-02-01,28.26,29.15,27.83,28.959999,4894700,28.823657
2016-01-29,27.860001,28.59,27.620001,28.41,5763000,28.276247
2016-01-28,29.08,29.389999,27.709999,27.76,4341100,27.629308
2016-01-27,28.67,29.719999,28.389999,28.549999,3733500,28.345916
2016-01-26,28.02,29.09,27.82,28.790001,3579800,28.584202
2016-01-25,28.33,28.42,27.459999,27.809999,2963500,27.611206
2016-01-22,28.559999,29.50,27.83,28.49,5837700,28.286346
2016-01-21,28.040001,28.65,27.629999,27.92,4271800,27.72042
2016-01-20,26.969999,28.440001,26.469999,27.93,5274000,27.730349
2016-01-19,28.049999,28.129999,27.030001,27.57,4269200,27.372922
2016-01-15,27.48,27.75,27.01,27.549999,4200400,27.353065
2016-01-14,27.709999,28.790001,26.68,28.41,5435200,28.206918
2016-01-13,29.280001,29.440001,27.48,27.690001,6345800,27.492065
2016-01-12,29.16,29.59,28.15,29.120001,5360800,28.911843
2016-01-11,28.389999,28.719999,27.950001,28.59,4805900,28.385631
2016-01-08,29.01,29.17,28.030001,28.139999,4578400,27.938847
2016-01-07,29.530001,29.76,28.559999,28.709999,4364500,28.504772
2016-01-06,30.190001,30.440001,29.76,30.35,4748500,30.133051
2016-01-05,31.969999,32.02,30.65,30.700001,4884000,30.480549
2016-01-04,32.009998,32.389999,31.040001,32.009998,3940700,31.781182
2015-12-31,33.169998,33.23,32.560001,32.669998,2095400,32.436464
2015-12-30,33.240002,33.470001,33.07,33.310001,1576800,33.071893
2015-12-29,32.889999,33.43,32.880001,33.259998,1657000,33.022247
2015-12-28,32.66,32.790001,32.299999,32.73,1332400,32.496037
2015-12-24,32.98,33.25,32.650002,32.799999,852800,32.565536
2015-12-23,32.549999,33.16,32.380001,33.00,2385600,32.764107
2015-12-22,32.130001,32.310001,31.57,32.290001,2752600,32.059183
2015-12-21,32.099998,32.34,31.67,31.879999,2184000,31.652112
2015-12-18,32.470001,32.59,31.83,31.870001,8378200,31.642186
2015-12-17,33.200001,33.509998,32.400002,32.50,2067300,32.267681
2015-12-16,32.990002,33.41,32.66,33.330002,2718900,33.09175
2015-12-15,32.189999,32.98,32.00,32.73,3770300,32.496037
2015-12-14,32.290001,32.299999,31.16,31.780001,4176600,31.552829
2015-12-11,33.150002,33.150002,32.080002,32.16,3910200,31.930112
2015-12-10,33.150002,34.189999,33.049999,33.41,2430100,33.171176
2015-12-09,34.130001,34.610001,33.259998,33.490002,2949500,33.250606
2015-12-08,34.040001,34.360001,33.650002,34.27,1966200,34.025029
2015-12-07,34.849998,35.09,34.169998,34.34,2302600,34.094529
2015-12-04,34.52,35.02,34.369999,34.880001,2328700,34.63067
2015-12-03,34.830002,35.00,34.34,34.52,2778600,34.273242
2015-12-02,35.119999,35.299999,34.59,34.849998,3313100,34.600881
2015-12-01,34.880001,35.139999,34.82,35.00,2913200,34.749811
2015-11-30,34.900002,35.040001,34.720001,34.880001,2224600,34.63067
2015-11-27,34.639999,34.970001,34.43,34.810001,1023300,34.56117
2015-11-25,34.450001,34.849998,34.369999,34.619999,1589000,34.372526
2015-11-24,33.98,34.52,33.84,34.470001,2061200,34.2236
2015-11-23,34.099998,34.639999,33.970001,34.080002,2606700,33.836389
2015-11-20,33.93,34.349998,33.790001,34.25,3330600,34.005172
2015-11-19,33.34,34.009998,33.34,33.810001,2974100,33.568318
2015-11-18,32.68,33.509998,32.419998,33.450001,3972300,33.210891
2015-11-17,32.48,33.490002,32.349998,32.490002,3694800,32.257755
2015-11-16,31.77,32.349998,31.77,32.310001,2632600,32.079041
2015-11-13,32.310001,32.650002,31.719999,31.889999,3355400,31.662041
2015-11-12,32.57,32.970001,32.220001,32.25,2358600,32.019468
2015-11-11,32.57,33.040001,32.360001,32.77,2489500,32.535752
2015-11-10,32.639999,32.700001,31.83,32.439999,3130400,32.208109
2015-11-09,33.049999,33.139999,32.43,32.549999,2338100,32.317323
2015-11-06,32.759998,33.18,32.549999,32.98,2593500,32.74425
2015-11-05,32.919998,33.16,32.650002,32.709999,2557200,32.476179
2015-11-04,33.389999,33.599998,32.810001,32.91,3007900,32.67475
2015-11-03,33.560001,33.75,33.09,33.27,2896000,33.032178
2015-11-02,32.84,33.75,32.84,33.490002,5132400,33.250606
2015-10-30,31.790001,33.419998,31.52,32.84,4523200,32.605251
2015-10-29,33.32,33.349998,30.530001,31.790001,6568900,31.562758
2015-10-28,32.549999,33.419998,31.969999,33.400002,5293500,33.091751
2015-10-27,32.799999,33.169998,32.360001,32.470001,3638100,32.170334
2015-10-26,33.040001,33.25,32.84,33.130001,2235800,32.824242
2015-10-23,32.830002,33.220001,32.810001,32.970001,3381500,32.665719
2015-10-22,32.810001,32.91,32.330002,32.57,2625500,32.269409
2015-10-21,32.50,33.02,32.41,32.490002,2682600,32.190149
2015-10-20,31.299999,32.709999,31.129999,32.580002,2577300,32.279319
2015-10-19,32.580002,32.619999,32.119999,32.299999,2169800,32.0019
2015-10-16,32.389999,32.720001,31.92,32.68,2368800,32.378394
2015-10-15,32.029999,32.400002,31.77,32.369999,2631100,32.071254
2015-10-14,31.75,32.09,31.639999,32.00,3935400,31.70467
2015-10-13,31.620001,32.279999,31.50,31.65,2704500,31.3579
2015-10-12,31.959999,32.200001,31.74,31.780001,2193400,31.486701
2015-10-09,31.90,32.290001,31.75,31.879999,2309600,31.585777
2015-10-08,31.07,31.959999,31.07,31.82,2819700,31.526331
2015-10-07,30.60,31.530001,30.51,31.23,3504400,30.941776
2015-10-06,30.040001,30.629999,29.68,30.389999,3149100,30.109528
2015-10-05,29.42,30.309999,29.27,30.23,2985500,29.951005
2015-10-02,28.82,29.389999,28.610001,29.23,3157100,28.960234
2015-10-01,29.58,29.889999,28.870001,29.42,3672300,29.148481
2015-09-30,28.700001,29.450001,28.59,29.33,3945400,29.059311
2015-09-29,28.10,28.67,27.99,28.32,2881500,28.058633
2015-09-28,29.48,29.75,28.290001,28.370001,3178900,28.108172
2015-09-25,29.459999,29.98,29.26,29.73,3450000,29.455619
2015-09-24,29.280001,29.389999,28.34,29.190001,2869100,28.920604
2015-09-23,29.559999,29.66,29.02,29.57,3046300,29.297096
2015-09-22,30.120001,30.34,29.24,29.559999,3745000,29.287188
2015-09-21,30.459999,30.98,30.209999,30.68,1949700,30.396853
2015-09-18,30.709999,30.790001,30.25,30.459999,3773800,30.178882
2015-09-17,30.799999,31.620001,30.66,31.10,3008600,30.812976
2015-09-16,29.639999,30.950001,29.459999,30.90,3745400,30.614822
2015-09-15,29.469999,29.790001,29.00,29.639999,3364700,29.36645
2015-09-14,29.60,29.68,29.110001,29.309999,2512500,29.039496
2015-09-11,29.77,29.85,29.030001,29.58,2794000,29.307004
2015-09-10,29.73,30.18,29.60,29.92,3132300,29.643866
2015-09-09,30.370001,30.629999,29.82,29.889999,3306400,29.614143
2015-09-08,29.93,30.280001,29.700001,30.09,2942800,29.812298
2015-09-04,29.33,29.440001,28.92,29.219999,2106800,28.950326
2015-09-03,29.379999,30.09,29.110001,29.700001,2855700,29.425898
2015-09-02,29.200001,29.389999,28.709999,29.299999,3015700,29.029588
2015-09-01,29.01,29.440001,28.459999,28.67,3074500,28.405403
2015-08-31,29.40,30.18,29.299999,29.77,3471300,29.495251
2015-08-28,28.700001,29.639999,28.57,29.52,2801200,29.247558
2015-08-27,28.85,29.16,28.18,28.940001,5985400,28.672911
2015-08-26,28.629999,29.00,27.52,28.48,4514100,28.217156
2015-08-25,28.879999,29.34,27.82,27.83,4495100,27.573155
2015-08-24,27.15,29.25,25.50,28.09,5918900,27.830756
2015-08-21,30.809999,30.860001,29.280001,29.280001,4888900,29.009774
2015-08-20,31.780001,31.92,31.08,31.139999,3343500,30.852606
2015-08-19,32.369999,32.59,31.700001,32.220001,4169500,31.922641
2015-08-18,32.50,32.950001,32.50,32.66,3193600,32.358579
2015-08-17,32.169998,32.599998,31.99,32.580002,2307000,32.279319
2015-08-14,31.82,32.48,31.799999,32.310001,2841700,32.01181
2015-08-13,31.34,32.099998,31.23,31.879999,3033500,31.585777
2015-08-12,30.85,31.42,30.389999,31.379999,4992300,31.090391
2015-08-11,31.58,31.58,30.709999,31.219999,2928100,30.931868
2015-08-10,31.280001,32.00,31.09,31.84,2701200,31.546147
2015-08-07,30.77,31.15,30.66,30.889999,2842300,30.604914
2015-08-06,31.059999,31.469999,30.290001,30.74,3787300,30.456298
2015-08-05,31.09,31.299999,30.90,31.01,2691500,30.723807
2015-08-04,30.309999,31.01,30.27,30.77,3749200,30.486022
2015-08-03,30.389999,30.469999,29.90,30.200001,2389500,29.921283
2015-07-31,29.92,30.17,29.58,30.129999,2666100,29.851927
2015-07-30,29.51,30.059999,29.51,29.75,3643000,29.475435
2015-07-29,30.389999,32.200001,29.309999,29.77,8178800,29.495251
2015-07-28,29.139999,29.639999,28.74,29.58,6817000,29.247558
2015-07-27,29.15,29.40,28.58,29.02,4560200,28.693852
2015-07-24,30.08,30.08,29.120001,29.27,2957400,28.941042
2015-07-23,30.17,30.32,29.92,30.00,2393300,29.662837
2015-07-22,30.120001,30.389999,30.00,30.139999,1738100,29.801263
2015-07-21,30.040001,30.23,29.860001,30.16,1995700,29.821039
2015-07-20,30.540001,30.60,29.959999,30.040001,2309700,29.702389
2015-07-17,30.379999,30.74,30.299999,30.50,3901500,30.157218
2015-07-16,30.09,30.459999,29.790001,30.389999,4491500,30.048454
2015-07-15,30.200001,30.280001,29.65,29.77,2777000,29.435423
2015-07-14,29.50,30.34,29.41,30.290001,3645100,29.949579
2015-07-13,29.16,29.450001,28.780001,29.41,3897200,29.079468
2015-07-10,29.299999,29.309999,28.82,28.99,2997400,28.664188
2015-07-09,29.68,29.799999,28.629999,28.91,5138100,28.585087
2015-07-08,29.700001,29.77,29.049999,29.209999,4088500,28.881715
2015-07-07,30.10,30.15,29.209999,30.01,3200500,29.672725
2015-07-06,30.01,30.440001,29.809999,30.040001,3009000,29.702389
2015-07-02,30.59,30.75,30.07,30.290001,1948400,29.949579
2015-07-01,30.26,30.549999,30.059999,30.450001,2702300,30.107781
2015-06-30,29.950001,30.32,29.780001,30.15,3709300,29.811151
2015-06-29,30.969999,31.00,29.43,29.639999,5633900,29.306883
2015-06-26,31.34,31.469999,31.18,31.40,8074600,31.047103
2015-06-25,31.440001,31.50,31.209999,31.23,1884500,30.879013
2015-06-24,31.469999,31.940001,31.139999,31.33,2458300,30.97789
2015-06-23,31.15,31.469999,31.139999,31.41,1851300,31.056991
2015-06-22,31.290001,31.389999,31.08,31.18,2109500,30.829576
2015-06-19,31.01,31.43,30.93,31.209999,2979300,30.859238
2015-06-18,31.17,31.34,30.889999,31.01,2927800,30.661486
2015-06-17,31.120001,31.370001,30.77,31.049999,1781100,30.701036
2015-06-16,31.00,31.09,30.709999,31.030001,1818700,30.681262
2015-06-15,31.290001,31.290001,30.58,31.01,3772000,30.661486
2015-06-12,31.24,31.639999,31.18,31.49,3080600,31.136091
2015-06-11,31.389999,31.75,31.299999,31.41,2859900,31.056991
2015-06-10,30.940001,31.90,30.90,31.389999,4043000,31.037215
2015-06-09,31.26,31.559999,30.940001,31.50,2998500,31.145979
2015-06-08,31.379999,31.60,31.01,31.040001,3365600,30.69115
2015-06-05,31.379999,31.49,31.01,31.32,5252500,30.968002
2015-06-04,32.040001,32.169998,31.26,31.389999,4738800,31.037215
2015-06-03,32.279999,32.509998,32.049999,32.09,2488800,31.729349
2015-06-02,32.369999,32.509998,32.029999,32.220001,2911300,31.857889
2015-06-01,31.99,32.740002,31.90,32.41,4989000,32.045752
2015-05-29,32.07,32.16,31.59,31.85,13800100,31.492046
2015-05-28,32.200001,32.509998,31.860001,32.029999,3035300,31.670022
2015-05-27,31.940001,32.349998,31.860001,32.240002,3933400,31.877664
2015-05-26,31.65,32.040001,31.40,31.99,3795500,31.630472
2015-05-22,31.90,32.150002,31.690001,31.74,3510000,31.383282
2015-05-21,31.27,31.98,31.24,31.889999,3938600,31.531596
