Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,67.459999,67.769997,66.860001,67.50,14952300,67.50
2016-08-30,66.949997,67.599998,66.949997,67.50,13791200,67.50
2016-08-29,66.489998,67.099998,66.459999,66.949997,14583100,66.949997
2016-08-26,66.330002,66.879997,65.849998,66.220001,14038600,66.220001
2016-08-25,65.910004,66.139999,65.790001,66.07,9978700,66.07
2016-08-24,65.989998,66.230003,65.769997,65.949997,10167200,65.949997
2016-08-23,66.07,66.339996,65.760002,65.769997,8949600,65.769997
2016-08-22,65.75,65.879997,65.410004,65.800003,9055600,65.800003
2016-08-19,65.720001,65.910004,65.220001,65.860001,9084900,65.860001
2016-08-18,65.620003,65.989998,65.529999,65.949997,9313600,65.949997
2016-08-17,65.800003,65.980003,65.540001,65.889999,11868100,65.889999
2016-08-16,65.360001,65.959999,65.239998,65.709999,10128900,65.709999
2016-08-15,65.559998,65.830002,65.459999,65.720001,8371600,65.720001
2016-08-12,64.970001,65.349998,64.860001,65.32,7685400,65.32
2016-08-11,65.269997,65.690002,65.019997,65.459999,9604500,65.459999
2016-08-10,65.919998,66.07,65.160004,65.279999,11556100,65.279999
2016-08-09,66.18,66.279999,65.690002,65.870003,10097000,65.870003
2016-08-08,66.07,66.489998,65.839996,66.099998,11359200,66.099998
2016-08-05,65.139999,66.370003,65.07,66.300003,20752700,66.300003
2016-08-04,64.489998,64.82,64.269997,64.559998,9873000,64.559998
2016-08-03,63.689999,64.669998,63.650002,64.660004,13122300,64.660004
2016-08-02,63.59,64.010002,63.380001,63.650002,13550000,63.650002
2016-08-01,64.150002,64.309998,63.610001,63.799999,11422600,63.799999
2016-07-29,63.799999,64.290001,63.75,63.970001,13210400,63.970001
2016-07-28,64.00,64.190002,63.720001,64.099998,10013400,64.099998
2016-07-27,64.080002,64.690002,64.059998,64.330002,11806800,64.330002
2016-07-26,63.98,64.260002,63.709999,64.129997,8067800,64.129997
2016-07-25,63.98,64.169998,63.68,63.869999,8168300,63.869999
2016-07-22,63.900002,64.089996,63.599998,64.040001,8195700,64.040001
2016-07-21,64.00,64.18,63.630001,63.689999,9808700,63.689999
2016-07-20,64.110001,64.230003,63.709999,63.93,10411100,63.93
2016-07-19,63.610001,64.099998,63.459999,63.860001,9737400,63.860001
2016-07-18,64.129997,64.400002,63.900002,63.959999,10824400,63.959999
2016-07-15,64.75,64.800003,63.610001,64.18,17607100,64.18
2016-07-14,64.739998,64.980003,64.050003,64.120003,28985900,64.120003
2016-07-13,63.080002,63.43,62.639999,63.16,18526900,63.16
2016-07-12,63.029999,63.560001,62.889999,63.200001,16588100,63.200001
2016-07-11,62.419998,62.950001,62.139999,62.27,13151400,62.27
2016-07-08,61.330002,62.169998,61.330002,61.830002,16998800,61.830002
2016-07-07,60.52,61.139999,60.16,60.580002,13771400,60.580002
2016-07-06,59.009998,60.290001,58.759998,60.189999,20429800,60.189999
2016-07-05,60.450001,60.599998,59.099998,59.549999,23357700,59.549999
2016-07-01,61.66,62.009998,61.16,61.259998,14217800,61.259998
2016-06-30,61.630001,62.189999,61.02,62.139999,21343600,61.660001
2016-06-29,60.360001,61.209999,60.00,61.200001,21483000,60.727264
2016-06-28,59.189999,59.549999,58.259998,59.52,29088700,59.06024
2016-06-27,58.709999,58.75,57.049999,57.610001,37300700,57.164994
2016-06-24,60.48,61.700001,59.34,59.599998,44108700,59.13962
2016-06-23,63.700001,64.150002,63.529999,64.050003,16583600,63.555251
2016-06-22,62.950001,63.709999,62.68,62.709999,12643500,62.225598
2016-06-21,62.73,63.00,62.139999,62.950001,11611600,62.463746
2016-06-20,63.450001,63.849998,62.34,62.369999,12213200,61.888224
2016-06-17,62.299999,62.709999,61.93,62.279999,15751500,61.798919
2016-06-16,61.450001,62.299999,60.900002,62.220001,16791200,61.739385
2016-06-15,62.41,62.98,61.91,61.970001,16982100,61.491316
2016-06-14,62.68,63.470001,61.68,62.080002,19509300,61.600467
2016-06-13,63.48,64.339996,63.259998,63.27,14382800,62.781274
2016-06-10,63.93,64.07,63.580002,63.84,16678400,63.34687
2016-06-09,64.790001,64.900002,64.269997,64.75,10817800,64.249841
2016-06-08,64.93,65.480003,64.919998,65.25,9428000,64.745979
2016-06-07,65.449997,65.739998,65.040001,65.059998,9924100,64.557444
2016-06-06,64.639999,65.760002,64.599998,65.279999,13193500,64.775746
2016-06-03,64.25,64.860001,63.549999,64.639999,20261700,64.14069
2016-06-02,65.519997,65.809998,65.160004,65.809998,10637600,65.301651
2016-06-01,64.760002,65.919998,64.260002,65.690002,14031000,65.182582
2016-05-31,65.730003,65.82,64.959999,65.269997,15139400,64.765821
2016-05-27,65.209999,65.459999,65.050003,65.43,10116000,64.924589
2016-05-26,65.57,65.580002,64.910004,65.029999,9428400,64.527677
2016-05-25,64.940002,66.199997,64.919998,65.519997,18935200,65.01389
2016-05-24,63.939999,64.769997,63.810001,64.540001,13839400,64.041464
2016-05-23,63.450001,63.869999,63.16,63.459999,9347500,62.969805
2016-05-20,63.860001,64.190002,63.369999,63.509998,11862000,63.019418
2016-05-19,63.529999,64.220001,62.900002,63.389999,16076200,62.900346
2016-05-18,61.700001,64.169998,61.689999,64.040001,24052300,63.545326
2016-05-17,61.43,62.16,61.150002,61.66,12180900,61.183709
2016-05-16,61.209999,61.990002,61.00,61.66,10951300,61.183709
2016-05-13,61.700001,62.400002,61.02,61.200001,15122300,60.727264
2016-05-12,62.27,62.560001,61.369999,61.77,11071700,61.29286
2016-05-11,61.970001,62.599998,61.810001,61.810001,11254000,61.332552
2016-05-10,61.549999,62.259998,61.349998,62.040001,11897200,61.560775
2016-05-09,61.369999,61.889999,61.049999,61.209999,11197100,60.737185
2016-05-06,60.700001,61.68,60.59,61.599998,11057900,61.124172
2016-05-05,61.599998,62.00,61.060001,61.240002,14033900,60.766955
2016-05-04,61.75,62.259998,61.27,61.57,17030200,61.094404
2016-05-03,62.900002,62.91,61.799999,62.560001,19120300,62.076759
2016-05-02,63.689999,64.00,63.139999,63.790001,10247300,63.297257
2016-04-29,63.09,63.610001,62.700001,63.200001,16376400,62.711815
2016-04-28,63.639999,64.419998,63.349998,63.599998,12852500,63.108723
2016-04-27,63.860001,64.639999,63.599998,64.110001,15284100,63.614785
2016-04-26,63.810001,64.07,63.330002,63.93,12048000,63.436175
2016-04-25,63.599998,63.950001,63.150002,63.599998,10687200,63.108723
2016-04-22,63.639999,64.379997,63.639999,63.970001,12444700,63.475867
2016-04-21,64.260002,64.660004,63.34,63.599998,15395800,63.108723
2016-04-20,63.48,64.309998,63.150002,64.239998,14594400,63.743778
2016-04-19,62.549999,63.48,62.549999,63.32,19255600,62.830887
2016-04-18,61.639999,62.580002,61.529999,62.27,13813100,61.788998
2016-04-15,62.880001,62.900002,61.450001,61.869999,19290700,61.392086
2016-04-14,61.689999,62.91,61.610001,62.59,24249900,62.106526
2016-04-13,60.48,62.16,60.380001,61.790001,37516800,61.312706
2016-04-12,58.34,59.389999,58.200001,59.279999,17779200,58.822093
2016-04-11,57.91,58.880001,57.91,58.200001,17627800,57.750437
2016-04-08,57.709999,58.580002,57.689999,57.740002,13547700,57.293991
2016-04-07,58.259998,58.43,57.07,57.32,19226800,56.877233
2016-04-06,58.18,58.880001,57.950001,58.810001,12167900,58.355726
2016-04-05,58.59,58.830002,58.209999,58.360001,12886600,57.909201
2016-04-04,59.439999,59.57,58.959999,59.200001,12305000,58.742712
2016-04-01,59.02,60.060001,58.560001,59.869999,15417500,58.970933
2016-03-31,59.450001,59.93,59.110001,59.220001,14904700,58.330696
2016-03-30,59.459999,60.23,59.380001,59.709999,13307100,58.813336
2016-03-29,59.330002,59.330002,58.529999,59.029999,15933400,58.143547
2016-03-28,59.529999,59.75,59.18,59.400002,11159700,58.507993
2016-03-24,59.299999,59.509998,58.869999,59.48,12921200,58.58679
2016-03-23,60.34,60.509998,59.860001,59.939999,11658700,59.039881
2016-03-22,59.990002,60.580002,59.619999,60.240002,12042700,59.335379
2016-03-21,60.220001,60.82,59.959999,60.459999,12684400,59.552073
2016-03-18,60.049999,60.970001,59.66,60.48,29570200,59.571773
2016-03-17,58.77,59.130001,57.990002,58.75,19405700,57.867753
2016-03-16,58.98,59.75,58.470001,58.919998,17423900,58.035198
2016-03-15,58.540001,59.209999,58.43,59.200001,10910500,58.310996
2016-03-14,59.150002,59.310001,58.599998,59.119999,13436100,58.232196
2016-03-11,59.389999,59.509998,58.650002,59.34,21055000,58.448893
2016-03-10,59.59,59.669998,57.810001,58.610001,21139200,57.729856
2016-03-09,59.150002,59.540001,58.68,59.119999,13238800,58.232196
2016-03-08,59.209999,59.50,58.68,58.779999,14132900,57.897301
2016-03-07,59.540001,60.049999,59.32,59.939999,12832400,59.039881
2016-03-04,60.099998,60.549999,59.529999,60.049999,18459000,59.14823
2016-03-03,59.580002,59.959999,59.099998,59.959999,15790600,59.059581
2016-03-02,59.200001,59.900002,58.959999,59.759998,20943100,58.862584
2016-03-01,56.759998,59.200001,56.669998,59.200001,23958100,58.310996
2016-02-29,57.41,57.610001,56.290001,56.299999,19554100,55.454544
2016-02-26,57.639999,58.110001,57.139999,57.540001,20947500,56.675924
2016-02-25,56.130001,57.029999,56.040001,57.009998,14473300,56.153881
2016-02-24,55.200001,56.209999,54.330002,56.139999,25560100,55.296947
2016-02-23,57.900002,58.09,55.959999,56.119999,31772500,55.277246
2016-02-22,58.509998,58.880001,58.419998,58.57,14882800,57.690456
2016-02-19,57.50,58.169998,57.080002,57.82,15658200,56.951718
2016-02-18,58.84,58.860001,57.25,57.810001,17037800,56.94187
2016-02-17,58.849998,59.25,58.389999,58.77,21580100,57.887453
2016-02-16,58.23,58.599998,57.639999,58.349998,23730700,57.473758
2016-02-12,55.650002,57.57,55.169998,57.490002,37011400,56.626676
2016-02-11,53.900002,53.91,52.50,53.07,44334700,52.273049
2016-02-10,56.57,57.41,55.470001,55.52,22389600,54.686258
2016-02-09,55.290001,56.689999,55.130001,56.200001,26300000,55.356047
2016-02-08,56.689999,56.919998,55.540001,56.540001,28267600,55.690941
2016-02-05,58.580002,59.139999,57.419998,57.75,22001300,56.88277
2016-02-04,57.060001,58.52,57.060001,58.400002,21651300,57.52301
2016-02-03,57.369999,57.799999,55.02,57.41,31543200,56.547875
2016-02-02,57.880001,57.98,56.75,57.029999,22448200,56.173581
2016-02-01,59.16,59.650002,58.439999,58.860001,16807900,57.976102
2016-01-29,57.830002,59.540001,57.509998,59.50,26992200,58.60649
2016-01-28,57.52,57.970001,56.630001,57.279999,15497900,56.419827
2016-01-27,57.080002,58.27,56.560001,57.040001,20560000,56.183433
2016-01-26,55.849998,57.150002,55.810001,57.080002,17535700,56.222833
2016-01-25,56.48,56.849998,55.599998,55.66,21114400,54.824155
2016-01-22,56.439999,57.16,56.299999,56.950001,22732200,56.094784
2016-01-21,55.740002,56.52,55.060001,55.25,31301100,54.420312
2016-01-20,55.630001,56.18,54.66,55.509998,34646100,54.676406
2016-01-19,57.73,57.970001,56.509998,57.009998,22818900,56.153881
2016-01-15,56.450001,57.57,56.220001,57.040001,38131700,56.183433
2016-01-14,58.16,59.380001,57.290001,58.200001,31296300,57.326013
2016-01-13,59.459999,59.68,56.91,57.34,28808100,56.478927
2016-01-12,59.450001,59.560001,58.099998,58.959999,22971600,58.074598
2016-01-11,58.830002,59.220001,58.040001,58.830002,20925500,57.946553
2016-01-08,61.130001,61.27,58.849998,58.919998,22373300,58.035198
2016-01-07,61.459999,62.00,60.080002,60.27,27630900,59.364927
2016-01-06,62.720001,63.130001,62.34,62.810001,22961500,61.866785
2016-01-05,63.700001,64.129997,63.040001,63.73,16566700,62.772968
2016-01-04,63.950001,64.059998,63.009998,63.619999,25393200,62.664619
2015-12-31,66.190002,66.779999,66.00,66.029999,14654300,64.605033
2015-12-30,67.040001,67.050003,66.449997,66.589996,7190700,65.152946
2015-12-29,66.839996,67.300003,66.739998,67.07,9820800,65.62259
2015-12-28,66.290001,66.449997,65.709999,66.379997,6610600,64.947479
2015-12-24,66.620003,66.889999,66.32,66.599998,4468200,65.162732
2015-12-23,66.120003,66.849998,66.050003,66.730003,12524500,65.289931
2015-12-22,65.919998,66.00,64.980003,65.68,12149500,64.262588
2015-12-21,65.019997,65.559998,64.830002,65.540001,18869300,64.12561
2015-12-18,65.970001,65.970001,64.400002,64.400002,23819600,63.010212
2015-12-17,67.900002,68.00,66.080002,66.279999,18122100,64.849638
2015-12-16,66.910004,67.739998,65.910004,67.529999,21720000,66.072662
2015-12-15,65.07,66.650002,65.07,66.099998,18068600,64.673522
