Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,47.259998,47.439999,46.860001,47.299999,1897200,47.299999
2016-08-30,46.880001,47.330002,46.669998,47.330002,1456500,47.330002
2016-08-29,46.41,47.09,46.209999,46.82,1300900,46.82
2016-08-26,47.32,47.330002,46.060001,46.32,2331000,46.32
2016-08-25,47.189999,47.669998,46.919998,47.189999,1424800,47.189999
2016-08-24,47.830002,47.939999,47.139999,47.349998,1304700,47.349998
2016-08-23,46.959999,48.439999,46.59,47.939999,3155100,47.939999
2016-08-22,46.50,46.689999,46.209999,46.560001,1149800,46.560001
2016-08-19,46.650002,46.799999,46.41,46.50,1706600,46.50
2016-08-18,46.75,46.98,46.419998,46.880001,1035000,46.880001
2016-08-17,47.049999,47.18,46.34,46.77,1044000,46.77
2016-08-16,47.139999,47.299999,46.779999,47.119999,1097500,47.119999
2016-08-15,46.889999,47.77,46.889999,47.299999,1791700,47.299999
2016-08-12,47.130001,47.27,46.52,46.75,1489800,46.75
2016-08-11,46.970001,47.360001,46.799999,47.16,1181700,47.16
2016-08-10,46.900002,46.98,46.41,46.799999,1764200,46.799999
2016-08-09,46.509998,46.869999,46.439999,46.830002,1520200,46.830002
2016-08-08,46.970001,47.099998,46.529999,46.619999,2319800,46.619999
2016-08-05,46.130001,46.91,46.130001,46.799999,2484600,46.799999
2016-08-04,45.77,46.049999,45.259998,45.810001,2778100,45.810001
2016-08-03,45.400002,46.09,45.23,45.740002,2836100,45.740002
2016-08-02,46.59,46.799999,45.400002,45.529999,2480300,45.529999
2016-08-01,46.709999,47.07,46.48,46.75,1788400,46.75
2016-07-29,48.16,48.169998,46.619999,46.799999,3540300,46.799999
2016-07-28,48.73,48.790001,48.279999,48.279999,1888300,48.279999
2016-07-27,49.25,49.599998,48.41,48.610001,1553700,48.610001
2016-07-26,49.009998,49.119999,48.330002,49.099998,2767400,49.099998
2016-07-25,48.700001,49.240002,48.650002,49.150002,2291700,49.150002
2016-07-22,48.889999,49.099998,48.080002,48.689999,1427100,48.689999
2016-07-21,49.049999,49.049999,48.540001,48.849998,1862400,48.849998
2016-07-20,48.650002,49.110001,48.580002,48.950001,1598800,48.950001
2016-07-19,48.959999,49.209999,48.59,48.650002,998500,48.650002
2016-07-18,48.75,48.970001,48.360001,48.889999,1457800,48.889999
2016-07-15,48.849998,48.860001,48.290001,48.650002,1238100,48.650002
2016-07-14,49.18,49.18,48.599998,48.77,1521800,48.77
2016-07-13,49.00,49.259998,48.50,48.709999,1098200,48.709999
2016-07-12,49.16,49.259998,48.73,48.779999,1695600,48.779999
2016-07-11,49.189999,49.48,48.709999,48.75,2933500,48.75
2016-07-08,47.93,49.299999,47.84,49.16,4492300,49.16
2016-07-07,47.07,47.759998,47.07,47.490002,2565700,47.490002
2016-07-06,46.060001,47.040001,45.950001,47.02,3356600,47.02
2016-07-05,46.43,46.50,45.389999,46.34,2493800,46.30
2016-07-01,46.00,47.110001,46.00,46.419998,2193100,46.379929
2016-06-30,45.880001,46.279999,45.27,46.099998,2313100,46.060205
2016-06-29,45.630001,46.049999,45.169998,45.82,2238900,45.780448
2016-06-28,44.349998,45.119999,44.18,45.029999,2334100,44.991129
2016-06-27,44.700001,44.700001,43.110001,43.740002,2845300,43.702246
2016-06-24,44.880001,45.599998,44.549999,44.73,4013200,44.691389
2016-06-23,46.549999,46.66,46.169998,46.580002,1514200,46.539794
2016-06-22,46.139999,46.900002,45.599998,45.970001,2725600,45.93032
2016-06-21,48.029999,48.18,45.57,46.139999,6078500,46.100172
2016-06-20,46.830002,47.32,46.650002,46.66,2653800,46.619723
2016-06-17,45.689999,46.290001,45.450001,46.200001,3423700,46.160121
2016-06-16,45.490002,45.759998,45.009998,45.639999,2407000,45.600603
2016-06-15,45.709999,46.439999,45.43,45.810001,2084900,45.770458
2016-06-14,46.00,46.279999,45.139999,45.580002,2992800,45.540657
2016-06-13,46.639999,46.970001,46.049999,46.080002,1964900,46.040226
2016-06-10,47.23,47.290001,46.77,46.919998,3630200,46.879497
2016-06-09,47.419998,47.919998,47.41,47.66,1319000,47.61886
