Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,30.299999,30.389999,29.549999,30.07,8702700,29.789591
2016-08-30,27.950001,30.959999,27.690001,30.450001,21094800,30.166048
2016-08-29,27.67,28.16,27.67,27.950001,3132000,27.689361
2016-08-26,28.67,28.90,27.469999,27.60,5416500,27.342625
2016-08-25,28.50,28.799999,28.33,28.50,2979000,28.234232
2016-08-24,29.219999,29.379999,28.389999,28.440001,4235600,28.174792
2016-08-23,28.719999,29.469999,28.639999,29.27,5265900,28.997052
2016-08-22,27.870001,28.43,27.719999,28.389999,3536500,28.125257
2016-08-19,27.65,28.15,27.440001,28.07,3010000,27.808241
2016-08-18,27.860001,28.030001,27.620001,27.959999,4276700,27.699266
2016-08-17,27.799999,27.969999,27.370001,27.799999,4616900,27.540759
2016-08-16,28.50,28.700001,27.85,28.07,4670000,27.808241
2016-08-15,27.26,28.50,27.190001,28.43,4628700,28.164885
2016-08-12,28.110001,28.50,27.129999,27.18,5417400,26.926541
2016-08-11,27.940001,28.18,27.299999,28.110001,4386000,27.847869
2016-08-10,28.309999,28.700001,27.790001,27.879999,5130600,27.620012
2016-08-09,28.389999,28.66,28.120001,28.209999,4342300,27.946935
2016-08-08,27.469999,28.40,27.469999,28.32,4755700,28.05591
2016-08-05,26.65,27.690001,26.51,27.27,6205800,27.015702
2016-08-04,27.110001,27.110001,25.98,26.440001,6586900,26.193442
2016-08-03,27.110001,27.75,26.85,27.299999,6253300,27.045421
2016-08-02,26.42,28.059999,26.42,27.26,8097800,27.005795
2016-08-01,27.02,27.129999,26.41,26.629999,6613100,26.381669
2016-07-29,27.530001,27.540001,26.629999,27.00,9051400,26.748219
2016-07-28,28.32,28.370001,27.43,27.65,5901100,27.392158
2016-07-27,29.43,29.690001,28.58,28.879999,3798800,28.610687
2016-07-26,28.629999,29.459999,28.50,29.34,3773700,29.066399
2016-07-25,28.24,28.65,27.98,28.629999,4375000,28.363019
2016-07-22,28.74,28.969999,28.24,28.280001,3892600,28.016284
2016-07-21,29.02,29.41,28.66,28.889999,4071100,28.620594
2016-07-20,28.58,29.58,28.299999,29.01,5825800,28.739476
2016-07-19,28.799999,29.24,28.290001,28.68,6292700,28.412553
2016-07-18,28.620001,29.370001,28.26,29.280001,5520600,29.006959
2016-07-15,28.299999,28.709999,27.950001,28.690001,4862000,28.42246
2016-07-14,27.620001,28.67,27.360001,28.18,6964800,27.917216
2016-07-13,26.15,27.42,25.940001,27.41,7547700,27.154396
2016-07-12,25.74,26.83,25.74,26.48,6540500,26.233068
2016-07-11,25.700001,26.200001,25.59,25.690001,3561400,25.450436
2016-07-08,25.389999,25.60,24.99,25.48,4398700,25.242393
2016-07-07,25.43,25.709999,24.84,24.99,4477100,24.756963
2016-07-06,25.440001,25.48,24.450001,25.23,4557800,24.994725
2016-07-05,26.24,26.559999,25.24,25.469999,3895700,25.232486
2016-07-01,26.030001,26.870001,26.02,26.57,3845900,26.322229
2016-06-30,25.709999,26.790001,25.209999,26.18,7548800,25.935866
2016-06-29,25.58,25.73,25.040001,25.620001,4469700,25.381089
2016-06-28,25.27,25.58,24.84,25.26,4953400,25.024446
2016-06-27,26.43,26.50,24.530001,24.690001,7350400,24.459761
2016-06-24,26.93,27.83,26.639999,26.91,8695100,26.659059
2016-06-23,27.57,28.700001,27.549999,28.00,9273100,27.738894
2016-06-22,27.190001,27.65,26.690001,26.74,4821100,26.490644
2016-06-21,26.860001,27.15,26.08,26.969999,6251200,26.718499
2016-06-20,27.07,27.73,26.85,26.879999,5225600,26.629338
2016-06-17,25.93,26.870001,25.93,26.74,6420700,26.490644
2016-06-16,26.07,26.110001,25.440001,25.90,4591500,25.658477
2016-06-15,26.40,27.040001,26.24,26.299999,3910300,26.054746
2016-06-14,26.85,27.469999,25.950001,26.290001,5589000,26.044841
2016-06-13,27.219999,28.08,26.889999,26.91,4073000,26.659059
2016-06-10,27.209999,27.459999,26.620001,26.969999,5135600,26.718499
2016-06-09,28.049999,28.129999,27.110001,27.530001,5002900,27.273278
2016-06-08,29.299999,29.459999,27.629999,28.02,6700200,27.758708
2016-06-07,28.52,29.389999,28.469999,29.030001,6579700,28.75929
2016-06-06,26.85,28.49,26.75,28.360001,7450700,28.095538
2016-06-03,25.280001,26.73,25.25,26.700001,6587600,26.451018
2016-06-02,25.290001,26.00,25.120001,25.65,7305900,25.410808
2016-06-01,25.00,25.309999,24.42,25.23,7758900,24.994725
2016-05-31,25.469999,25.469999,24.75,25.23,7570700,24.994725
2016-05-27,26.17,26.27,25.610001,25.690001,3800000,25.178
2016-05-26,26.68,26.809999,26.00,26.129999,5229100,25.60923
2016-05-25,26.139999,26.629999,26.030001,26.49,5039200,25.962056
2016-05-24,26.51,26.59,25.84,25.959999,4216500,25.442618
2016-05-23,25.799999,26.719999,25.65,26.309999,4993100,25.785643
2016-05-20,25.780001,26.360001,25.700001,25.940001,4125100,25.423018
2016-05-19,25.219999,25.82,25.049999,25.67,4506600,25.158398
2016-05-18,25.950001,26.549999,25.10,25.23,4776900,24.727167
2016-05-17,25.780001,26.59,25.67,26.200001,5543600,25.677836
2016-05-16,25.030001,25.889999,25.01,25.799999,4577500,25.285807
2016-05-13,25.309999,25.60,24.75,24.84,4880000,24.34494
2016-05-12,26.68,26.90,25.379999,25.440001,5245500,24.932983
2016-05-11,26.049999,26.67,25.67,26.07,6846100,25.550426
2016-05-10,25.030001,26.18,24.809999,26.059999,5092300,25.540625
2016-05-09,25.74,25.74,24.91,24.93,5396600,24.433147
2016-05-06,25.92,26.450001,25.84,25.99,3612900,25.47202
2016-05-05,27.280001,27.33,25.959999,26.08,6181000,25.560227
2016-05-04,27.07,27.889999,26.040001,27.110001,7040800,26.5697
2016-05-03,28.190001,28.389999,27.41,27.51,4966100,26.961727
2016-05-02,28.27,28.59,27.43,28.52,5288000,27.951598
2016-04-29,28.42,28.74,27.700001,27.99,7335500,27.432161
2016-04-28,27.98,29.26,27.52,28.57,7435600,28.000601
2016-04-27,28.58,28.83,28.24,28.540001,5928000,27.9712
2016-04-26,28.34,28.690001,27.719999,28.549999,3989600,27.980999
2016-04-25,28.280001,29.16,28.09,28.280001,4030800,27.716382
2016-04-22,28.799999,29.17,28.379999,28.549999,3495000,27.980999
2016-04-21,28.84,29.66,28.59,28.709999,5772600,28.13781
2016-04-20,28.50,28.93,28.059999,28.52,6413600,27.951598
2016-04-19,26.440001,28.25,26.379999,28.219999,7156900,27.657576
2016-04-18,25.959999,26.719999,25.799999,26.50,4539900,25.971856
2016-04-15,25.42,26.24,25.110001,26.110001,4706300,25.58963
2016-04-14,26.02,26.110001,25.18,25.469999,6128300,24.962384
2016-04-13,25.889999,26.559999,25.68,26.52,5014300,25.991458
2016-04-12,24.98,25.639999,24.57,25.530001,6008800,25.021189
2016-04-11,24.959999,25.15,24.65,24.870001,4243800,24.374343
2016-04-08,25.110001,25.67,24.870001,24.959999,3948000,24.462548
2016-04-07,25.190001,25.40,24.52,24.75,4492300,24.256734
2016-04-06,25.41,25.50,24.52,25.40,4730500,24.893779
2016-04-05,25.60,25.799999,25.17,25.370001,3911900,24.864378
2016-04-04,26.379999,26.65,25.65,25.809999,4496300,25.295608
2016-04-01,26.889999,27.030001,25.790001,26.84,7022100,26.30508
2016-03-31,28.16,28.309999,26.879999,27.00,6785800,26.461891
2016-03-30,27.85,28.41,27.690001,28.120001,3778600,27.559571
2016-03-29,27.639999,28.059999,26.950001,27.969999,4093100,27.412559
2016-03-28,27.51,28.059999,26.82,27.959999,4624300,27.402758
2016-03-24,27.75,27.75,26.860001,27.26,6437100,26.71671
2016-03-23,28.700001,28.83,27.889999,28.02,5694500,27.461563
2016-03-22,29.51,29.700001,28.92,29.15,3961500,28.569042
2016-03-21,29.58,30.209999,29.51,29.719999,3606400,29.127681
2016-03-18,30.07,30.299999,29.34,29.719999,15178000,29.127681
2016-03-17,29.51,30.25,29.290001,29.870001,5492000,29.274693
2016-03-16,28.08,29.23,28.040001,29.10,4646600,28.520039
2016-03-15,29.030001,29.190001,28.27,28.540001,4412500,27.9712
2016-03-14,28.60,29.91,28.32,29.459999,5219000,28.872863
2016-03-11,29.50,29.799999,28.50,28.700001,7705400,28.128011
2016-03-10,30.190001,30.35,28.92,29.459999,6894500,28.872863
2016-03-09,29.35,30.16,29.040001,30.129999,5591500,29.52951
2016-03-08,30.02,30.370001,29.10,29.129999,5955500,28.54944
2016-03-07,29.59,31.10,29.59,30.370001,9752200,29.764728
