Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,9.87,10.20,9.86,9.94,7096200,9.94
2016-08-30,10.11,10.24,9.84,9.98,7538100,9.98
2016-08-29,9.79,10.00,9.72,9.94,3437300,9.94
2016-08-26,10.10,10.21,9.82,9.86,5577900,9.86
2016-08-25,9.94,10.12,9.82,10.05,6061200,10.05
2016-08-24,10.14,10.28,9.92,9.92,7729900,9.92
2016-08-23,9.92,10.27,9.87,10.26,7580400,10.26
2016-08-22,9.96,10.05,9.73,9.93,5177300,9.93
2016-08-19,10.24,10.27,9.93,10.15,5655300,10.15
2016-08-18,10.01,10.43,10.00,10.31,4406600,10.31
2016-08-17,10.22,10.33,9.79,9.88,9509100,9.88
2016-08-16,10.11,10.44,9.99,10.31,6748900,10.31
2016-08-15,9.71,10.28,9.65,10.07,8982600,10.07
2016-08-12,9.73,9.84,9.46,9.57,7849700,9.57
2016-08-11,9.56,9.73,9.43,9.65,8103000,9.65
2016-08-10,9.81,9.91,9.50,9.53,7502900,9.53
2016-08-09,9.74,9.89,9.62,9.78,6207200,9.78
2016-08-08,9.41,9.91,9.41,9.68,7575900,9.68
2016-08-05,9.22,9.36,9.15,9.26,7341700,9.26
2016-08-04,9.04,9.42,9.04,9.18,6826200,9.18
2016-08-03,8.69,9.08,8.48,9.07,11386100,9.07
2016-08-02,8.75,8.84,8.46,8.69,6378300,8.69
2016-08-01,8.85,8.86,8.50,8.61,6851800,8.61
2016-07-29,8.90,9.08,8.74,9.00,8978900,9.00
2016-07-28,9.12,9.34,8.89,8.97,5382600,8.97
2016-07-27,9.54,9.75,9.02,9.12,5735300,9.12
2016-07-26,9.16,9.49,9.14,9.44,4177300,9.44
2016-07-25,9.22,9.29,9.14,9.23,4302800,9.23
2016-07-22,9.29,9.34,9.06,9.33,5415200,9.33
2016-07-21,9.40,9.67,9.22,9.25,5110600,9.25
2016-07-20,9.41,9.63,9.19,9.44,8047000,9.44
2016-07-19,9.75,9.85,9.43,9.53,6947100,9.53
2016-07-18,9.63,9.89,9.53,9.83,5783200,9.83
2016-07-15,9.74,9.89,9.67,9.71,4483900,9.71
2016-07-14,9.89,10.01,9.64,9.66,5429500,9.66
2016-07-13,10.17,10.30,9.70,9.73,7291900,9.73
2016-07-12,9.78,10.36,9.71,10.19,10835300,10.19
2016-07-11,9.94,10.06,9.37,9.38,9010600,9.38
2016-07-08,9.74,9.95,9.57,9.82,6336400,9.82
2016-07-07,9.78,10.05,9.40,9.50,8331300,9.50
2016-07-06,9.72,9.89,9.54,9.70,10674800,9.70
2016-07-05,10.30,10.34,9.52,9.85,6938100,9.85
2016-07-01,10.02,10.63,10.02,10.58,5134500,10.58
2016-06-30,9.69,10.07,9.58,10.05,6094700,10.05
2016-06-29,9.74,9.86,9.58,9.73,9115600,9.73
2016-06-28,9.58,9.73,9.35,9.53,9136800,9.53
2016-06-27,9.82,9.84,9.21,9.25,8617900,9.25
2016-06-24,10.14,10.46,10.06,10.06,11089100,10.06
2016-06-23,10.77,10.86,10.67,10.79,5449300,10.79
2016-06-22,10.72,10.84,10.48,10.53,5661100,10.53
2016-06-21,10.33,10.71,10.22,10.58,7606300,10.58
2016-06-20,10.74,10.85,10.34,10.36,6667800,10.36
2016-06-17,10.28,10.58,10.22,10.42,8950600,10.42
2016-06-16,10.13,10.13,9.78,10.09,6677500,10.09
2016-06-15,10.25,10.52,10.16,10.29,7136600,10.29
2016-06-14,10.20,10.52,10.10,10.37,5413800,10.37
2016-06-13,10.20,10.61,10.09,10.30,6177200,10.30
2016-06-10,10.40,10.70,10.28,10.37,5941100,10.37
2016-06-09,10.54,10.90,10.32,10.74,6578200,10.74
2016-06-08,11.00,11.21,10.56,10.77,8837200,10.77
2016-06-07,10.39,10.99,10.27,10.85,11597200,10.790001
2016-06-06,9.27,10.31,9.27,10.27,9822400,10.213208
2016-06-03,8.94,9.25,8.86,9.12,4689700,9.069567
2016-06-02,8.87,8.98,8.70,8.93,7495200,8.880618
2016-06-01,9.06,9.15,8.69,9.05,12688100,8.999954
2016-05-31,9.14,9.57,9.10,9.40,9190800,9.348018
2016-05-27,8.88,9.07,8.77,9.07,7746200,9.019843
2016-05-26,8.94,9.25,8.88,8.94,10160000,8.890562
2016-05-25,8.34,8.82,8.30,8.78,7810700,8.731447
2016-05-24,8.16,8.32,8.02,8.21,6968200,8.164599
2016-05-23,7.97,8.16,7.84,8.03,5051800,7.985594
2016-05-20,7.95,8.27,7.94,8.10,5744700,8.055208
2016-05-19,7.95,8.03,7.61,7.93,10101700,7.886147
2016-05-18,8.45,8.60,7.98,8.03,7547000,7.985594
2016-05-17,8.30,8.71,8.29,8.52,8469900,8.472885
2016-05-16,8.35,8.61,8.29,8.30,5488800,8.254102
2016-05-13,8.19,8.40,7.92,8.11,8157300,8.065152
2016-05-12,8.41,8.57,8.05,8.30,7009600,8.254102
2016-05-11,8.27,8.47,7.95,8.25,10303700,8.204378
2016-05-10,8.10,8.46,8.03,8.38,8109200,8.333659
2016-05-09,8.25,8.25,7.83,8.00,5112400,7.95576
2016-05-06,8.14,8.60,8.03,8.35,6825500,8.303825
2016-05-05,8.70,8.78,8.07,8.15,8820600,8.104931
2016-05-04,9.02,9.27,8.39,8.40,9824400,8.353548
2016-05-03,9.17,9.17,8.62,9.00,8116500,8.950231
2016-05-02,9.76,9.91,9.12,9.28,10342700,9.228682
2016-04-29,10.09,10.59,9.60,9.80,11102900,9.745807
2016-04-28,9.77,10.37,9.67,10.00,9414200,9.944701
2016-04-27,9.86,10.29,9.66,9.83,19192800,9.775641
2016-04-26,10.00,10.10,8.92,9.35,26014200,9.298295
2016-04-25,10.82,10.85,10.23,10.37,8122900,10.312654
2016-04-22,10.51,11.05,10.50,10.84,7842900,10.780056
2016-04-21,10.47,10.62,10.20,10.45,5159800,10.392212
2016-04-20,10.27,10.55,10.12,10.42,7694600,10.362378
2016-04-19,10.11,10.52,10.01,10.38,7198000,10.322599
2016-04-18,9.30,10.16,9.25,10.00,8713900,9.944701
2016-04-15,9.85,9.86,9.43,9.78,7929500,9.725917
2016-04-14,10.25,10.33,9.80,10.02,7560400,9.96459
2016-04-13,10.14,10.44,9.93,10.20,10851500,10.143594
2016-04-12,9.67,10.26,9.61,10.04,8337800,9.984479
2016-04-11,9.52,9.76,9.45,9.59,5119200,9.536968
2016-04-08,9.24,9.59,9.21,9.39,6246100,9.338074
2016-04-07,9.12,9.46,8.80,8.92,6818000,8.870673
2016-04-06,8.90,9.21,8.57,9.21,7200700,9.159069
2016-04-05,8.61,8.94,8.50,8.73,13001500,8.681723
2016-04-04,8.86,9.15,8.52,8.75,7611000,8.701613
2016-04-01,8.96,9.16,8.75,8.92,7935800,8.870673
2016-03-31,9.07,9.34,8.94,9.20,9181800,9.149124
2016-03-30,9.07,9.26,8.82,9.09,6855300,9.039733
2016-03-29,8.44,9.02,8.36,8.93,6792200,8.880618
2016-03-28,8.74,8.79,8.40,8.68,5127800,8.632
2016-03-24,8.19,8.70,8.02,8.69,6787600,8.641944
2016-03-23,8.80,9.00,8.37,8.47,6976600,8.423162
2016-03-22,9.26,9.30,8.87,8.95,7235500,8.900507
2016-03-21,9.07,9.45,8.87,9.41,6308600,9.357963
2016-03-18,9.58,9.84,9.01,9.14,16226400,9.089457
2016-03-17,9.11,9.64,8.92,9.49,12237000,9.437521
2016-03-16,8.99,9.14,8.63,8.90,7580900,8.850783
2016-03-15,8.79,8.87,8.43,8.79,7101300,8.741392
2016-03-14,8.86,9.04,8.61,9.01,10567300,8.960175
2016-03-11,8.80,9.41,8.71,9.20,12204000,9.149124
2016-03-10,8.19,8.59,7.96,8.44,9133800,8.393327
2016-03-09,8.38,8.53,7.75,8.24,9854100,8.194433
2016-03-08,8.39,8.45,7.58,8.04,12101300,7.995539
2016-03-07,8.29,9.01,8.12,8.60,16248200,8.492775
2016-03-04,8.66,9.07,8.20,8.29,16782100,8.186639
2016-03-03,7.44,8.90,7.36,8.36,15774900,8.255766
2016-03-02,6.81,7.47,6.70,7.47,15053900,7.376863
2016-03-01,7.40,7.59,6.78,6.87,18451600,6.784344
2016-02-29,7.36,7.52,7.10,7.16,9832600,7.070728
2016-02-26,7.09,7.47,6.96,7.30,7511500,7.208983
2016-02-25,6.82,6.91,6.22,6.90,8397100,6.81397
2016-02-24,6.60,6.96,6.44,6.93,5483600,6.843596
2016-02-23,7.15,7.66,6.78,6.88,8780300,6.79422
2016-02-22,6.88,7.45,6.88,7.31,6579300,7.218858
2016-02-19,6.75,6.89,6.46,6.88,8910300,6.79422
2016-02-18,7.30,7.35,6.76,6.98,9647200,6.892973
2016-02-17,6.62,7.49,6.62,7.16,16739400,7.070728
2016-02-16,6.14,6.47,6.03,6.30,12326200,6.221451
2016-02-12,5.88,6.23,5.79,5.97,7461200,5.895565
