Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,8.49,8.58,8.39,8.51,906100,8.51
2016-08-30,8.45,8.60,8.40,8.49,802200,8.49
2016-08-29,8.29,8.50,8.29,8.48,866200,8.48
2016-08-26,8.38,8.59,8.18,8.30,1038000,8.30
2016-08-25,8.30,8.42,8.26,8.40,887400,8.40
2016-08-24,8.31,8.32,8.20,8.29,814000,8.29
2016-08-23,8.34,8.46,8.22,8.30,1046800,8.30
2016-08-22,8.21,8.35,8.13,8.28,1053400,8.28
2016-08-19,8.35,8.42,8.19,8.25,978800,8.25
2016-08-18,8.37,8.54,8.33,8.36,778200,8.36
2016-08-17,8.49,8.53,8.32,8.40,962200,8.40
2016-08-16,8.70,8.74,8.46,8.53,1143400,8.53
2016-08-15,8.85,8.88,8.65,8.69,1624600,8.69
2016-08-12,9.05,9.10,8.74,8.87,1169300,8.87
2016-08-11,9.08,9.13,9.00,9.04,887100,9.04
2016-08-10,9.10,9.21,9.06,9.06,840300,9.06
2016-08-09,8.93,9.14,8.86,9.09,1320300,9.09
2016-08-08,8.98,9.03,8.87,8.93,1272000,8.93
2016-08-05,8.88,9.19,8.85,9.02,2147300,9.02
2016-08-04,9.05,9.19,8.80,8.98,1733500,8.98
2016-08-03,9.02,9.06,8.87,8.99,1152300,8.99
2016-08-02,9.22,9.35,8.91,9.03,1302000,9.03
2016-08-01,9.31,9.38,9.17,9.27,924100,9.27
2016-07-29,9.07,9.44,9.05,9.31,1272000,9.31
2016-07-28,9.26,9.37,9.08,9.09,991100,9.09
2016-07-27,9.29,9.39,9.20,9.26,770900,9.26
2016-07-26,9.20,9.39,9.19,9.29,748700,9.29
2016-07-25,9.45,9.51,9.20,9.23,651800,9.23
2016-07-22,9.16,9.56,9.14,9.45,1271000,9.45
2016-07-21,9.32,9.43,9.10,9.22,1415500,9.22
2016-07-20,9.40,9.40,9.13,9.31,581000,9.31
2016-07-19,9.44,9.58,9.29,9.31,1195500,9.31
2016-07-18,9.46,9.49,9.35,9.43,653700,9.43
2016-07-15,9.54,9.62,9.41,9.50,885200,9.50
2016-07-14,9.57,9.67,9.44,9.46,797200,9.46
2016-07-13,9.57,9.74,9.45,9.57,1113500,9.57
2016-07-12,9.57,9.73,9.49,9.55,1451000,9.55
2016-07-11,9.38,9.52,9.26,9.50,1175700,9.50
2016-07-08,9.21,9.60,9.18,9.45,1788400,9.45
2016-07-07,9.24,9.25,9.06,9.16,1065200,9.16
2016-07-06,9.21,9.30,9.04,9.27,837400,9.27
2016-07-05,9.12,9.33,9.10,9.21,814200,9.21
2016-07-01,9.24,9.26,9.00,9.23,1079800,9.23
2016-06-30,9.26,9.30,8.97,9.27,1349100,9.27
2016-06-29,9.01,9.42,9.00,9.30,1646300,9.30
2016-06-28,8.45,9.03,8.36,8.93,1577400,8.93
2016-06-27,8.89,8.95,8.40,8.44,1925600,8.29
2016-06-24,9.15,9.24,8.76,8.96,5173000,8.800758
2016-06-23,9.13,9.35,9.11,9.33,1913100,9.164183
2016-06-22,9.35,9.50,9.05,9.07,1725800,8.908803
2016-06-21,9.10,9.38,9.01,9.35,2172400,9.183828
2016-06-20,9.14,9.21,9.05,9.15,1805700,8.987381
2016-06-17,9.13,9.19,8.89,9.08,3485100,8.918626
2016-06-16,8.39,9.11,8.39,9.10,2481800,8.938271
2016-06-15,8.63,9.13,8.51,8.95,2168600,8.790936
2016-06-14,8.51,8.69,8.47,8.60,1329300,8.447157
2016-06-13,8.51,8.63,8.49,8.50,1436200,8.348934
2016-06-10,8.62,8.68,8.45,8.54,1133000,8.388223
2016-06-09,8.62,8.78,8.56,8.70,823800,8.545379
2016-06-08,8.69,8.77,8.58,8.64,1225200,8.486446
2016-06-07,8.46,8.69,8.42,8.67,1077600,8.515913
2016-06-06,8.65,8.72,8.39,8.50,1315500,8.348934
2016-06-03,8.41,8.66,8.38,8.64,1616300,8.486446
2016-06-02,8.21,8.46,8.18,8.44,1375900,8.29
2016-06-01,8.38,8.44,8.07,8.25,2714900,8.103377
2016-05-31,8.40,8.55,8.27,8.39,2817000,8.240889
2016-05-27,8.13,8.41,8.12,8.41,1609100,8.260533
2016-05-26,7.89,8.19,7.83,8.13,1330700,7.98551
2016-05-25,7.72,8.08,7.69,7.86,1366000,7.720308
2016-05-24,7.89,7.95,7.66,7.72,1613000,7.582796
2016-05-23,7.62,8.00,7.62,7.91,1506600,7.769419
2016-05-20,7.47,8.06,7.46,7.99,2928100,7.847998
2016-05-19,7.68,7.68,7.36,7.43,1489400,7.29795
2016-05-18,7.88,7.90,7.48,7.56,1580800,7.42564
2016-05-17,8.39,8.49,7.83,7.86,2555100,7.720308
2016-05-16,8.50,8.72,8.31,8.41,2126500,8.260533
2016-05-13,8.78,8.86,8.54,8.55,1415700,8.398045
2016-05-12,8.99,9.02,8.75,8.78,1571400,8.623957
2016-05-11,8.94,9.05,8.91,8.93,2044200,8.771292
2016-05-10,8.84,9.06,8.84,8.97,1613100,8.810581
2016-05-09,9.06,9.08,8.80,8.86,2413600,8.702535
2016-05-06,8.93,9.15,8.57,9.10,2678000,8.938271
2016-05-05,8.52,9.15,8.49,9.05,4182200,8.889159
2016-05-04,8.66,9.47,8.56,9.31,4388600,9.144538
2016-05-03,8.69,8.77,8.45,8.69,3169300,8.535557
2016-05-02,8.70,8.79,8.37,8.73,2699800,8.574846
2016-04-29,8.72,8.88,8.54,8.68,1239800,8.525735
2016-04-28,8.93,8.98,8.72,8.78,1497500,8.623957
2016-04-27,8.69,8.95,8.60,8.94,1006700,8.781113
2016-04-26,8.71,8.81,8.63,8.72,925100,8.565024
2016-04-25,8.73,8.85,8.57,8.66,1205100,8.50609
2016-04-22,8.48,8.74,8.46,8.73,1258200,8.574846
2016-04-21,8.60,8.69,8.42,8.55,1440400,8.398045
2016-04-20,8.76,8.81,8.44,8.63,1785500,8.476623
2016-04-19,8.76,8.93,8.62,8.81,2128900,8.653425
2016-04-18,8.51,8.76,8.29,8.69,2157700,8.535557
2016-04-15,8.40,8.62,8.25,8.58,2295800,8.427512
2016-04-14,8.19,8.53,8.11,8.42,2353400,8.270356
2016-04-13,8.07,8.20,7.88,8.19,1319300,8.044443
2016-04-12,7.75,8.17,7.75,8.07,2344300,7.926576
2016-04-11,7.78,8.14,7.77,7.77,1898300,7.631908
2016-04-08,7.88,7.97,7.79,7.87,1243900,7.73013
2016-04-07,7.77,7.91,7.75,7.84,1025700,7.700664
2016-04-06,7.69,7.85,7.58,7.84,1507000,7.700664
2016-04-05,7.65,7.78,7.51,7.67,1621100,7.533685
2016-04-04,7.70,7.85,7.45,7.72,1817900,7.582796
2016-04-01,7.53,7.64,7.18,7.58,2063900,7.445284
2016-03-31,7.51,7.68,7.29,7.68,2635800,7.543507
2016-03-30,7.59,7.74,7.45,7.56,1409600,7.42564
2016-03-29,7.13,7.65,7.04,7.63,1861500,7.494396
2016-03-28,7.55,7.58,7.18,7.25,2275300,6.973815
2016-03-24,7.25,7.50,7.13,7.50,2163600,7.214292
2016-03-23,7.49,7.53,7.27,7.30,1321100,7.021911
2016-03-22,7.47,7.56,7.32,7.53,1306500,7.243149
2016-03-21,7.67,7.69,7.32,7.36,1576200,7.079625
2016-03-18,7.89,7.95,7.43,7.68,3750700,7.387434
2016-03-17,7.63,7.98,7.45,7.87,2788200,7.570196
2016-03-16,7.49,7.62,7.12,7.58,2264100,7.291244
2016-03-15,8.06,8.16,7.36,7.49,2845900,7.204672
2016-03-14,8.22,8.27,7.95,8.19,2197100,7.878006
2016-03-11,8.14,8.30,8.06,8.22,2167500,7.906864
2016-03-10,7.96,8.19,7.91,8.09,2086200,7.781816
2016-03-09,7.75,8.09,7.64,8.04,2345300,7.73372
2016-03-08,7.83,8.00,7.57,7.79,2051300,7.493244
2016-03-07,7.77,8.05,7.75,7.97,1962900,7.666387
2016-03-04,7.87,8.35,7.80,7.88,4938900,7.579816
2016-03-03,7.66,7.94,7.63,7.94,3522400,7.63753
2016-03-02,7.24,7.79,7.20,7.75,3448700,7.454768
2016-03-01,7.68,7.68,7.00,7.32,2879600,7.041149
2016-02-29,7.30,7.94,7.30,7.52,4448000,7.23353
2016-02-26,6.84,7.67,6.83,7.25,5997600,6.973815
2016-02-25,6.74,6.90,6.05,6.74,2971100,6.483243
2016-02-24,6.32,6.69,6.27,6.61,1924900,6.358196
2016-02-23,6.47,6.59,6.38,6.45,1380100,6.204291
2016-02-22,6.29,6.49,6.25,6.45,1706100,6.204291
2016-02-19,6.07,6.31,5.95,6.30,2594600,6.060005
2016-02-18,6.11,6.14,5.85,6.03,1652400,5.800291
2016-02-17,5.69,6.13,5.69,6.12,2396500,5.886862
2016-02-16,5.54,5.76,5.50,5.66,1299400,5.444385
2016-02-12,5.85,5.90,5.55,5.59,1840000,5.377052
2016-02-11,5.34,5.83,5.31,5.77,2101600,5.550195
2016-02-10,5.43,5.59,5.38,5.42,1170300,5.213528
2016-02-09,5.25,5.52,5.22,5.34,1470600,5.136576
2016-02-08,5.56,5.60,5.26,5.37,2029100,5.165433
2016-02-05,5.50,5.73,5.45,5.64,2373700,5.425147
2016-02-04,5.33,5.61,5.30,5.45,2087200,5.242385
2016-02-03,5.46,5.59,5.22,5.38,1674500,5.175052
2016-02-02,5.69,5.78,5.43,5.46,1454000,5.252004
2016-02-01,5.74,5.82,5.55,5.80,2296200,5.579052
2016-01-29,5.57,5.81,5.57,5.77,1965700,5.550195
2016-01-28,5.83,5.85,5.50,5.56,1474200,5.348195
2016-01-27,5.74,5.87,5.68,5.77,1570600,5.550195
2016-01-26,5.60,5.78,5.59,5.73,1314200,5.511719
2016-01-25,5.59,5.75,5.41,5.63,2144700,5.415528
2016-01-22,5.20,5.53,5.11,5.50,2541800,5.29048
2016-01-21,5.02,5.11,4.82,5.04,2169000,4.848004
2016-01-20,5.05,5.12,4.75,4.97,2637500,4.78067
2016-01-19,5.25,5.37,5.13,5.14,2780200,4.944194
2016-01-15,5.17,5.33,5.00,5.24,2652200,5.040385
2016-01-14,5.22,5.40,5.20,5.26,2664200,5.059623
2016-01-13,5.61,5.76,5.08,5.17,3496700,4.973052
