Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,21.50,21.540001,21.389999,21.52,2482800,21.52
2016-08-30,21.49,21.60,21.459999,21.559999,2273700,21.559999
2016-08-29,21.59,21.620001,21.440001,21.459999,2600700,21.459999
2016-08-26,21.540001,21.799999,21.469999,21.610001,3819000,21.610001
2016-08-25,21.360001,21.50,21.309999,21.48,3017000,21.48
2016-08-24,21.379999,21.620001,21.33,21.440001,6521600,21.440001
2016-08-23,21.49,21.49,21.32,21.370001,4177700,21.370001
2016-08-22,21.15,21.43,21.09,21.41,3507100,21.41
2016-08-19,21.00,21.209999,20.969999,21.200001,3075700,21.200001
2016-08-18,21.030001,21.15,20.950001,21.08,2526800,21.08
2016-08-17,20.83,21.049999,20.76,21.030001,2920100,21.030001
2016-08-16,20.940001,21.00,20.799999,20.83,1827900,20.83
2016-08-15,20.98,21.10,20.950001,21.01,1725100,21.01
2016-08-12,21.01,21.049999,20.93,20.969999,1661100,20.969999
2016-08-11,21.00,21.139999,20.969999,21.08,2712300,21.08
2016-08-10,20.98,21.00,20.84,20.940001,1951400,20.940001
2016-08-09,20.889999,20.99,20.83,20.950001,2463600,20.950001
2016-08-08,21.01,21.139999,20.82,20.85,3618500,20.85
2016-08-05,20.76,21.07,20.74,21.00,3134600,21.00
2016-08-04,20.129999,21.42,20.120001,20.690001,11395200,20.690001
2016-08-03,19.58,19.93,19.58,19.92,4709600,19.92
2016-08-02,19.90,19.92,19.540001,19.629999,3454600,19.629999
2016-08-01,20.00,20.129999,19.85,19.959999,3795100,19.959999
2016-07-29,20.15,20.15,19.75,20.00,4512500,20.00
2016-07-28,20.360001,20.389999,20.17,20.200001,2191700,20.200001
2016-07-27,20.389999,20.48,20.309999,20.389999,2816900,20.389999
2016-07-26,20.23,20.41,20.059999,20.41,3670800,20.41
2016-07-25,20.24,20.299999,20.139999,20.209999,2673800,20.209999
2016-07-22,20.129999,20.27,20.059999,20.26,1959000,20.26
2016-07-21,20.15,20.290001,20.08,20.17,2587800,20.17
2016-07-20,20.10,20.25,20.049999,20.18,2322700,20.18
2016-07-19,20.02,20.16,19.99,20.10,1832700,20.10
2016-07-18,20.129999,20.200001,20.09,20.129999,2116800,20.129999
2016-07-15,20.08,20.16,19.99,20.129999,2529600,20.129999
2016-07-14,20.07,20.120001,19.969999,20.040001,1925700,20.040001
2016-07-13,19.99,20.02,19.809999,19.889999,2562200,19.889999
2016-07-12,19.709999,20.040001,19.690001,19.98,2910000,19.98
2016-07-11,19.66,19.700001,19.530001,19.60,3184400,19.60
2016-07-08,19.17,19.58,19.15,19.57,3248900,19.57
2016-07-07,18.809999,19.209999,18.809999,19.00,2950300,19.00
2016-07-06,19.00,19.190001,18.969999,19.18,2025100,19.18
2016-07-05,19.280001,19.280001,19.030001,19.129999,2489500,19.129999
2016-07-01,19.219999,19.469999,19.200001,19.360001,3090500,19.360001
2016-06-30,18.84,19.18,18.74,19.18,3508800,19.18
2016-06-29,18.73,18.860001,18.67,18.82,3739200,18.82
2016-06-28,18.290001,18.709999,18.24,18.700001,4283500,18.700001
2016-06-27,18.42,18.43,18.07,18.110001,3935300,18.110001
2016-06-24,18.629999,19.040001,18.60,18.610001,5849800,18.610001
2016-06-23,19.309999,19.379999,19.190001,19.379999,2060600,19.379999
2016-06-22,19.01,19.219999,19.01,19.09,2015400,19.09
2016-06-21,19.030001,19.059999,18.90,18.940001,2229600,18.940001
2016-06-20,19.309999,19.370001,18.940001,19.00,5283700,19.00
