Date,Open,High,Low,Close,Volume,Adj Close
2016-08-31,61.50,61.68,61.150002,61.459999,1059500,61.459999
2016-08-30,61.779999,61.900002,61.27,61.50,816700,61.50
2016-08-29,61.490002,62.029999,61.459999,61.869999,983600,61.869999
2016-08-26,60.41,61.59,60.41,61.360001,2031500,61.360001
2016-08-25,60.00,60.939999,59.509998,60.779999,1901800,60.779999
2016-08-24,60.200001,60.369999,59.91,59.970001,1262000,59.970001
2016-08-23,60.549999,60.759998,60.07,60.209999,1196200,60.209999
2016-08-22,60.810001,60.82,59.93,60.470001,988500,60.470001
2016-08-19,59.880001,60.810001,59.509998,60.77,1335600,60.77
2016-08-18,59.75,60.169998,59.610001,60.009998,1029500,60.009998
2016-08-17,59.93,60.080002,59.470001,59.720001,1481100,59.720001
2016-08-16,60.939999,60.939999,60.09,60.09,972800,60.09
2016-08-15,61.150002,61.459999,60.880001,60.970001,814200,60.970001
2016-08-12,60.939999,61.419998,60.830002,61.02,802100,61.02
2016-08-11,61.459999,61.610001,60.970001,61.439999,1008900,61.439999
2016-08-10,61.16,61.549999,60.84,61.259998,844400,61.259998
2016-08-09,60.740002,61.200001,60.450001,61.130001,1190300,61.130001
2016-08-08,61.889999,62.169998,60.740002,60.900002,2145600,60.900002
2016-08-05,64.080002,64.540001,61.959999,61.990002,1886000,61.990002
2016-08-04,64.889999,64.900002,63.220001,63.689999,2605400,63.689999
2016-08-03,64.470001,65.160004,64.029999,65.139999,1782100,65.139999
2016-08-02,64.199997,64.75,63.700001,64.629997,2281600,64.629997
2016-08-01,64.00,64.489998,63.73,64.230003,1823700,64.230003
2016-07-29,63.23,64.18,63.23,64.040001,2190200,64.040001
2016-07-28,62.599998,63.360001,62.59,63.099998,743700,63.099998
2016-07-27,63.07,63.259998,62.509998,62.59,1112900,62.59
2016-07-26,62.48,63.09,62.200001,63.07,741100,63.07
2016-07-25,62.709999,62.939999,62.290001,62.450001,505200,62.450001
2016-07-22,62.709999,62.830002,62.32,62.73,886400,62.73
2016-07-21,63.07,63.450001,62.290001,62.470001,643500,62.470001
2016-07-20,63.049999,63.470001,62.990002,63.23,826700,63.23
2016-07-19,62.709999,62.860001,62.490002,62.810001,633400,62.810001
2016-07-18,63.02,63.220001,62.389999,62.77,944800,62.77
2016-07-15,63.669998,63.75,62.889999,62.959999,998000,62.959999
2016-07-14,63.529999,63.75,63.189999,63.259998,1077400,63.259998
2016-07-13,63.220001,63.700001,62.860001,62.98,1359600,62.98
2016-07-12,64.139999,64.400002,63.07,63.130001,1384100,63.130001
2016-07-11,63.450001,63.900002,63.310001,63.740002,986500,63.740002
2016-07-08,63.16,63.439999,62.560001,63.389999,1428200,63.389999
2016-07-07,62.580002,62.82,62.029999,62.50,1156500,62.50
2016-07-06,62.00,62.869999,61.549999,62.740002,1630400,62.740002
2016-07-05,62.18,62.470001,61.450001,62.150002,1394900,62.150002
2016-07-01,62.150002,62.419998,61.84,62.330002,1370700,62.330002
2016-06-30,61.720001,62.049999,61.360001,62.040001,1642700,62.040001
2016-06-29,60.560001,61.560001,60.080002,61.459999,1695500,61.459999
2016-06-28,59.799999,60.549999,59.41,60.549999,1810200,60.549999
2016-06-27,60.700001,61.290001,58.84,59.360001,2268500,59.360001
2016-06-24,62.389999,63.080002,61.27,61.299999,7121600,61.299999
2016-06-23,63.900002,64.839996,63.549999,64.209999,2059500,64.209999
2016-06-22,63.459999,63.75,63.290001,63.470001,1023500,63.470001
2016-06-21,63.330002,63.669998,63.02,63.400002,1257300,63.322001
2016-06-20,63.990002,64.419998,63.310001,63.32,1815500,63.242097
2016-06-17,63.139999,63.470001,62.50,63.209999,6418700,63.132232
2016-06-16,63.200001,63.57,62.490002,63.50,1763300,63.421876
2016-06-15,64.300003,64.519997,63.290001,63.330002,1266000,63.252087
2016-06-14,64.410004,64.550003,63.700001,64.279999,1387100,64.200915
2016-06-13,64.220001,65.830002,64.129997,64.730003,2704800,64.650366
2016-06-10,64.120003,64.25,63.41,63.610001,1215600,63.531741
2016-06-09,64.040001,64.589996,63.84,64.43,965900,64.350732
2016-06-08,62.580002,64.360001,62.369999,64.339996,1673900,64.260839
2016-06-07,62.84,63.200001,62.669998,62.790001,1005900,62.71275
2016-06-06,62.639999,62.970001,62.470001,62.75,843700,62.672799
2016-06-03,62.849998,62.950001,62.41,62.650002,803700,62.572923
2016-06-02,62.209999,63.02,62.209999,63.00,1013500,62.922491
2016-06-01,62.16,62.919998,61.959999,62.48,1398800,62.40313
2016-05-31,62.689999,62.689999,61.849998,62.16,1670900,62.083524
2016-05-27,63.040001,63.040001,61.869999,62.470001,1322200,62.393144
2016-05-26,61.669998,61.990002,61.450001,61.720001,1070800,61.644067
2016-05-25,61.939999,62.150002,61.700001,61.77,1114700,61.694005
2016-05-24,60.540001,61.82,60.529999,61.73,1135500,61.654053
2016-05-23,60.98,61.32,60.330002,60.360001,1446300,60.28574
2016-05-20,60.66,61.439999,60.380001,60.959999,3627000,60.885
2016-05-19,60.619999,61.040001,59.91,60.310001,1287300,60.235802
2016-05-18,60.459999,61.220001,60.080002,61.07,1640500,60.994865
2016-05-17,62.189999,62.459999,60.450001,60.700001,2006400,60.625322
2016-05-16,61.07,62.580002,60.990002,62.259998,1591600,62.1834
2016-05-13,61.810001,61.959999,61.09,61.16,1067700,61.084755
2016-05-12,62.23,62.23,61.27,61.900002,1561300,61.823846
2016-05-11,61.150002,62.040001,61.150002,61.880001,1788600,61.80387
2016-05-10,60.779999,61.32,60.709999,61.32,1337400,61.244558
2016-05-09,61.560001,61.950001,60.439999,60.52,1645200,60.445543
2016-05-06,61.50,62.00,60.599998,61.75,3166300,61.674029
2016-05-05,59.959999,61.119999,59.91,60.490002,1859000,60.415581
2016-05-04,59.66,60.029999,59.259998,59.869999,1059900,59.796341
2016-05-03,59.830002,60.27,59.459999,59.970001,971700,59.89622
2016-05-02,59.779999,60.610001,59.450001,60.25,1107500,60.175874
2016-04-29,59.970001,60.150002,59.080002,59.599998,1234300,59.526673
2016-04-28,60.73,61.23,60.119999,60.330002,997200,60.255778
2016-04-27,60.560001,61.099998,59.93,60.950001,922700,60.875014
2016-04-26,61.259998,61.41,60.459999,60.580002,988000,60.50547
2016-04-25,60.790001,61.310001,60.700001,61.110001,1061700,61.034817
2016-04-22,60.700001,61.00,60.189999,60.720001,1230100,60.645297
2016-04-21,61.34,61.52,60.259998,60.540001,1041000,60.465519
2016-04-20,61.099998,61.459999,60.59,61.27,720000,61.19462
2016-04-19,61.060001,61.25,60.810001,61.029999,994300,60.954914
2016-04-18,59.919998,61.09,59.860001,60.880001,1066100,60.8051
2016-04-15,60.00,60.110001,59.68,60.09,714800,60.016071
2016-04-14,59.68,60.259998,59.290001,60.029999,1051800,59.956144
2016-04-13,59.919998,60.00,59.41,59.799999,840300,59.726427
2016-04-12,59.459999,60.060001,59.220001,59.709999,1084600,59.636538
2016-04-11,59.790001,60.16,59.360001,59.50,1361500,59.426797
2016-04-08,60.540001,60.540001,59.389999,59.720001,1321300,59.646528
2016-04-07,60.779999,61.029999,59.950001,60.200001,1177300,60.125937
2016-04-06,60.540001,61.060001,60.290001,61.009998,1314500,60.934938
2016-04-05,61.130001,61.32,60.330002,60.669998,1625300,60.595356
2016-04-04,61.529999,62.130001,61.189999,61.400002,1184300,61.324461
2016-04-01,61.41,61.880001,61.02,61.490002,1647600,61.414351
2016-03-31,62.16,62.34,61.490002,61.630001,1657800,61.554178
2016-03-30,62.189999,62.419998,61.779999,62.060001,1100600,61.983649
2016-03-29,60.540001,62.150002,60.400002,61.98,1509300,61.903746
2016-03-28,59.990002,60.759998,59.560001,60.380001,1839800,60.305716
2016-03-24,58.77,59.860001,58.439999,59.619999,3081000,59.546648
2016-03-23,60.68,61.330002,60.220001,60.549999,1691200,60.475505
2016-03-22,59.599998,61.060001,59.50,60.91,2490200,60.835062
2016-03-21,60.450001,60.830002,59.950001,60.00,2997600,59.84828
2016-03-18,60.900002,61.619999,60.50,60.720001,3379800,60.566461
