ABT,Abbott Laboratories,Health Care,1800
ABBV,AbbVie,Health Care,1551152
ACE,ACE Limited,Financials,896159
ACN,Accenture plc,Information Technology,1467373
ACT,Actavis plc,Health Care,884629
ADBE,Adobe Systems Inc,Information Technology,796343
ADT,ADT Corp,Industrials,1546640
AES,AES Corp,Utilities,874761
AET,Aetna Inc,Health Care,1122304
AFL,AFLAC Inc,Financials,4977
A,Agilent Technologies Inc,Health Care,1090872
GAS,AGL Resources Inc.,Utilities,1004155
APD,Air Products & Chemicals Inc,Materials,2969
ARG,Airgas Inc,Materials,804212
AKAM,Akamai Technologies Inc,Information Technology,1086222
AA,Alcoa Inc,Materials,4281
ALXN,Alexion Pharmaceuticals,Health Care,899866
ATI,Allegheny Technologies Inc,Materials,1018963
ALLE,Allegion,Industrials,1579241
AGN,Allergan Inc,Health Care,850693
ADS,Alliance Data Systems,Information Technology,1101215
ALL,Allstate Corp,Financials,899051
ALTR,Altera Corp,Information Technology,768251
MO,Altria Group Inc,Consumer Staples,764180
AMZN,Amazon.com Inc,Consumer Discretionary,1018724
AEE,Ameren Corp,Utilities,1002910
AEP,American Electric Power,Utilities,4904
AXP,American Express Co,Financials,4962
AIG,"American International Group, Inc.",Financials,5272
AMT,American Tower Corp A,Financials,1053507
AMP,Ameriprise Financial,Financials,820027
ABC,AmerisourceBergen Corp,Health Care,1140859
AME,Ametek,Industrials,1037868
AMGN,Amgen Inc,Health Care,318154
APH,Amphenol Corp A,Industrials,820313
APC,Anadarko Petroleum Corp,Energy,773910
ADI,"Analog Devices, Inc.",Information Technology,6281
AON,Aon plc,Financials,315293
APA,Apache Corporation,Energy,6769
AIV,Apartment Investment & Mgmt,Financials,922864
AAPL,Apple Inc.,Information Technology,320193
AMAT,Applied Materials Inc,Information Technology,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,7084
AIZ,Assurant Inc,Financials,1267238
T,AT&T Inc,Telecommunications Services,732717
ADSK,Autodesk Inc,Information Technology,769397
ADP,Automatic Data Processing,Information Technology,8670
AN,AutoNation Inc,Consumer Discretionary,350698
AZO,AutoZone Inc,Consumer Discretionary,866787
AVGO,Avago Technologies,Information Technology,1441634
AVB,"AvalonBay Communities, Inc.",Financials,915912
AVY,Avery Dennison Corp,Materials,8818
AVP,Avon Products,Consumer Staples,8868
BHI,Baker Hughes Inc,Energy,808362
BLL,Ball Corp,Materials,9389
BAC,Bank of America Corp,Financials,70858
